year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Alaska,624779,80,14,94,10,150,,10,,27,56,51,96,26,294,12.8,,15.05,,24.01,,,,4.32,8.96,8.16,15.37,4.16,47.06,14.14,,16.27,,25.2,,,,4.6,8.92,8.11,16.79,4.29,55.91
2000,Alaska,626932,88,14,102,,156,,,,36,54,37,137,19,343,14.04,,16.27,,24.88,,,,5.74,8.61,5.9,21.85,,54.71,16.38,,18.73,,27.19,,,,5.29,8.46,5.64,21.47,,64.48
2001,Alaska,633714,109,11,120,10,192,,,,53,72,38,102,11,345,17.2,,18.94,,30.3,,,,8.36,11.36,6,16.1,,54.44,19.04,,20.74,,31.83,,,,8.06,11.08,5.69,15.94,,60.54
2002,Alaska,642337,118,,125,,210,,12,,69,85,40,132,17,346,18.37,,19.46,,32.69,,,,10.74,13.23,6.23,20.55,,53.87,18.94,,19.94,,32.34,,,,10.02,12.37,5.86,20.77,,59.16
2003,Alaska,648414,120,,122,,208,,10,,72,86,47,124,14,321,18.51,,18.82,,32.08,,,,11.1,13.26,7.25,19.12,,49.51,20.76,,21.04,,34.4,,,,10.66,13.39,6.89,20.32,,55.39
2004,Alaska,659286,102,,104,,196,,16,,64,92,41,155,15,326,15.47,,15.77,,29.73,,,,9.71,13.95,6.22,23.51,,49.45,15.81,,16.07,,29.61,,,,9.53,13.52,6.06,23.02,,56.02
2005,Alaska,666946,120,,121,,206,,,,62,85,37,131,17,313,17.99,,18.14,,30.89,,,,9.3,12.74,5.55,19.64,,46.93,19.38,,19.5,,31.76,,,,8.91,12.27,5.24,19.9,,50.77
2006,Alaska,675302,135,,143,,228,,,,66,85,43,135,12,316,19.99,,21.18,,33.76,,,,9.77,12.59,6.37,19.99,,46.79,20.32,,21.4,,34.03,,,,9.59,12.61,6.2,19.91,,52.3
2007,Alaska,680300,123,21,144,,219,,,,63,75,50,149,17,354,18.08,3.09,21.17,,32.19,,,,9.26,11.02,7.35,21.9,,52.04,17.67,2.93,20.6,,31.09,,,,8.8,10.48,7.24,22.55,,56.35
2008,Alaska,687455,115,32,147,,279,,13,23,91,132,29,169,43,332,16.73,4.65,21.38,,40.58,,,3.35,13.24,19.2,4.22,24.58,6.25,48.29,16.55,5.06,21.61,,40.61,,,3.43,12.86,18.99,4.42,24.35,6.23,54.08
2009,Alaska,698895,121,28,149,,282,,21,,101,133,26,143,28,340,17.31,4.01,21.32,,40.35,,3,,14.45,19.03,3.72,20.46,4.01,48.65,17.75,4.04,21.79,,39.92,,2.66,,13.99,18.11,3.92,20,3.86,53.28
2010,Alaska,710231,87,35,122,,206,,,,74,84,44,164,19,366,12.25,4.93,17.18,,29,,,,10.42,11.83,6.2,23.09,,51.53,11.53,4.78,16.31,,28.22,,,,10.28,11.93,6.08,22.78,,58.66
2011,Alaska,722718,100,31,131,,238,,,,97,107,36,143,17,385,13.84,4.29,18.13,,32.93,,,,13.42,14.81,4.98,19.79,,53.27,13.34,4.02,17.35,,31.57,,,,12.86,14.24,4.8,20.03,,57.29
2012,Alaska,731449,106,16,122,,254,,16,,113,132,38,168,19,368,14.49,,16.68,,34.73,,,,15.45,18.05,5.2,22.97,,50.31,13.85,,15.87,,33.64,,,,15.06,17.77,4.99,23.03,,54.13
2013,Alaska,735132,95,31,126,,236,,12,,92,110,43,171,10,353,12.92,4.22,17.14,,32.1,,,,12.51,14.96,5.85,23.26,,48.02,12.36,4.31,16.68,,31.74,,,,12.76,15.06,5.65,23.16,,52.45
2014,Alaska,736732,110,29,139,,266,,16,,103,127,37,167,32,379,14.93,3.94,18.87,,36.11,,,,13.98,17.24,5.02,22.67,4.34,51.44,13.99,4.2,18.2,,35.36,,,,13.87,17.14,4.7,22.06,4.31,54.96
2015,Alaska,738432,133,28,161,,288,,10,,105,127,62,201,25,388,18.01,3.79,21.8,,39,,,,14.22,17.2,8.4,27.22,3.39,52.54,17.21,3.83,21.07,,37.88,,,,13.88,16.81,8,26.87,3.37,57.86
2016,Alaska,741894,158,25,183,10,321,,16,,103,138,54,193,31,439,21.3,3.37,24.67,,43.27,,,,13.88,18.6,7.28,26.01,4.18,59.17,19.92,3.43,23.36,,41.49,,,,13.35,18.13,7.34,25.79,3.97,63.14
2017,Alaska,739795,137,22,159,11,317,,17,,123,158,78,200,30,436,18.52,2.97,21.49,,42.85,,,,16.63,21.36,10.54,27.03,4.06,58.94,17.22,2.99,20.21,,41.87,,,,16.94,21.64,10.6,27.01,4,63.73
