year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,New York,18882725,1233,,1242,143,2344,,104,45,809,1102,969,1196,115,4797,6.53,,6.58,0.76,12.41,,0.55,0.24,4.28,5.84,5.13,6.33,0.61,25.4,6.53,,6.56,0.76,12.33,,0.53,0.26,4.24,5.78,5.09,6.27,0.58,25.15
2000,New York,18976457,1155,,1159,134,2060,,80,41,644,901,991,1132,114,4244,6.09,,6.11,0.71,10.86,,0.42,0.22,3.39,4.75,5.22,5.97,0.6,22.36,6.01,,6.04,0.72,10.74,,0.42,0.21,3.35,4.68,5.2,5.91,0.6,22.04
2001,New York,19082838,1168,,1177,201,2457,,140,43,895,1280,2818,1253,159,4982,6.12,,6.17,1.05,12.88,,0.73,0.23,4.69,6.71,14.77,6.57,0.83,26.11,5.97,,6.02,1.04,12.63,,0.73,0.23,4.63,6.62,14.58,6.48,0.82,25.65
2002,New York,19137800,1096,,1099,195,2217,,98,57,766,1118,929,1228,160,4663,5.73,,5.74,1.02,11.58,,0.51,0.3,4,5.84,4.85,6.42,0.84,24.37,5.54,,5.57,1,11.34,,0.52,0.31,3.94,5.78,4.83,6.31,0.82,23.85
2003,New York,19175939,1095,,1102,245,2311,,109,44,810,1209,963,1169,124,4708,5.71,,5.75,1.28,12.05,,0.57,0.23,4.22,6.3,5.02,6.1,0.65,24.55,5.47,,5.49,1.25,11.71,,0.55,0.23,4.18,6.2,5.01,5.94,0.62,23.87
2004,New York,19171567,1056,,1065,237,2133,,91,26,714,1068,860,1187,107,4530,5.51,,5.56,1.24,11.13,,0.47,0.14,3.72,5.57,4.49,6.19,0.56,23.63,5.23,,5.27,1.16,10.7,,0.47,0.14,3.67,5.43,4.47,6.04,0.56,22.85
2005,New York,19132610,1049,15,1064,231,2239,,107,41,796,1175,901,1189,143,4645,5.48,,5.56,1.21,11.7,,0.56,0.21,4.16,6.14,4.71,6.21,0.75,24.28,5.14,,5.2,1.13,11.17,,0.53,0.22,4.07,5.94,4.7,6.04,0.72,23.27
2006,New York,19104631,1081,20,1101,269,3050,,180,146,1352,1949,962,1326,270,5235,5.66,0.1,5.76,1.41,15.96,,0.94,0.76,7.08,10.2,5.04,6.94,1.41,27.4,5.22,0.09,5.34,1.35,15.26,,0.91,0.76,6.91,9.92,5.01,6.69,1.36,26.2
2007,New York,19132335,1115,52,1167,201,3076,,233,178,1296,1909,840,1396,300,5160,5.83,0.27,6.1,1.05,16.08,,1.22,0.93,6.77,9.98,4.39,7.3,1.57,26.97,5.32,0.25,5.58,1,15.23,,1.15,0.89,6.59,9.65,4.4,7.05,1.51,25.65
2008,New York,19212436,1107,142,1249,165,3105,,235,145,1310,1856,882,1409,266,5042,5.76,0.74,6.5,0.86,16.16,,1.22,0.75,6.82,9.66,4.59,7.33,1.38,26.24,5.25,0.7,5.93,0.82,15.3,,1.15,0.72,6.64,9.36,4.59,7.06,1.34,24.79
