year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Wyoming,491780,58,,60,,81,,,,11,21,13,98,,258,11.79,,12.2,,16.47,,,,,4.27,,19.93,,52.46,11.71,,12.08,,16.4,,,,,4.29,,20.28,,52.83
2000,Wyoming,493782,62,,64,,91,,,,15,27,10,83,,245,12.56,,12.96,,18.43,,,,,5.47,,16.81,,49.62,12.21,,12.61,,18.32,,,,,5.72,,16.75,,50.78
2001,Wyoming,494657,55,,57,,82,,,,13,25,16,83,,272,11.12,,11.52,,16.58,,,,,5.05,,16.78,,54.99,10.74,,11.14,,16.22,,,,,5.08,,16.43,,55.49
2002,Wyoming,500017,75,,76,,112,,,,24,36,23,105,,289,15,,15.2,,22.4,,,,4.8,7.2,4.6,21,,57.8,14.31,,14.49,,21.85,,,,4.81,7.37,4.62,20.8,,58.14
2003,Wyoming,503453,59,,60,,97,,,,21,37,16,109,,273,11.72,,11.92,,19.27,,,,4.17,7.35,,21.65,,54.23,11.21,,11.37,,18.65,,,,4.2,7.3,,21.8,,55.12
2004,Wyoming,509106,65,,67,18,131,,15,,28,64,19,88,,243,12.77,,13.16,,25.73,,,,5.5,12.57,,17.29,,47.73,11.8,,12.19,,24.81,,,,5.71,12.66,,17.54,,47.2
2005,Wyoming,514157,62,,64,19,109,,,,15,45,16,90,,302,12.06,,12.45,,21.2,,,,,8.75,,17.5,,58.74,11.18,,11.56,,19.98,,,,,8.42,,17.28,,58.72
2006,Wyoming,522667,87,,88,,152,,21,,31,64,,116,,306,16.65,,16.84,,29.08,,4.02,,5.93,12.24,,22.19,,58.55,15.48,,15.64,,27.82,,3.84,,6.09,12.15,,21.65,,58.88
2007,Wyoming,534876,84,,88,,156,,14,,45,68,17,101,,299,15.7,,16.45,,29.17,,,,8.41,12.71,,18.88,,55.9,14.41,,15.17,,28.32,,,,9.11,13.15,,19.34,,56.46
2008,Wyoming,546043,73,16,89,,163,,,,61,74,18,124,,351,13.37,,16.3,,29.85,,,,11.17,13.55,,22.71,,64.28,12.69,,15.32,,29.36,,,,11.49,14.05,,22.6,,64.32
2009,Wyoming,559851,57,,65,,128,,,,56,63,17,111,,299,10.18,,11.61,,22.86,,,,10,11.25,,19.83,,53.41,9.13,,10.46,,21.99,,,,10.16,11.53,,20.38,,53.69
2010,Wyoming,563626,69,11,80,,168,,17,,64,88,,131,,346,12.24,,14.19,,29.81,,,,11.36,15.61,,23.24,,61.39,11.56,,13.47,,28.97,,,,11.26,15.5,,22.43,,59.82
2011,Wyoming,568158,82,,91,,179,,20,,58,88,23,132,,317,14.43,,16.02,,31.51,,3.52,,10.21,15.49,4.05,23.23,,55.79,13.85,,15.33,,30.98,,3.42,,10.54,15.66,4.24,23.21,,56.18
2012,Wyoming,576412,102,,107,,206,,26,,67,99,20,171,10,308,17.7,,18.56,,35.74,,4.51,,11.62,17.18,3.47,29.67,,53.43,16.14,,17.04,,33.95,,4.51,,11.38,16.91,3.48,29.56,,52.92
2013,Wyoming,582658,99,,105,,204,,14,,79,99,17,129,11,325,16.99,,18.02,,35.01,,,,13.56,16.99,,22.14,,55.78,15.31,,16.34,,33.76,,,,13.8,17.42,,21.47,,55.24
2014,Wyoming,584153,96,,103,,215,,18,,87,112,24,120,,361,16.43,,17.63,,36.81,,,,14.89,19.17,4.11,20.54,,61.8,15.41,,16.7,,36.62,,,,15.57,19.93,4.39,20.64,,60.93
2015,Wyoming,586107,137,15,152,,251,,14,,79,99,17,157,,400,23.37,,25.93,,42.82,,,,13.48,16.89,,26.79,,68.25,21.82,,24.43,,41.28,,,,13.35,16.83,,28,,65.84
2016,Wyoming,585501,124,15,139,,242,,13,,79,103,17,144,,371,21.18,,23.74,,41.33,,,,13.49,17.59,,24.59,,63.36,19.68,,22.15,,40.47,,,,14.22,18.32,,25.24,,61.95
2017,Wyoming,579315,120,15,135,,207,,12,,53,72,19,157,,348,20.71,,23.3,,35.73,,,,9.15,12.43,,27.1,,60.07,17.45,,20.25,,33,,,,9.51,12.75,,26.94,,56.86
