year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Delaware,774990,61,,61,,116,,,,42,55,24,86,,267,7.87,,7.87,,14.97,,,,5.42,7.1,3.1,11.1,,34.45,7.79,,7.79,,14.87,,,,5.42,7.09,3.04,11.04,,35.25
2000,Delaware,783600,51,,51,,111,,,,39,60,23,82,10,290,6.51,,6.51,,14.17,,,,4.98,7.66,2.94,10.46,,37.01,6.37,,6.37,,14,,,,4.97,7.64,2.92,10.41,,37.54
2001,Delaware,795699,68,,69,,139,,16,,39,70,33,108,12,290,8.55,,8.67,,17.47,,,,4.9,8.8,4.15,13.57,,36.45,8.34,,8.47,,17.28,,,,4.93,8.79,4.14,13.46,,36.61
2002,Delaware,806169,76,,76,,161,,,10,65,85,38,74,12,292,9.43,,9.43,,19.97,,,,8.06,10.54,4.71,9.18,,36.22,9.05,,9.05,,19.63,,,,8.09,10.58,4.68,9.11,,36.4
2003,Delaware,818003,65,,66,11,154,,16,,59,88,25,94,,287,7.95,,8.07,,18.83,,,,7.21,10.76,3.06,11.49,,35.09,7.53,,7.65,,18.4,,,,7.26,10.76,3.07,11.35,,34.85
2004,Delaware,830803,53,,54,29,146,,14,,42,92,35,93,12,294,6.38,,6.5,3.49,17.57,,,,5.06,11.07,4.21,11.19,,35.39,5.71,,5.83,3.39,16.86,,,,5.08,11.01,4.24,11.02,,35.4
2005,Delaware,845150,58,,58,,125,,10,,49,67,55,83,10,293,6.86,,6.86,,14.79,,,,5.8,7.93,6.51,9.82,,34.67,6.19,,6.19,,14.34,,,,6,8.15,6.58,9.66,,34.45
2006,Delaware,859268,58,,58,,141,,,12,60,83,50,91,17,329,6.75,,6.75,,16.41,,,,6.98,9.66,5.82,10.59,,38.29,6.16,,6.16,,16.08,,,,7.13,9.9,6.08,10.31,,37.96
2007,Delaware,871749,52,,57,,159,,14,13,69,102,48,95,18,309,5.97,,6.54,,18.24,,,,7.92,11.7,5.51,10.9,,35.45,5.42,,6,,18,,,,8.14,11.99,5.7,10.6,,34.83
2008,Delaware,883874,66,,75,,200,,15,12,97,125,65,109,15,352,7.47,,8.49,,22.63,,,,10.97,14.14,7.35,12.33,,39.82,6.58,,7.55,,21.92,,,,11.31,14.38,7.62,11.92,,39.58
2009,Delaware,891730,66,,70,,209,,23,11,102,139,45,107,18,333,7.4,,7.85,,23.44,,2.58,,11.44,15.59,5.05,12,,37.34,6.49,,6.92,,22.61,,2.3,,11.76,15.69,5.17,11.71,,36.75
2010,Delaware,897934,68,,74,,221,,17,11,117,147,61,106,15,357,7.57,,8.24,,24.61,,,,13.03,16.37,6.79,11.8,,39.76,6.66,,7.28,,24.1,,,,13.52,16.82,7.03,11.34,,39.18
2011,Delaware,907135,55,,62,,228,,23,18,119,166,49,105,21,338,6.06,,6.83,,25.13,,2.54,,13.12,18.3,5.4,11.57,2.31,37.26,5.12,,5.9,,24.21,,2.43,,13.37,18.3,5.37,11,2.14,36.44
2012,Delaware,917092,54,,60,,210,,21,,111,150,62,125,20,374,5.89,,6.54,,22.9,,2.29,,12.1,16.36,6.76,13.63,2.18,40.78,5.18,,5.74,,21.89,,2.27,,11.94,16.15,6.86,13.2,2.19,38.83
2013,Delaware,925749,47,16,63,,233,,20,15,131,170,52,122,20,412,5.08,,6.81,,25.17,,2.16,,14.15,18.36,5.62,13.18,2.16,44.5,4.38,,6.03,,25.14,,1.96,,15.06,19.09,5.81,12.49,2.19,42.92
2014,Delaware,935614,75,,77,15,281,,25,12,152,204,57,126,16,425,8.02,,8.23,,30.03,,2.67,,16.25,21.8,6.09,13.47,,45.42,6.65,,6.81,,29.39,,2.72,,17.04,22.58,6.57,13.16,,43.74
2015,Delaware,945934,75,,80,10,288,,12,16,169,208,65,122,20,449,7.93,,8.46,,30.45,,,,17.87,21.99,6.87,12.9,2.11,47.47,7.1,,7.61,,30.57,,,,18.7,22.97,7.48,12.59,2.24,46
2016,Delaware,952065,100,,104,,392,,11,,264,288,63,119,,516,10.5,,10.92,,41.17,,,,27.73,30.25,6.62,12.5,,54.2,8.77,,9.16,,40.53,,,,28.89,31.37,7.03,11.48,,52.37
2017,Delaware,961939,93,11,104,,446,,,11,319,342,63,112,16,608,9.67,,10.81,,46.36,,,,33.16,35.55,6.55,11.64,,63.21,8.17,,9.15,,46.65,,,,35.08,37.48,6.93,11.63,,61.86
