year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,North Dakota,644259,52,NA,52,NA,67,NA,NA,NA,NA,15,13,73,NA,267,8.07,NA,8.07,NA,10.4,NA,NA,NA,NA,NA,NA,11.33,NA,41.44,8.03,NA,8.03,NA,10.28,NA,NA,NA,NA,NA,NA,11.05,NA,38.42
2000,North Dakota,642200,49,NA,49,NA,65,NA,NA,NA,11,16,12,68,NA,248,7.63,NA,7.63,NA,10.12,NA,NA,NA,NA,NA,NA,10.59,NA,38.62,7.64,NA,7.64,NA,10.11,NA,NA,NA,NA,NA,NA,10.4,NA,35.29
2001,North Dakota,639062,68,NA,68,NA,85,NA,NA,NA,NA,17,NA,79,NA,238,10.64,NA,10.64,NA,13.3,NA,NA,NA,NA,NA,NA,12.36,NA,37.24,10.33,NA,10.33,NA,13.02,NA,NA,NA,NA,NA,NA,12.74,NA,33.85
2002,North Dakota,638168,68,NA,70,NA,94,NA,NA,NA,10,24,NA,91,NA,246,10.66,NA,10.97,NA,14.73,NA,NA,NA,NA,3.76,NA,14.26,NA,38.55,10.32,NA,10.66,NA,14.22,NA,NA,NA,NA,3.56,NA,14.25,NA,35.13
2003,North Dakota,638817,74,NA,75,NA,102,NA,11,NA,11,27,12,81,NA,282,11.58,NA,11.74,NA,15.97,NA,NA,NA,NA,4.23,NA,12.68,NA,44.14,11.24,NA,11.37,NA,15.52,NA,NA,NA,NA,4.16,NA,12.31,NA,39.91
2004,North Dakota,644705,61,NA,62,NA,83,NA,NA,NA,14,21,11,73,NA,274,9.46,NA,9.62,NA,12.87,NA,NA,NA,NA,3.26,NA,11.32,NA,42.5,8.99,NA,9.12,NA,12.25,NA,NA,NA,NA,3.13,NA,11.14,NA,38.09
2005,North Dakota,646089,73,NA,75,NA,88,NA,NA,NA,NA,13,11,92,NA,287,11.3,NA,11.61,NA,13.62,NA,NA,NA,NA,NA,NA,14.24,NA,44.42,10.49,NA,10.88,NA,12.85,NA,NA,NA,NA,NA,NA,13.67,NA,39.66
2006,North Dakota,649422,63,NA,64,NA,80,NA,NA,NA,NA,16,11,90,10,275,9.7,NA,9.85,NA,12.32,NA,NA,NA,NA,NA,NA,13.86,NA,42.35,9.43,NA,9.58,NA,12.05,NA,NA,NA,NA,NA,NA,13.32,NA,38.92
2007,North Dakota,652822,53,NA,57,NA,94,NA,NA,NA,20,37,14,95,NA,279,8.12,NA,8.73,NA,14.4,NA,NA,NA,3.06,5.67,NA,14.55,NA,42.74,7.6,NA,8.34,NA,13.77,NA,NA,NA,2.91,5.44,NA,14.17,NA,38.87
2008,North Dakota,657569,75,NA,80,NA,128,NA,NA,NA,38,48,NA,86,NA,342,11.41,NA,12.17,NA,19.47,NA,NA,NA,5.78,7.3,NA,13.08,NA,52.01,10.9,NA,11.74,NA,19.39,NA,NA,NA,5.93,7.66,NA,13.1,NA,47.15
