year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_homicide,deaths_suicide,deaths_undetermined,deaths_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_homicide,crude_rate_suicide,crude_rate_undetermined,crude_rate_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_homicide,age_adjusted_rate_suicide,age_adjusted_rate_undetermined,age_adjusted_rate_unintentional
1999,Kentucky,4018053,231,NA,238,18,453,NA,29,19,148,215,210,470,39,1730,5.75,NA,5.92,NA,11.27,NA,0.72,NA,3.68,5.35,5.23,11.7,0.97,43.06,5.71,NA,5.86,NA,11.19,NA,0.72,NA,3.65,5.3,5.11,11.62,0.96,43.29
2000,Kentucky,4041769,248,15,263,16,520,NA,37,11,193,257,204,521,25,1838,6.14,NA,6.51,NA,12.87,NA,0.92,NA,4.78,6.36,5.05,12.89,0.62,45.48,6.03,NA,6.39,NA,12.72,NA,0.91,NA,4.75,6.32,5.02,12.78,0.61,45.65
2001,Kentucky,4068132,245,12,257,25,627,NA,50,23,272,370,221,495,38,1990,6.02,NA,6.32,0.61,15.41,NA,1.23,0.57,6.69,9.1,5.43,12.17,0.93,48.92,5.85,NA,6.14,0.59,15.18,NA,1.23,0.57,6.64,9.05,5.38,12.05,0.92,49.05
2002,Kentucky,4089875,228,NA,235,25,686,NA,58,19,348,451,195,540,44,2090,5.57,NA,5.75,0.61,16.77,NA,1.42,NA,8.51,11.03,4.77,13.2,1.08,51.1,5.35,NA,5.53,0.6,16.54,NA,1.43,NA,8.51,11.02,4.76,13.03,1.08,51.26
2003,Kentucky,4117170,232,NA,241,28,829,NA,48,33,478,588,193,567,59,2270,5.63,NA,5.85,0.68,20.14,NA,1.17,0.8,11.61,14.28,4.69,13.77,1.43,55.13,5.41,NA,5.61,0.68,19.9,NA,1.13,0.82,11.61,14.3,4.71,13.56,1.45,55.23
2004,Kentucky,4146101,240,NA,244,33,803,NA,46,31,447,559,228,560,40,2260,5.79,NA,5.89,0.8,19.37,NA,1.11,0.75,10.78,13.48,5.5,13.51,0.96,54.51,5.46,NA,5.58,0.79,19.13,NA,1.1,0.77,10.91,13.54,5.52,13.27,0.97,54.77
2005,Kentucky,4182742,247,NA,252,24,914,NA,51,44,542,662,222,566,58,2405,5.91,NA,6.02,0.57,21.85,NA,1.22,1.05,12.96,15.83,5.31,13.53,1.39,57.5,5.54,NA,5.63,0.56,21.52,NA,1.23,1.07,13,15.89,5.36,13.39,1.4,57.38
2006,Kentucky,4219239,228,NA,232,38,998,NA,67,54,605,766,192,622,87,2446,5.4,NA,5.5,0.9,23.65,NA,1.59,1.28,14.34,18.15,4.55,14.74,2.06,57.97,4.91,NA,5,0.85,23.25,NA,1.55,1.28,14.49,18.23,4.65,14.58,2.08,57.94
2007,Kentucky,4256672,247,36,283,14,1005,NA,68,63,577,722,213,649,96,2372,5.8,0.85,6.65,NA,23.61,NA,1.6,1.48,13.56,16.96,5,15.25,2.26,55.72,5.34,0.83,6.17,NA,23.19,NA,1.56,1.49,13.64,17.02,4.98,15.11,2.29,55.57
2008,Kentucky,4289878,205,32,237,15,1016,NA,62,69,633,779,240,612,93,2379,4.78,0.75,5.52,NA,23.68,NA,1.45,1.61,14.76,18.16,5.59,14.27,2.17,55.46,4.27,0.74,5,NA,23.34,NA,1.44,1.6,14.94,18.31,5.71,13.99,2.18,55.2
2009,Kentucky,4317074,271,30,301,17,1087,NA,59,78,631,786,212,592,112,2394,6.28,0.69,6.97,NA,25.18,NA,1.37,1.81,14.62,18.21,4.91,13.71,2.59,55.45,5.65,0.66,6.31,NA,24.67,NA,1.32,1.81,14.8,18.36,4.97,13.47,2.59,55.06
2010,Kentucky,4339367,273,29,302,29,1338,NA,57,69,881,1036,199,631,101,2632,6.29,0.67,6.96,0.67,30.83,NA,1.31,1.59,20.3,23.87,4.59,14.54,2.33,60.65,5.58,0.64,6.21,0.65,30.42,NA,1.23,1.56,20.78,24.21,4.68,14.17,2.27,60.54
2011,Kentucky,4369356,260,33,293,41,1392,NA,56,60,941,1099,188,675,89,2608,5.95,0.76,6.71,0.94,31.86,NA,1.28,1.37,21.54,25.15,4.3,15.45,2.04,59.69,5.27,0.75,6.02,0.96,31.95,NA,1.3,1.36,22.32,25.96,4.28,15.15,2.02,59.52
2012,Kentucky,4380415,316,35,351,48,1477,NA,69,63,946,1126,236,724,98,2741,7.21,0.8,8.01,1.1,33.72,NA,1.58,1.44,21.6,25.71,5.39,16.53,2.24,62.57,6.38,0.8,7.17,1.1,33.25,NA,1.48,1.43,22.06,26.05,5.6,16.2,2.22,61.97
2013,Kentucky,4395295,315,16,331,30,1380,NA,63,74,882,1049,202,701,93,2513,7.17,NA,7.53,0.68,31.4,NA,1.43,1.68,20.07,23.87,4.6,15.95,2.12,57.17,6.24,NA,6.59,0.64,30.94,NA,1.42,1.7,20.54,24.34,4.67,15.55,2.1,55.71
2014,Kentucky,4413457,368,28,396,51,1524,NA,52,47,977,1128,203,728,76,2621,8.34,0.63,8.97,1.16,34.53,NA,1.18,1.06,22.14,25.56,4.6,16.5,1.72,59.39,7.28,0.65,7.94,1.19,33.86,NA,1.07,1.07,22.56,25.95,4.74,15.96,1.7,58.33
2015,Kentucky,4425092,431,35,466,59,1798,NA,51,77,1144,1332,250,776,92,2962,9.74,0.79,10.53,1.33,40.63,NA,1.15,1.74,25.85,30.1,5.65,17.54,2.08,66.94,8.41,0.71,9.15,1.41,40.45,NA,1.12,1.86,26.94,31.3,5.77,17.08,2.23,65.96
2016,Kentucky,4436974,467,33,500,106,2025,NA,58,56,1304,1525,302,756,84,3194,10.53,0.74,11.27,2.39,45.64,NA,1.31,1.26,29.39,34.37,6.81,17.04,1.89,71.99,8.93,0.78,9.74,2.51,45.78,NA,1.25,1.28,30.96,36.07,7.17,16.78,1.94,71.02
2017,Kentucky,4454189,450,34,484,96,2146,NA,57,52,1457,1662,310,770,90,3264,10.1,0.76,10.87,2.16,48.18,NA,1.28,1.17,32.71,37.31,6.96,17.29,2.02,73.28,8.81,0.77,9.58,2.29,49.09,NA,1.2,1.25,34.77,39.51,7.28,16.92,2.09,72.87
