year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Arizona,5023823,457,11,468,46,1025,NA,112,36,362,557,470,766,63,2214,9.1,NA,9.32,0.92,20.4,NA,2.23,0.72,7.21,11.09,9.36,15.25,1.25,44.07,9.46,NA,9.69,0.98,21.2,NA,2.32,0.72,7.46,11.51,9.18,15.53,1.19,44.79
2000,Arizona,5130632,461,11,472,37,1031,NA,91,32,399,559,410,784,66,2326,8.99,NA,9.2,0.72,20.09,NA,1.77,0.62,7.78,10.9,7.99,15.28,1.29,45.34,9.34,NA,9.56,0.75,20.89,NA,1.84,0.65,8.08,11.34,7.91,15.6,1.28,46.25
2001,Arizona,5273477,444,NA,450,46,1048,NA,80,40,429,598,494,767,89,2475,8.42,NA,8.53,0.87,19.87,NA,1.52,0.76,8.14,11.34,9.37,14.54,1.69,46.93,8.73,NA,8.85,0.9,20.66,NA,1.58,0.78,8.5,11.81,9.29,14.79,1.63,47.59
2002,Arizona,5396255,507,NA,515,43,1182,NA,110,48,464,667,504,886,100,2577,9.4,NA,9.54,0.8,21.9,NA,2.04,0.89,8.6,12.36,9.34,16.42,1.85,47.76,9.64,NA,9.8,0.84,22.61,NA,2.11,0.88,8.96,12.81,9.25,16.63,1.82,48.6
2003,Arizona,5510364,562,10,572,65,1311,NA,106,55,512,739,498,840,115,2697,10.2,NA,10.38,1.18,23.79,NA,1.92,1,9.29,13.41,9.04,15.24,2.09,48.94,10.39,NA,10.57,1.22,24.52,NA,1.99,1,9.7,13.94,8.8,15.54,2.12,49.79
2004,Arizona,5652404,586,NA,590,59,1393,NA,123,71,549,803,509,880,119,2770,10.37,NA,10.44,1.04,24.64,NA,2.18,1.26,9.71,14.21,9.01,15.57,2.11,49.01,10.37,NA,10.44,1.1,25.23,NA,2.26,1.32,10.09,14.78,8.96,15.81,2.17,49.3
2005,Arizona,5839077,659,NA,667,55,1516,NA,115,89,585,849,532,945,168,3150,11.29,NA,11.42,0.94,25.96,NA,1.97,1.52,10.02,14.54,9.11,16.18,2.88,53.95,11.2,NA,11.33,0.97,26.41,NA,1.99,1.59,10.44,15.07,9.01,16.36,2.84,54.72
2006,Arizona,6029141,656,NA,664,83,1623,NA,132,78,663,959,549,979,134,3352,10.88,NA,11.01,1.38,26.92,NA,2.19,1.29,11,15.91,9.11,16.24,2.22,55.6,10.73,NA,10.88,1.43,27.26,NA,2.24,1.35,11.31,16.37,9.13,16.33,2.26,55.97
2007,Arizona,6167681,701,46,747,38,1728,NA,179,66,697,981,528,1016,123,3161,11.37,0.75,12.11,0.62,28.02,NA,2.9,1.07,11.3,15.91,8.56,16.47,1.99,51.25,11.24,0.78,12.03,0.63,28.37,NA,2.87,1.09,11.74,16.32,8.47,16.54,2.02,51.85
2008,Arizona,6280362,720,64,784,25,1637,NA,149,58,621,853,474,972,111,2956,11.46,1.02,12.48,0.4,26.07,NA,2.37,0.92,9.89,13.58,7.55,15.48,1.77,47.07,11.19,1.02,12.19,0.4,26.14,NA,2.4,0.93,10.2,13.94,7.63,15.49,1.79,47.28
