year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,763956,4230,81,111,1072,2966,16495,4587,9905,2003,District of Columbia,District of Columbia State-Level Estimate,,20725
1961,763956,4491,88,100,1348,2955,17093,4902,9732,2459,District of Columbia,District of Columbia State-Level Estimate,,21584
1962,784000,4750,91,82,1572,3005,17458,5022,9855,2581,District of Columbia,District of Columbia State-Level Estimate,,22208
1963,798000,4740,95,87,1707,2851,20844,6984,10395,3465,District of Columbia,District of Columbia State-Level Estimate,,25584
1964,808000,5112,132,96,2279,2605,25222,8910,10920,5392,District of Columbia,District of Columbia State-Level Estimate,,30334
1965,803000,5804,148,140,2881,2635,28081,9886,12576,5619,District of Columbia,District of Columbia State-Level Estimate,,33885
1966,808000,7155,141,134,3703,3177,32782,10498,15719,6565,District of Columbia,District of Columbia State-Level Estimate,,39937
1967,809000,9252,178,172,5759,3143,44634,14702,21425,8507,District of Columbia,District of Columbia State-Level Estimate,,53886
1968,809000,12180,195,260,8622,3103,51473,17950,22169,11354,District of Columbia,District of Columbia State-Level Estimate,,63653
1969,798000,17038,287,776,12366,3609,66002,22902,31910,11190,District of Columbia,District of Columbia State-Level Estimate,,83040
1970,756510,16846,221,720,11816,4089,65488,21740,32638,11110,District of Columbia,District of Columbia State-Level Estimate,,82334
1971,741000,16084,275,615,11222,3972,54432,18818,26882,8732,District of Columbia,District of Columbia State-Level Estimate,,70516
1972,748000,12607,245,714,7751,3897,46225,12801,27603,5821,District of Columbia,District of Columbia State-Level Estimate,,58832
1973,746000,11626,268,596,7171,3591,47295,11801,30781,4713,District of Columbia,District of Columbia State-Level Estimate,,58921
1974,723000,11590,277,561,7941,2811,43054,14126,25004,3924,District of Columbia,District of Columbia State-Level Estimate,,54644
1975,716000,12704,235,520,9137,2812,42453,13164,25892,3397,District of Columbia,District of Columbia State-Level Estimate,,55157
1976,702000,10399,188,508,7044,2659,39327,11869,24506,2952,District of Columbia,District of Columbia State-Level Estimate,,49726
1977,690000,9843,192,402,6655,2594,39978,11590,25646,2742,District of Columbia,District of Columbia State-Level Estimate,,49821
1978,674000,9515,189,447,6333,2546,41435,12497,25744,3194,District of Columbia,District of Columbia State-Level Estimate,,50950
1979,656000,10553,180,489,6920,2964,45877,13452,28819,3606,District of Columbia,District of Columbia State-Level Estimate,,56430
1980,635233,12772,200,439,8897,3236,50896,16260,31068,3568,District of Columbia,District of Columbia State-Level Estimate,,63668
1981,636000,14468,223,414,10399,3432,53442,16832,32845,3765,District of Columbia,District of Columbia State-Level Estimate,,67910
1982,631000,13397,194,421,9137,3645,52295,14774,33435,4086,District of Columbia,District of Columbia State-Level Estimate,,65692
1983,623000,11933,183,406,7698,3646,45843,12483,29405,3955,District of Columbia,District of Columbia State-Level Estimate,,57776
1984,623000,10725,175,366,6087,4097,42799,10954,27471,4374,District of Columbia,District of Columbia State-Level Estimate,,53524
1985,626000,10171,147,337,5230,4457,39904,10005,24874,5025,District of Columbia,District of Columbia State-Level Estimate,,50075
1986,626000,9423,194,328,4720,4181,42781,10815,25861,6105,District of Columbia,District of Columbia State-Level Estimate,,52204
1987,622000,10016,225,245,4462,5084,42553,11244,25012,6297,District of Columbia,District of Columbia State-Level Estimate,,52569
1988,620000,11914,369,165,5690,5690,49557,12300,28624,8633,District of Columbia,District of Columbia State-Level Estimate,,61471
1989,604000,12937,434,186,6542,5775,49235,11780,29164,8291,District of Columbia,District of Columbia State-Level Estimate,,62172
1990,606900,14919,472,303,7365,6779,50470,12035,30326,8109,District of Columbia,District of Columbia State-Level Estimate,,65389
1991,598000,14671,482,214,7269,6706,49722,12405,29182,8135,District of Columbia,District of Columbia State-Level Estimate,,64393
1992,589000,16685,443,215,7459,8568,50502,10721,30663,9118,District of Columbia,District of Columbia State-Level Estimate,,67187
1993,578000,16888,454,324,7107,9003,51091,11534,31495,8062,District of Columbia,District of Columbia State-Level Estimate,,67979
1994,570000,15177,399,249,6311,8218,48009,10037,29711,8261,District of Columbia,District of Columbia State-Level Estimate,,63186
1995,554000,14744,360,292,6864,7228,52697,10185,32319,10193,District of Columbia,District of Columbia State-Level Estimate,,67441
1996,543000,13411,397,260,6444,6310,51188,9828,31385,9975,District of Columbia,District of Columbia State-Level Estimate,,64599
1997,529000,10708,301,218,4501,5688,41341,6963,26809,7569,District of Columbia,District of Columbia State-Level Estimate,,52049
1998,523000,8988,260,190,3606,4932,37222,6361,24360,6501,District of Columbia,District of Columbia State-Level Estimate,,46210
1999,519000,8448,241,248,3344,4615,33420,5067,21701,6652,District of Columbia,District of Columbia State-Level Estimate,,41868
2000,572059,8626,239,251,3554,4582,33000,4745,21655,6600,District of Columbia,District of Columbia State-Level Estimate,,41626
2001,573822,9195,231,181,3780,5003,35232,4949,22313,7970,District of Columbia,District of Columbia State-Level Estimate,,44427
