agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Marion County Sheriff's Office,2008,Tennessee,16285,TN05800,0,0,0,0,0,2,2,0,5,0,0,3,2,245,10,11,19,8,197,84,78,5,1,163,41,26,5,10,540,0,48,55,288,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2007,Tennessee,16464,TN05800,0,0,0,1,0,2,2,0,0,0,0,0,0,173,11,5,12,5,140,37,35,2,0,93,30,19,6,5,336,0,33,36,160,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2006,Tennessee,16152,TN05800,0,0,0,0,0,0,0,0,2,0,0,1,1,217,8,6,28,4,171,53,39,13,1,160,59,26,3,30,491,0,46,48,272,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2005,Tennessee,16021,TN05800,0,0,0,0,0,0,0,0,1,0,1,0,0,266,17,12,22,7,208,97,41,51,5,162,57,45,6,6,583,0,58,59,316,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2004,Tennessee,16112,TN05800,0,0,0,0,0,4,4,0,0,0,0,0,0,207,17,6,20,3,161,106,50,54,2,175,80,63,10,7,572,0,46,50,361,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2003,Tennessee,15870,TN05800,0,0,0,1,0,2,2,0,2,0,2,0,0,253,28,12,15,0,198,41,36,0,5,223,68,39,21,8,590,0,55,60,332,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2002,Tennessee,17141,TN05800,0,0,0,1,0,0,0,0,0,0,0,0,0,417,48,16,52,5,296,79,74,3,2,211,84,43,25,16,792,0,121,122,374,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2001,Tennessee,16974,TN05800,0,0,0,1,0,0,0,0,0,0,0,0,0,339,41,11,76,0,211,104,78,24,2,182,75,41,15,19,701,0,128,129,361,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2000,Tennessee,16824,TN05800,0,0,0,2,0,1,1,0,2,0,1,0,1,317,42,23,49,3,200,130,101,17,12,143,77,42,23,12,672,0,117,122,350,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,1999,Tennessee,17991,TN05800,0,0,0,2,0,4,4,0,1,0,0,1,0,317,47,11,42,4,213,136,111,21,4,135,73,33,33,7,668,0,104,111,344,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
