agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Seabrook Police Department,2023,New Hampshire,8444,NH00868,0,0,0,0,0,5,5,0,0,0,0,0,0,118,1,0,2,4,111,7,3,4,0,208,2,2,0,0,340,0,7,12,217,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2022,New Hampshire,8441,NH00868,0,0,0,0,0,6,6,0,0,0,0,0,0,137,0,0,3,2,132,9,2,3,4,202,6,5,1,0,360,0,5,11,217,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2021,New Hampshire,8974,NH00868,0,0,0,0,0,4,4,0,2,0,0,0,2,157,1,0,1,5,150,4,1,0,3,181,15,14,1,0,363,0,7,13,200,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2020,New Hampshire,8871,NH00868,0,0,0,0,0,3,3,0,0,0,0,0,0,145,0,2,1,1,141,5,2,1,2,146,8,6,2,0,307,0,4,7,159,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2019,New Hampshire,8880,NH00868,0,0,0,0,0,1,1,0,1,0,0,0,1,106,0,1,0,1,104,16,7,7,2,116,5,5,0,0,245,0,2,4,137,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2018,New Hampshire,8941,NH00868,0,0,0,1,0,0,0,0,4,0,1,0,3,110,4,1,2,4,99,11,4,3,4,138,8,6,1,1,272,0,11,16,157,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2017,New Hampshire,8816,NH00868,0,0,0,0,0,2,2,0,2,1,0,1,0,125,5,6,1,5,108,25,10,13,2,182,11,7,2,2,347,0,17,21,218,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2016,New Hampshire,8804,NH00868,0,0,0,0,0,3,3,0,3,1,1,0,1,88,0,5,4,7,72,17,10,5,2,218,11,10,0,1,340,0,16,22,246,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2015,New Hampshire,8829,NH00868,0,0,0,0,0,4,4,0,1,0,0,0,1,85,3,1,2,3,76,16,7,5,4,199,6,6,0,0,311,0,9,14,221,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2014,New Hampshire,8774,NH00868,0,0,0,0,0,2,2,0,2,0,0,1,1,113,3,1,4,3,102,20,7,8,5,284,9,7,2,0,430,0,11,15,313,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2013,New Hampshire,8805,NH00868,0,0,0,0,0,3,3,0,7,2,0,2,3,116,4,5,9,3,95,25,12,8,5,233,11,10,0,1,395,0,21,31,269,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2012,New Hampshire,8738,NH00868,0,0,0,0,0,3,3,0,4,1,2,1,0,129,2,3,6,5,113,36,18,12,6,180,6,5,0,1,358,0,16,23,222,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2011,New Hampshire,8704,NH00868,0,0,0,0,0,1,1,0,2,0,0,1,1,138,0,5,0,5,128,23,11,11,1,234,9,7,1,1,407,0,10,13,266,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2010,New Hampshire,8693,NH00868,0,0,0,0,0,2,2,0,1,0,0,1,0,191,3,2,4,3,179,21,5,11,5,274,9,9,0,0,498,0,12,15,304,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2009,New Hampshire,8551,NH00868,0,0,0,0,0,0,0,0,1,0,0,0,1,164,2,2,2,4,154,55,26,19,10,327,17,9,6,2,564,0,10,11,399,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2008,New Hampshire,8578,NH00868,0,0,0,0,0,0,0,0,7,3,1,1,2,164,7,2,7,3,145,30,12,11,7,233,13,10,2,1,447,0,19,26,276,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2007,New Hampshire,8588,NH00868,0,0,0,0,0,1,1,0,2,2,0,0,0,142,0,5,6,1,130,20,11,8,1,176,7,3,2,2,348,0,12,15,203,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2006,New Hampshire,8466,NH00868,0,0,0,0,0,2,2,0,8,2,3,2,1,137,0,1,6,4,126,26,13,11,2,171,10,6,2,2,354,0,11,21,207,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2005,New Hampshire,8443,NH00868,0,0,0,0,0,1,1,0,3,2,0,0,1,146,2,4,2,0,138,31,16,6,9,158,14,9,1,4,353,0,8,12,203,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,2004,New Hampshire,,NH00868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seabrook Police Department,2003,New Hampshire,,NH00868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seabrook Police Department,2002,New Hampshire,,NH00868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seabrook Police Department,2001,New Hampshire,,NH00868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seabrook Police Department,2000,New Hampshire,,NH00868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seabrook Police Department,1999,New Hampshire,,NH00868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seabrook Police Department,1998,New Hampshire,,NH00868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seabrook Police Department,1997,New Hampshire,,NH00868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seabrook Police Department,1996,New Hampshire,6786,NH00868,0,0,1,0,0,12,8,4,4,0,2,0,2,78,0,0,4,4,70,34,25,0,9,292,25,24,1,0,445,0,8,24,351,375,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,12,0,0,0,0,16,0,0,0,13,13
Seabrook Police Department,1995,New Hampshire,6705,NH00868,0,0,0,0,0,3,3,0,3,1,0,1,1,71,1,1,0,3,66,37,26,5,6,336,25,23,1,1,475,0,5,11,398,409,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,3,3,0,0,10,0,0,0,8,8
Seabrook Police Department,1994,New Hampshire,6641,NH00868,0,0,4,0,0,5,5,0,1,0,0,0,1,60,1,0,0,7,52,49,39,7,3,299,29,28,0,1,443,0,8,14,377,391,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,3,1,1,0,0,47,6,6,0,0,59,0,1,2,54,56
Seabrook Police Department,1993,New Hampshire,6571,NH00868,0,0,2,0,0,3,2,1,3,2,0,0,1,62,0,3,3,6,50,68,47,14,7,310,33,30,1,2,479,0,12,18,411,429,0,0,1,0,1,0,0,0,0,0,9,0,0,1,0,8,4,4,0,0,11,2,2,0,0,27,0,1,2,17,19
Seabrook Police Department,1992,New Hampshire,6513,NH00868,0,0,2,1,0,5,5,0,2,0,1,0,1,57,3,2,4,5,43,63,35,15,13,280,27,19,6,2,435,0,14,22,370,392,0,0,3,3,0,0,0,0,0,0,6,0,0,0,1,5,7,0,3,4,14,4,2,2,0,34,0,1,4,25,29
Seabrook Police Department,1991,New Hampshire,6478,NH00868,0,0,1,0,0,10,6,4,2,1,0,0,1,41,0,2,3,10,26,45,29,11,5,205,32,20,7,5,335,0,15,27,282,309,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,2,5,2,1,2,12,4,4,0,0,26,0,3,3,21,24
Seabrook Police Department,1990,New Hampshire,6503,NH00868,0,0,0,0,0,1,1,0,3,0,0,0,3,42,0,1,2,7,32,62,42,10,10,223,37,22,4,11,368,0,10,14,322,336,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,1,2,3
Seabrook Police Department,1989,New Hampshire,6988,NH00868,0,0,0,0,0,0,0,0,2,0,0,1,1,11,1,0,0,0,10,52,39,7,6,167,23,20,2,1,255,0,1,3,242,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,0,0,0,3,3
Seabrook Police Department,1988,New Hampshire,7278,NH00868,0,0,0,0,0,0,0,0,2,0,1,0,1,4,0,0,1,2,1,35,19,10,6,157,25,16,2,7,223,0,3,5,217,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,2,2
Seabrook Police Department,1987,New Hampshire,7010,NH00868,0,0,0,0,0,1,1,0,3,2,0,0,1,17,0,0,2,15,0,75,47,14,14,210,20,14,3,3,326,0,17,21,305,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
Seabrook Police Department,1986,New Hampshire,6791,NH00868,0,0,1,0,0,0,0,0,2,1,1,0,0,14,1,0,3,10,0,77,49,12,16,201,16,9,3,4,310,0,14,16,294,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
Seabrook Police Department,1985,New Hampshire,6535,NH00868,0,0,0,0,0,0,0,0,4,3,0,0,1,12,0,0,3,5,4,100,69,17,14,227,39,19,6,14,382,0,8,12,366,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Seabrook Police Department,1984,New Hampshire,6397,NH00868,0,0,0,0,0,0,0,0,2,1,0,1,0,8,0,0,1,2,5,67,56,6,5,182,36,20,3,13,295,0,3,5,285,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,3,0,0,0,3,3
Seabrook Police Department,1983,New Hampshire,6168,NH00868,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,66,40,23,3,189,44,25,6,13,302,0,1,3,299,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
Seabrook Police Department,1982,New Hampshire,6117,NH00868,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,109,78,21,10,220,57,37,9,11,390,0,0,4,386,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,1981,New Hampshire,6014,NH00868,0,0,0,0,0,0,0,0,4,0,1,0,3,4,0,0,0,4,0,121,79,28,14,237,78,52,8,18,444,0,4,8,436,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,1980,New Hampshire,5912,NH00868,0,0,3,0,0,0,0,0,7,3,1,0,3,11,0,0,3,3,5,102,70,30,2,303,50,36,6,8,473,0,6,13,455,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,1979,New Hampshire,6281,NH00868,0,0,0,0,0,0,0,0,5,2,0,2,1,5,0,0,0,4,1,160,122,27,11,268,77,49,11,17,515,0,4,9,505,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,1978,New Hampshire,5292,NH00868,0,0,4,0,0,1,1,0,9,4,4,0,1,16,2,2,3,5,4,248,207,17,24,265,80,49,12,19,619,0,12,22,593,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,1977,New Hampshire,5490,NH00868,0,0,12,0,0,0,0,0,2,0,0,0,2,16,0,0,1,7,8,226,202,13,11,318,71,53,3,15,633,0,8,10,615,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,1976,New Hampshire,5265,NH00868,0,0,0,0,0,0,0,0,7,1,0,4,2,16,0,0,0,14,2,96,84,2,10,300,60,44,3,13,479,0,14,21,456,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,1975,New Hampshire,5087,NH00868,0,0,4,0,0,1,1,0,4,1,2,0,1,8,0,0,0,8,0,117,89,0,28,286,77,67,3,7,493,0,8,13,480,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,1974,New Hampshire,3690,NH00868,0,0,6,0,0,1,1,0,2,1,0,0,1,13,0,0,3,10,0,105,97,0,8,271,53,38,3,12,445,0,13,16,429,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,1973,New Hampshire,4000,NH00868,0,0,0,0,0,0,0,0,2,2,0,0,0,25,4,0,1,15,5,70,68,1,1,58,13,13,0,0,163,43,20,22,141,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabrook Police Department,1972,New Hampshire,3268,NH00868,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,2,0,15,14,1,0,31,0,0,0,0,50,19,2,4,46,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
