agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Hamilton Township Police,2023,New Jersey,28492,NJ00112,0,0,0,0,0,3,3,0,6,1,1,1,3,211,2,3,5,9,192,59,30,28,1,562,33,31,1,1,874,0,19,28,654,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton Township Police,2022,New Jersey,28658,NJ00112,0,0,0,0,0,5,5,0,8,1,0,3,4,248,5,2,8,16,217,37,16,20,1,457,18,18,0,0,773,0,31,44,512,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton Township Police,2021,New Jersey,25718,NJ00112,0,0,0,0,0,1,1,0,3,0,0,2,1,74,1,0,2,3,68,6,1,5,0,103,5,4,1,0,192,0,6,10,114,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton Township Police,2020,New Jersey,25654,NJ00112,0,0,3,0,0,4,4,0,6,1,1,3,1,181,7,0,7,5,162,50,44,6,0,394,24,14,0,10,659,0,19,29,468,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,2
Hamilton Township Police,2019,New Jersey,25667,NJ00112,0,0,1,0,0,1,1,0,21,5,1,8,7,269,5,0,16,6,242,91,79,12,0,641,37,33,1,3,1060,0,27,49,769,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,5,0,0,0,5,5
Hamilton Township Police,2018,New Jersey,26380,NJ00112,0,0,8,2,0,3,3,0,13,2,0,2,9,226,7,1,10,21,187,98,79,19,0,736,23,21,0,2,1101,0,39,57,857,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,0,0,0,9,9
Hamilton Township Police,2017,New Jersey,26482,NJ00112,0,0,6,2,0,3,3,0,10,3,0,2,5,242,7,1,14,0,220,160,113,38,9,690,30,28,0,2,1137,0,22,37,880,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,6,6
Hamilton Township Police,2016,New Jersey,26824,NJ00112,0,0,4,2,0,1,1,0,8,2,1,2,3,298,7,0,19,1,271,128,99,25,4,780,27,23,0,4,1244,0,27,38,935,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
Hamilton Township Police,2015,New Jersey,26671,NJ00112,0,0,6,1,0,2,2,0,19,3,2,9,5,241,7,0,15,0,219,167,84,65,18,847,25,24,0,1,1302,0,22,44,1039,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,3,0,0,0,3,3
Hamilton Township Police,2014,New Jersey,26802,NJ00112,0,0,1,3,0,3,3,0,25,5,0,7,13,290,2,0,13,2,273,143,96,31,16,858,26,24,0,2,1348,0,17,48,1027,1075,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
