agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Beacon Police Department,2023,New York,14600,NY01301,0,0,0,0,0,3,3,0,0,0,0,0,0,74,0,6,2,2,64,7,1,5,1,106,9,7,0,2,199,0,10,13,122,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Police Department,2022,New York,13729,NY01301,0,0,0,0,0,2,2,0,2,0,0,1,1,76,2,4,4,4,62,15,3,7,5,116,4,1,0,3,215,0,14,18,135,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Police Department,2021,New York,13940,NY01301,0,0,0,0,0,0,0,0,2,1,0,0,1,65,0,8,1,3,53,6,1,3,2,59,3,3,0,0,135,0,12,14,68,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Police Department,2020,New York,13984,NY01301,0,0,0,0,0,1,1,0,2,0,0,0,2,71,3,4,2,3,59,22,16,5,1,96,5,5,0,0,197,0,12,15,123,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Police Department,2019,New York,14510,NY01301,0,0,2,1,0,4,4,0,6,0,2,0,4,101,0,6,4,3,88,15,7,6,2,128,7,4,3,0,262,0,13,24,150,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Police Department,2018,New York,14241,NY01301,0,0,0,0,0,2,2,0,11,2,1,3,5,116,1,7,3,2,103,40,18,15,7,142,8,8,0,0,319,0,13,26,190,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Police Department,2017,New York,14212,NY01301,0,0,0,0,0,5,5,0,5,1,1,1,2,140,4,9,12,9,106,50,22,21,7,184,6,5,0,1,390,0,34,44,240,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Police Department,2016,New York,14291,NY01301,0,0,0,1,0,5,5,0,13,4,2,0,7,159,2,10,8,5,134,23,4,10,9,214,6,5,1,0,421,0,25,44,243,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Police Department,2015,New York,14141,NY01301,0,0,3,0,0,2,2,0,12,1,0,0,11,194,11,14,11,6,152,24,7,14,3,211,13,12,1,0,456,0,42,56,248,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Police Department,2014,New York,14330,NY01301,0,0,1,0,0,3,3,0,17,2,2,4,9,193,3,11,6,3,170,38,18,16,4,201,6,5,0,1,458,0,23,43,245,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
