year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,4319813,7468,189,627,3913,2739,77743,25712,44049,7982,Missouri,Missouri State-Level Estimate,
1961,4378000,7266,223,578,3637,2828,82563,26782,48430,7351,Missouri,Missouri State-Level Estimate,
1962,4346000,8059,241,548,3474,3796,92297,26238,57277,8782,Missouri,Missouri State-Level Estimate,
1963,4328000,8629,223,592,3788,4026,102415,28644,63370,10401,Missouri,Missouri State-Level Estimate,
1964,4409000,9553,240,661,3955,4697,118456,33051,73963,11442,Missouri,Missouri State-Level Estimate,
1965,4497000,10588,300,812,4195,5281,120376,34311,74279,11786,Missouri,Missouri State-Level Estimate,
1966,4508000,11149,245,793,4769,5342,120499,35260,72411,12828,Missouri,Missouri State-Level Estimate,
1967,4603000,12746,337,785,6005,5619,131039,39635,75063,16341,Missouri,Missouri State-Level Estimate,
1968,4627000,15216,408,1076,7108,6624,150623,45188,84779,20656,Missouri,Missouri State-Level Estimate,
1969,4651000,18260,485,1270,8483,8022,176113,52037,97171,26905,Missouri,Missouri State-Level Estimate,
1970,4677399,18986,499,1283,9393,7811,175344,53184,97004,25156,Missouri,Missouri State-Level Estimate,
1971,4749000,18357,424,1245,8533,8155,173767,55427,94492,23848,Missouri,Missouri State-Level Estimate,
1972,4753000,18223,396,1212,8347,8268,168724,52312,94051,22361,Missouri,Missouri State-Level Estimate,
1973,4757000,19441,427,1342,9201,8471,177567,58740,97640,21187,Missouri,Missouri State-Level Estimate,
1974,4777000,21612,466,1285,10353,9508,207114,70283,116428,20403,Missouri,Missouri State-Level Estimate,
1975,4763000,23521,505,1200,11657,10159,233577,72047,139303,22227,Missouri,Missouri State-Level Estimate,
1976,4778000,21470,443,1296,9750,9981,219057,67044,133542,18471,Missouri,Missouri State-Level Estimate,
1977,4801000,22105,462,1359,9076,11208,197841,63290,116386,18165,Missouri,Missouri State-Level Estimate,
1978,4860000,22738,505,1360,8943,11930,197293,65375,113992,17926,Missouri,Missouri State-Level Estimate,
1979,4868000,25662,543,1638,10267,13214,214809,70423,124398,19988,Missouri,Missouri State-Level Estimate,
1980,4901288,27177,544,1600,10958,14075,239115,81798,136998,20319,Missouri,Missouri State-Level Estimate,
1981,4938000,26675,516,1465,10629,14065,237575,78173,140567,18835,Missouri,Missouri State-Level Estimate,
1982,4951000,25078,479,1283,9554,13762,219888,68881,134383,16624,Missouri,Missouri State-Level Estimate,
1983,4970000,23718,403,1330,8346,13639,201418,60496,125140,15782,Missouri,Missouri State-Level Estimate,
1984,5008000,23071,358,1325,7053,14335,192123,55863,119749,16511,Missouri,Missouri State-Level Estimate,
1985,5029000,25321,409,1468,7425,16019,194247,55252,120650,18345,Missouri,Missouri State-Level Estimate,
1986,5066000,29310,464,1480,8624,18742,206463,57556,126674,22233,Missouri,Missouri State-Level Estimate,
1987,5103000,27792,423,1473,8376,17520,212430,56711,133964,21755,Missouri,Missouri State-Level Estimate,
1988,5139000,28393,413,1505,8638,17837,220578,58605,139648,22325,Missouri,Missouri State-Level Estimate,
1989,5159000,32634,409,1587,10060,20578,231874,58594,146269,27011,Missouri,Missouri State-Level Estimate,
1990,5117073,36602,449,1663,11073,23417,225422,54536,143287,27599,Missouri,Missouri State-Level Estimate,
1991,5158000,39358,543,1756,12952,24107,239982,64643,146533,28806,Missouri,Missouri State-Level Estimate,
1992,5193000,38448,547,1895,11783,24223,226246,57127,143288,25831,Missouri,Missouri State-Level Estimate,
1993,5234000,38963,590,1894,12654,23825,227731,53673,145392,28666,Missouri,Missouri State-Level Estimate,
1994,5278000,39240,554,1955,12178,24553,240898,55577,158283,27038,Missouri,Missouri State-Level Estimate,
1995,5324000,35339,469,1711,10863,22296,237278,49649,162430,25199,Missouri,Missouri State-Level Estimate,
1996,5359000,31669,433,1566,9142,20528,240781,47919,168870,23992,Missouri,Missouri State-Level Estimate,
1997,5402000,31192,426,1525,8430,20811,228889,46900,155472,26517,Missouri,Missouri State-Level Estimate,
1998,5439000,30222,399,1463,8116,20244,232284,47455,160363,24466,Missouri,Missouri State-Level Estimate,
1999,5468338,27353,359,1439,7149,18406,223010,42476,157550,22984,Missouri,Missouri State-Level Estimate,
2000,5595211,27419,347,1351,7598,18123,225919,41685,159539,24695,Missouri,Missouri State-Level Estimate,
2001,5637309,30472,372,1383,7771,20946,238411,42977,167420,28014,Missouri,Missouri State-Level Estimate,
2002,5669544,30557,331,1465,7024,21737,230520,42721,159921,27878,Missouri,Missouri State-Level Estimate,
