year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,1753947,2408,73,229,1362,744,35695,9996,21949,3750,Colorado,Colorado State-Level Estimate,
1961,1781000,2659,83,230,1633,713,40156,11681,23551,4924,Colorado,Colorado State-Level Estimate,
1962,1907000,2990,96,283,1624,987,47872,12988,28740,6144,Colorado,Colorado State-Level Estimate,
1963,1961000,2555,94,285,1340,836,49624,13149,30465,6010,Colorado,Colorado State-Level Estimate,
1964,1966000,3119,82,336,1323,1378,50528,13367,31829,5332,Colorado,Colorado State-Level Estimate,
1965,1969000,3007,69,318,1073,1547,50245,12817,32532,4896,Colorado,Colorado State-Level Estimate,
1966,1977000,3340,79,343,1064,1854,56160,14057,36205,5898,Colorado,Colorado State-Level Estimate,
1967,1975000,3789,81,412,1342,1954,61565,15590,39885,6090,Colorado,Colorado State-Level Estimate,
1968,2048000,5387,110,535,1977,2765,73720,18780,46326,8614,Colorado,Colorado State-Level Estimate,
1969,2100000,6275,112,605,2324,3234,88188,23798,53743,10647,Colorado,Colorado State-Level Estimate,
1970,2207259,7874,137,795,2849,4093,109512,30481,66043,12988,Colorado,Colorado State-Level Estimate,
1971,2283000,8530,149,877,3080,4424,117422,33104,71423,12895,Colorado,Colorado State-Level Estimate,
1972,2357000,9555,196,905,3332,5122,122286,37242,71154,13890,Colorado,Colorado State-Level Estimate,
1973,2437000,10088,193,944,3970,4981,123845,38963,70931,13951,Colorado,Colorado State-Level Estimate,
1974,2496000,10728,151,910,4137,5530,143170,46005,83722,13443,Colorado,Colorado State-Level Estimate,
1975,2534000,11735,188,1051,4412,6084,157421,50710,94873,11838,Colorado,Colorado State-Level Estimate,
1976,2583000,10770,176,873,3608,6113,164419,48558,104443,11418,Colorado,Colorado State-Level Estimate,
1977,2619000,13407,166,1100,4471,7670,165405,50684,102225,12496,Colorado,Colorado State-Level Estimate,
1978,2670000,13296,196,1323,4251,7526,169130,49917,106185,13028,Colorado,Colorado State-Level Estimate,
1979,2772000,14472,161,1472,4353,8486,180984,49741,117898,13345,Colorado,Colorado State-Level Estimate,
1980,2878407,15215,198,1510,4608,8899,195872,58455,124514,12903,Colorado,Colorado State-Level Estimate,
1981,2963000,15755,239,1352,4726,9438,202119,60197,129658,12264,Colorado,Colorado State-Level Estimate,
1982,3045000,15354,182,1356,4587,9229,200230,53260,134873,12097,Colorado,Colorado State-Level Estimate,
1983,3139000,14955,202,1316,3968,9469,193070,48101,133271,11698,Colorado,Colorado State-Level Estimate,
1984,3178000,14548,184,1238,3623,9503,191104,49619,128859,12626,Colorado,Colorado State-Level Estimate,
1985,3231000,15219,189,1321,4012,9697,208336,56480,137868,13988,Colorado,Colorado State-Level Estimate,
1986,3267000,17105,230,1382,4731,10762,212626,58531,138219,15876,Colorado,Colorado State-Level Estimate,
1987,3296000,15409,191,1344,3916,9958,197225,50580,132266,14379,Colorado,Colorado State-Level Estimate,
1988,3290000,15548,187,1269,3250,10842,187719,45503,128331,13885,Colorado,Colorado State-Level Estimate,
1989,3317000,15636,146,1202,2984,11304,184692,41475,128195,15022,Colorado,Colorado State-Level Estimate,
1990,3294394,17328,138,1521,2985,12684,182106,39822,128172,14112,Colorado,Colorado State-Level Estimate,
1991,3377000,18887,199,1588,3628,13472,186235,39117,132717,14401,Colorado,Colorado State-Level Estimate,
1992,3470000,20086,216,1641,4180,14049,186684,37853,131169,17662,Colorado,Colorado State-Level Estimate,
1993,3566000,20229,206,1633,4160,14230,176856,36011,124787,16058,Colorado,Colorado State-Level Estimate,
1994,3656000,18632,199,1579,3910,12944,175808,33843,127600,14365,Colorado,Colorado State-Level Estimate,
1995,3747000,16494,216,1480,3604,11194,185705,35001,136184,14520,Colorado,Colorado State-Level Estimate,
1996,3823000,15463,180,1765,3755,9763,180218,34436,130576,15206,Colorado,Colorado State-Level Estimate,
1997,3893000,14139,157,1677,3242,9063,166902,30994,119801,16107,Colorado,Colorado State-Level Estimate,
1998,3971000,15008,183,1883,3238,9704,163189,31231,115871,16087,Colorado,Colorado State-Level Estimate,
1999,4056133,13811,185,1679,3056,8891,151002,26979,109228,14795,Colorado,Colorado State-Level Estimate,
2000,4301261,14367,134,1774,3034,9425,156937,27133,112843,16961,Colorado,Colorado State-Level Estimate,
2001,4430989,15492,158,1930,3555,9849,170887,28533,121360,20994,Colorado,Colorado State-Level Estimate,
2002,4501051,15882,179,2066,3579,10058,180054,31678,125193,23183,Colorado,Colorado State-Level Estimate,
2003,4547633,15757,185,1913,3738,9921,179706,32394,124496,22816,Colorado,Colorado State-Level Estimate,
2004,4601821,17121,201,1945,3739,11236,180322,33010,123308,24004,Colorado,Colorado State-Level Estimate,
2005,4663295,18498,173,2026,3948,12351,188449,34746,127602,26101,Colorado,Colorado State-Level Estimate,
2006,4753377,18794,171,2158,3824,12641,163439,32411,110372,20656,Colorado,Colorado State-Level Estimate,
2007,4861515,17101,155,2075,3461,11410,145808,28633,100519,16656,Colorado,Colorado State-Level Estimate,
2008,4939456,17480,165,2151,3404,11760,139340,28054,97937,13349,Colorado,Colorado State-Level Estimate,
2009,5024748,17022,159,2269,3371,11223,134196,26637,95079,12480,Colorado,Colorado State-Level Estimate,
2010,5047692,16339,129,2230,3164,10816,135001,26196,97534,11271,Colorado,Colorado State-Level Estimate,
2011,5116302,16085,155,2285,3299,10346,132781,25725,96054,11002,Colorado,Colorado State-Level Estimate,
