year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,859488,316,9,20,122,165,17496,4388,10455,2653,Rhode Island,Rhode Island State-Level Estimate,
1961,867000,372,9,15,115,233,15895,3937,9781,2177,Rhode Island,Rhode Island State-Level Estimate,
1962,865000,402,7,18,108,269,16102,4002,9788,2312,Rhode Island,Rhode Island State-Level Estimate,
1963,885000,500,12,20,153,315,17244,4765,10081,2398,Rhode Island,Rhode Island State-Level Estimate,
1964,914000,578,11,25,162,380,20979,5880,12155,2944,Rhode Island,Rhode Island State-Level Estimate,
1965,920000,722,19,35,175,493,19983,5486,11554,2943,Rhode Island,Rhode Island State-Level Estimate,
1966,898000,849,13,45,228,563,22309,6354,11339,4616,Rhode Island,Rhode Island State-Level Estimate,
1967,9e+05,1156,20,43,283,810,27071,8072,13519,5480,Rhode Island,Rhode Island State-Level Estimate,
1968,913000,1254,22,34,450,748,34221,9948,17284,6989,Rhode Island,Rhode Island State-Level Estimate,
1969,911000,1594,28,36,669,861,36019,8950,19570,7499,Rhode Island,Rhode Island State-Level Estimate,
1970,949723,1944,30,34,744,1136,38598,9677,20763,8158,Rhode Island,Rhode Island State-Level Estimate,
1971,960000,2129,29,54,815,1231,44048,10535,24111,9402,Rhode Island,Rhode Island State-Level Estimate,
1972,968000,2424,13,80,791,1540,41649,10880,22094,8675,Rhode Island,Rhode Island State-Level Estimate,
1973,973000,2749,33,81,944,1691,42771,11570,22499,8702,Rhode Island,Rhode Island State-Level Estimate,
1974,937000,2651,36,69,853,1693,45267,12144,24474,8649,Rhode Island,Rhode Island State-Level Estimate,
1975,927000,2802,28,101,889,1784,49516,13407,26683,9426,Rhode Island,Rhode Island State-Level Estimate,
1976,927000,2779,22,79,844,1834,49598,13110,28279,8209,Rhode Island,Rhode Island State-Level Estimate,
1977,935000,2820,34,98,809,1879,47919,13927,26592,7400,Rhode Island,Rhode Island State-Level Estimate,
1978,935000,3255,37,103,918,2197,45947,13021,25379,7547,Rhode Island,Rhode Island State-Level Estimate,
1979,929000,3485,30,141,1019,2295,50114,14400,28347,7367,Rhode Island,Rhode Island State-Level Estimate,
1980,945835,3864,42,162,1122,2538,52249,16233,28037,7979,Rhode Island,Rhode Island State-Level Estimate,
1981,952000,4205,40,170,1257,2738,51504,15755,27525,8224,Rhode Island,Rhode Island State-Level Estimate,
1982,958000,3849,35,186,1099,2529,47539,13414,27077,7048,Rhode Island,Rhode Island State-Level Estimate,
1983,955000,3392,26,160,1078,2128,44410,12722,25463,6225,Rhode Island,Rhode Island State-Level Estimate,
1984,962000,3220,33,205,1091,1891,42706,11396,24654,6656,Rhode Island,Rhode Island State-Level Estimate,
1985,968000,3355,35,253,1122,1945,42368,11929,24119,6320,Rhode Island,Rhode Island State-Level Estimate,
1986,975000,3271,34,209,1157,1871,44528,12616,25041,6871,Rhode Island,Rhode Island State-Level Estimate,
1987,986000,3547,35,241,1062,2209,48568,14208,26635,7725,Rhode Island,Rhode Island State-Level Estimate,
1988,995000,3947,41,303,1146,2457,47837,12550,27049,8238,Rhode Island,Rhode Island State-Level Estimate,
1989,998000,3772,49,266,1122,2335,48372,12045,27104,9223,Rhode Island,Rhode Island State-Level Estimate,
1990,1003464,4334,48,248,1224,2814,49378,12755,27046,9577,Rhode Island,Rhode Island State-Level Estimate,
1991,1004000,4638,37,310,1234,3057,45957,11320,26664,7973,Rhode Island,Rhode Island State-Level Estimate,
1992,1005000,3965,36,311,950,2668,42044,10529,24052,7463,Rhode Island,Rhode Island State-Level Estimate,
1993,1e+06,4017,39,286,1011,2681,40973,10409,24101,6463,Rhode Island,Rhode Island State-Level Estimate,
1994,997000,3744,41,273,870,2560,37323,9101,23039,5183,Rhode Island,Rhode Island State-Level Estimate,
1995,990000,3643,33,267,914,2429,38378,9234,24780,4364,Rhode Island,Rhode Island State-Level Estimate,
1996,990000,3437,25,287,824,2301,36099,8135,23367,4597,Rhode Island,Rhode Island State-Level Estimate,
1997,987000,3292,25,363,707,2197,32777,7083,21499,4195,Rhode Island,Rhode Island State-Level Estimate,
1998,988000,3084,24,351,659,2050,31672,6452,21391,3829,Rhode Island,Rhode Island State-Level Estimate,
1999,990819,2840,36,391,788,1625,32657,6341,22284,4032,Rhode Island,Rhode Island State-Level Estimate,
2000,1048319,3121,45,412,922,1742,33323,6620,22038,4665,Rhode Island,Rhode Island State-Level Estimate,
2001,1059659,3278,39,416,986,1837,35742,6824,23875,5043,Rhode Island,Rhode Island State-Level Estimate,
2002,1068326,3051,41,395,916,1699,35342,6415,24051,4876,Rhode Island,Rhode Island State-Level Estimate,
2003,1076084,3074,25,505,830,1714,32231,5524,22320,4387,Rhode Island,Rhode Island State-Level Estimate,
2004,1079916,2673,26,320,731,1596,31166,5465,21623,4078,Rhode Island,Rhode Island State-Level Estimate,
2005,1073579,2710,34,323,776,1577,29287,5319,19567,4401,Rhode Island,Rhode Island State-Level Estimate,
2006,1067610,2460,27,289,740,1404,27914,5453,18852,3609,Rhode Island,Rhode Island State-Level Estimate,
2007,1057832,2424,19,258,760,1387,27576,5206,19175,3195,Rhode Island,Rhode Island State-Level Estimate,
2008,1050788,2656,31,282,880,1463,29895,5766,20926,3203,Rhode Island,Rhode Island State-Level Estimate,
2009,1053209,2678,32,296,785,1565,27558,5753,19403,2402,Rhode Island,Rhode Island State-Level Estimate,
2010,1052528,2709,29,298,782,1600,26959,6124,18432,2403,Rhode Island,Rhode Island State-Level Estimate,
2011,1050646,2586,20,319,744,1503,27976,6836,18765,2375,Rhode Island,Rhode Island State-Level Estimate,
2012,1050304,2657,36,292,715,1614,27039,5929,18478,2632,Rhode Island,Rhode Island State-Level Estimate,
2013,1053354,2710,31,449,683,1547,25741,5621,17881,2239,Rhode Island,Rhode Island State-Level Estimate,
2014,1055173,2313,25,361,529,1398,22935,4823,16279,1833,Rhode Island,Rhode Island State-Level Estimate,
2015,1055607,2565,31,467,547,1520,20038,3938,14714,1386,Rhode Island,Rhode Island State-Level Estimate,
2016,1057566,2529,29,445,541,1514,18910,3650,14157,1103,Rhode Island,Rhode Island State-Level Estimate,
2017,1056486,2474,21,454,474,1525,18585,3219,13882,1484,Rhode Island,Rhode Island State-Level Estimate,
2018,1057315,2317,16,481,454,1366,17561,2810,13220,1531,Rhode Island,Rhode Island State-Level Estimate,
