year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1982,881000,7096,120,542,3697,2737,62512,21256,36279,4977,Nevada,Nevada State-Level Estimate,
1983,891000,5838,114,457,2737,2530,53871,17922,31749,4200,Nevada,Nevada State-Level Estimate,
1984,911000,5726,98,553,2542,2533,54045,18023,31508,4514,Nevada,Nevada State-Level Estimate,
1985,936000,6244,96,564,2573,3011,55294,17312,33336,4646,Nevada,Nevada State-Level Estimate,
1986,963000,6923,121,625,2763,3414,53647,15446,33601,4600,Nevada,Nevada State-Level Estimate,
1987,1007000,7006,85,622,2744,3555,57154,16408,35157,5589,Nevada,Nevada State-Level Estimate,
1988,1060000,8275,111,782,3087,4295,60128,16376,37401,6351,Nevada,Nevada State-Level Estimate,
1989,1111000,6947,91,662,2784,3410,62732,15607,40686,6439,Nevada,Nevada State-Level Estimate,
1990,1201833,7222,116,748,2864,3494,65652,16434,42097,7121,Nevada,Nevada State-Level Estimate,
1991,1284000,8693,152,848,4012,3681,72183,18026,45781,8376,Nevada,Nevada State-Level Estimate,
1992,1327000,9247,145,833,4397,3872,73077,17108,46714,9255,Nevada,Nevada State-Level Estimate,
1993,1389000,12157,144,846,4724,6443,73685,17293,46137,10255,Nevada,Nevada State-Level Estimate,
1994,1457000,14597,170,1001,5134,8292,82693,19735,51893,11065,Nevada,Nevada State-Level Estimate,
1995,1530000,14461,163,937,4966,8395,86203,20235,54563,11405,Nevada,Nevada State-Level Estimate,
1996,1603000,13005,220,856,4931,6998,83047,19558,52295,11194,Nevada,Nevada State-Level Estimate,
1997,1677000,13395,187,1005,5071,7132,88307,21975,53112,13220,Nevada,Nevada State-Level Estimate,
1998,1747000,11244,170,911,4453,5710,81006,19873,47367,13766,Nevada,Nevada State-Level Estimate,
1999,1809253,10311,165,943,4209,4994,73874,17613,43167,13094,Nevada,Nevada State-Level Estimate,
2000,1998257,10474,129,860,4543,4942,74823,17526,44125,13172,Nevada,Nevada State-Level Estimate,
2001,2097722,12359,180,883,4932,6364,77486,17711,45073,14702,Nevada,Nevada State-Level Estimate,
2002,2167455,13856,181,928,5118,7629,83896,18951,47459,17486,Nevada,Nevada State-Level Estimate,
2003,2242207,13813,197,871,5225,7520,96128,21958,53321,20849,Nevada,Nevada State-Level Estimate,
2004,2332898,14379,172,954,4905,8348,98215,23142,52438,22635,Nevada,Nevada State-Level Estimate,
2005,2412301,14654,206,1016,4702,8730,102424,23481,52012,26931,Nevada,Nevada State-Level Estimate,
2006,2495529,18687,226,1092,7038,10331,102338,24902,50429,27007,Nevada,Nevada State-Level Estimate,
2007,2565382,19365,193,1096,6938,11138,97118,24911,49844,22363,Nevada,Nevada State-Level Estimate,
2008,2600167,18973,165,1106,6486,11216,90006,24254,49814,15938,Nevada,Nevada State-Level Estimate,
2009,2643085,18639,156,1024,6028,11431,80976,22115,46463,12398,Nevada,Nevada State-Level Estimate,
2010,2704283,17929,158,965,5298,11508,75004,22286,42533,10185,Nevada,Nevada State-Level Estimate,
2011,2720028,15452,139,913,4308,10092,70075,20342,40156,9577,Nevada,Nevada State-Level Estimate,
2012,2754354,16763,124,931,4918,10790,77510,22120,45372,10018,Nevada,Nevada State-Level Estimate,
2013,2791494,16888,163,1482,5183,10060,79177,23047,46132,9998,Nevada,Nevada State-Level Estimate,
2014,2839099,18045,170,1357,5954,10564,74538,21927,42426,10185,Nevada,Nevada State-Level Estimate,
2015,2883758,20118,178,1688,6287,11965,77137,22360,43426,11351,Nevada,Nevada State-Level Estimate,
2016,2939254,19924,228,1729,6338,11629,75922,18816,43949,13157,Nevada,Nevada State-Level Estimate,
2017,2972405,16663,266,1896,4841,9660,78320,20049,45459,12812,Nevada,Nevada State-Level Estimate,
2018,3034392,16420,202,2329,3862,10027,73985,17743,44338,11904,Nevada,Nevada State-Level Estimate,
