year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,2178141,2236,218,112,324,1582,13113,4459,7603,1051,Mississippi,Mississippi State-Level Estimate,,15349
1961,2215000,2274,229,129,345,1571,13942,4703,7928,1311,Mississippi,Mississippi State-Level Estimate,,16216
1962,2248000,2079,164,96,179,1640,14830,5115,8481,1234,Mississippi,Mississippi State-Level Estimate,,16909
1963,2290000,1779,164,98,191,1326,13125,4259,7740,1126,Mississippi,Mississippi State-Level Estimate,,14904
1964,2314000,4118,233,217,476,3192,17786,6157,10359,1270,Mississippi,Mississippi State-Level Estimate,,21904
1965,2321000,3949,207,160,334,3248,18732,6626,10311,1795,Mississippi,Mississippi State-Level Estimate,,22681
1966,2327000,3504,225,185,310,2784,17374,5548,10438,1388,Mississippi,Mississippi State-Level Estimate,,20878
1967,2348000,2672,204,130,248,2090,18464,6053,11080,1331,Mississippi,Mississippi State-Level Estimate,,21136
1968,2342000,3397,232,179,310,2676,22066,7348,13031,1687,Mississippi,Mississippi State-Level Estimate,,25463
1969,2363000,3354,192,215,345,2602,22511,7479,13310,1722,Mississippi,Mississippi State-Level Estimate,,25865
1970,2216912,3974,255,198,421,3100,24898,7785,15376,1737,Mississippi,Mississippi State-Level Estimate,,28872
1971,2226000,6151,328,305,799,4719,29476,9900,17363,2213,Mississippi,Mississippi State-Level Estimate,,35627
1972,2263000,7076,348,395,902,5431,33778,12221,18829,2728,Mississippi,Mississippi State-Level Estimate,,40854
1973,2281000,7734,368,389,1068,5909,36205,13544,20066,2595,Mississippi,Mississippi State-Level Estimate,,43939
1974,2324000,7782,299,405,1116,5962,44489,17562,24042,2885,Mississippi,Mississippi State-Level Estimate,,52271
1975,2346000,7411,327,386,1280,5418,49145,18398,27713,3034,Mississippi,Mississippi State-Level Estimate,,56556
1976,2354000,6954,294,384,1509,4767,51150,19098,29176,2876,Mississippi,Mississippi State-Level Estimate,,58104
1977,2389000,6896,342,468,1569,4517,54945,21873,29622,3450,Mississippi,Mississippi State-Level Estimate,,61841
1978,2404000,7721,302,525,1688,5206,53698,20345,29703,3650,Mississippi,Mississippi State-Level Estimate,,61419
1979,2406000,7786,302,523,1702,5259,63447,23428,36006,4013,Mississippi,Mississippi State-Level Estimate,,71233
1980,2511491,8588,365,619,2035,5569,77234,29612,43142,4480,Mississippi,Mississippi State-Level Estimate,,85822
1981,2530000,7706,319,658,2059,4670,81789,29614,47587,4588,Mississippi,Mississippi State-Level Estimate,,89495
1982,2551000,7515,358,675,1863,4619,83622,30200,49504,3918,Mississippi,Mississippi State-Level Estimate,,91137
1983,2587000,7255,290,616,1650,4699,75740,26479,45584,3677,Mississippi,Mississippi State-Level Estimate,,82995
1984,2598000,7326,252,715,1572,4787,72169,25464,42952,3753,Mississippi,Mississippi State-Level Estimate,,79495
1985,2613000,7079,276,698,1635,4470,78254,26701,47478,4075,Mississippi,Mississippi State-Level Estimate,,85333
1986,2625000,7196,295,678,1697,4526,80612,28242,48430,3940,Mississippi,Mississippi State-Level Estimate,,87808
1987,2625000,7081,269,767,1496,4549,83182,31537,47433,4212,Mississippi,Mississippi State-Level Estimate,,90263
1988,2627000,8544,225,951,2028,5340,85840,33651,47818,4371,Mississippi,Mississippi State-Level Estimate,,94384
1989,2621000,8156,253,1017,2053,4833,83980,30018,49266,4696,Mississippi,Mississippi State-Level Estimate,,92136
1990,2573216,8758,313,1134,2217,5094,90803,32196,53266,5341,Mississippi,Mississippi State-Level Estimate,,99561
1991,2592000,10085,332,1199,3015,5539,99317,34524,57373,7420,Mississippi,Mississippi State-Level Estimate,,109402
1992,2614000,10763,320,1166,3254,6023,101181,33533,58851,8797,Mississippi,Mississippi State-Level Estimate,,111944
1993,2643000,11467,357,1125,3683,6302,105308,33985,62467,8856,Mississippi,Mississippi State-Level Estimate,,116775
1994,2669000,13177,409,1212,4336,7220,115924,34493,70621,10810,Mississippi,Mississippi State-Level Estimate,,129101
1995,2697000,13560,348,1054,3530,8628,108195,30505,67967,9723,Mississippi,Mississippi State-Level Estimate,,121755
1996,2716000,13261,301,981,3646,8333,109581,30755,69299,9527,Mississippi,Mississippi State-Level Estimate,,122842
1997,2731000,12808,358,1065,3741,7644,113644,32429,71887,9328,Mississippi,Mississippi State-Level Estimate,,126452
1998,2752000,11302,315,1026,3394,6567,109345,31498,68525,9322,Mississippi,Mississippi State-Level Estimate,,120647
1999,2768619,9671,213,1156,3091,5211,108560,29109,65919,13532,Mississippi,Mississippi State-Level Estimate,,118231
2000,2844658,10267,255,1019,2703,6290,103644,26918,69758,6968,Mississippi,Mississippi State-Level Estimate,,113911
2001,2859733,10006,282,1147,3294,5283,109609,29821,70315,9473,Mississippi,Mississippi State-Level Estimate,,119615
2002,2866733,9858,264,1127,3356,5111,109584,29593,70468,9523,Mississippi,Mississippi State-Level Estimate,,119442
2003,2882594,9336,267,1079,3016,4974,106867,29564,68307,8996,Mississippi,Mississippi State-Level Estimate,,116203
2004,2900768,8568,227,1161,2503,4677,100980,27661,65440,7879,Mississippi,Mississippi State-Level Estimate,,109548
2005,2908496,8131,214,1147,2405,4365,95231,26866,60873,7492,Mississippi,Mississippi State-Level Estimate,,103362
2006,2910540,9076,231,1039,3259,4547,92853,27117,57406,8330,Mississippi,Mississippi State-Level Estimate,,101929
2007,2918785,8502,202,1033,2896,4371,90887,27223,56473,7191,Mississippi,Mississippi State-Level Estimate,,99389
2008,2938618,8942,236,958,3079,4669,85488,25506,53730,6252,Mississippi,Mississippi State-Level Estimate,,94430
2009,2951996,8451,194,991,2969,4297,87327,29559,52329,5439,Mississippi,Mississippi State-Level Estimate,,95778
2010,2970072,7999,204,931,2777,4087,88596,30453,52784,5359,Mississippi,Mississippi State-Level Estimate,,96595
2011,2977457,8009,232,863,2496,4418,89809,30722,54179,4908,Mississippi,Mississippi State-Level Estimate,,97818
2012,2986450,7769,213,819,2277,4460,83933,28084,51520,4329,Mississippi,Mississippi State-Level Estimate,,91702
2013,2992206,8303,217,1024,2413,4649,81548,24969,52192,4387,Mississippi,Mississippi State-Level Estimate,,89851
2014,2994079,8338,258,1058,2430,4592,87462,24352,58591,4519,Mississippi,Mississippi State-Level Estimate,,95800
2015,2989390,8190,253,1158,2312,4467,85785,25068,56446,4271,Mississippi,Mississippi State-Level Estimate,,93975
2016,2985415,8411,237,1282,2433,4459,82521,23489,54725,4307,Mississippi,Mississippi State-Level Estimate,,90932
2017,2989663,7661,190,658,2492,4321,82764,22449,55968,4347,Mississippi,Mississippi State-Level Estimate,,90425
2018,2986530,6999,171,537,1595,4696,71766,20839,46627,4300,Mississippi,Mississippi State-Level Estimate,,78765
