agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Havana Police Department,2019,Florida,1701,FL02003,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,17,7,8,2,29,13,4,0,9,61,0,2,2,59,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2018,Florida,,FL02003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havana Police Department,2017,Florida,,FL02003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havana Police Department,2016,Florida,1674,FL02003,0,0,0,0,0,2,2,0,0,0,0,0,0,7,0,1,2,0,4,6,0,6,0,8,2,1,0,1,25,0,3,5,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2015,Florida,1683,FL02003,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,1,0,2,7,3,4,0,26,3,3,0,0,41,0,2,3,36,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2014,Florida,1696,FL02003,0,0,0,0,0,1,0,1,1,0,0,0,1,9,0,0,1,2,6,6,0,6,0,23,1,0,0,1,41,0,3,5,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2013,Florida,1705,FL02003,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,2,6,5,5,0,0,23,1,1,0,0,38,0,3,3,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2012,Florida,1767,FL02003,0,0,1,1,0,2,2,0,1,1,0,0,0,24,0,0,4,8,12,8,8,0,0,32,1,1,0,0,69,0,12,16,41,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2011,Florida,1778,FL02003,0,0,0,0,0,0,0,0,2,0,0,1,1,18,0,2,3,2,11,11,8,3,0,49,8,3,0,5,88,0,7,9,68,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2010,Florida,1754,FL02003,0,0,0,0,0,0,0,0,2,1,0,0,1,21,0,1,1,2,17,27,25,1,1,43,1,1,0,0,94,0,4,6,71,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2009,Florida,1689,FL02003,0,0,0,0,0,1,1,0,4,0,0,0,4,23,1,1,0,6,15,13,10,3,0,38,1,0,0,1,80,0,8,13,52,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2008,Florida,1666,FL02003,0,0,0,0,0,0,0,0,3,1,0,1,1,33,2,2,1,6,22,16,13,2,1,57,4,4,0,0,113,0,11,14,77,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2007,Florida,1703,FL02003,0,0,0,0,0,1,1,0,1,0,0,0,1,28,0,0,0,10,18,35,12,20,3,65,6,3,1,2,136,0,10,12,106,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havana Police Department,2006,Florida,1730,FL02003,0,0,1,0,0,0,0,0,1,1,0,0,0,35,1,2,3,13,16,21,9,10,2,41,7,7,0,0,105,0,19,20,69,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
