year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,2853214,1616,61,166,886,503,62072,13908,43657,4507,Washington,Washington State-Level Estimate,,63688
1961,2902000,1687,63,180,902,542,63065,13694,44450,4921,Washington,Washington State-Level Estimate,,64752
1962,3006000,1913,74,189,912,738,68238,14695,48212,5331,Washington,Washington State-Level Estimate,,70151
1963,3050000,2034,76,196,914,848,71051,16134,49490,5427,Washington,Washington State-Level Estimate,,73085
1964,2984000,2761,72,229,850,1610,78676,17914,55011,5751,Washington,Washington State-Level Estimate,,81437
1965,2990000,3081,67,304,905,1805,78286,18271,54290,5725,Washington,Washington State-Level Estimate,,81367
1966,2980000,3673,75,346,1094,2158,88684,19958,61563,7163,Washington,Washington State-Level Estimate,,92357
1967,3087000,4754,96,387,1686,2585,110599,25859,76049,8691,Washington,Washington State-Level Estimate,,115353
1968,3276000,6970,118,561,3223,3068,122922,33399,79790,9733,Washington,Washington State-Level Estimate,,129892
1969,3402000,8243,124,660,3844,3615,149468,44106,92411,12951,Washington,Washington State-Level Estimate,,157711
1970,3409169,7546,120,613,3189,3624,158858,49244,97279,12335,Washington,Washington State-Level Estimate,,166404
1971,3449000,8155,130,612,3219,4194,160359,48038,100447,11874,Washington,Washington State-Level Estimate,,168514
1972,3443000,8627,146,749,3016,4716,153305,47563,94336,11406,Washington,Washington State-Level Estimate,,161932
1973,3429000,9309,137,897,3302,4973,165225,52819,99522,12884,Washington,Washington State-Level Estimate,,174534
1974,3476000,12036,179,1008,4015,6834,196839,61611,121132,14096,Washington,Washington State-Level Estimate,,208875
1975,3544000,13851,202,1160,4395,8094,203783,61065,129060,13658,Washington,Washington State-Level Estimate,,217634
1976,3612000,14036,154,1238,4317,8327,195244,59324,123324,12596,Washington,Washington State-Level Estimate,,209280
1977,3658000,13714,159,1447,3886,8222,195807,58732,123894,13181,Washington,Washington State-Level Estimate,,209521
1978,3774000,15296,175,1556,4719,8846,215506,66672,133931,14903,Washington,Washington State-Level Estimate,,230802
1979,3926000,17064,187,1821,4739,10317,239285,70024,152204,17057,Washington,Washington State-Level Estimate,,256349
1980,4113331,19098,225,2169,5558,11146,265338,76598,172468,16272,Washington,Washington State-Level Estimate,,284436
1981,4212000,18839,213,2115,5475,11036,265135,79696,171994,13445,Washington,Washington State-Level Estimate,,283974
1982,4245000,17251,185,1947,5003,10116,249429,71322,166188,11919,Washington,Washington State-Level Estimate,,266680
1983,4300000,15986,212,1923,4533,9318,245357,70526,163953,10878,Washington,Washington State-Level Estimate,,261343
1984,4349000,17676,202,2176,5247,10051,247687,74021,162905,10761,Washington,Washington State-Level Estimate,,265363
1985,4409000,18757,231,2420,5821,10285,269099,79859,176501,12739,Washington,Washington State-Level Estimate,,287856
1986,4463000,19505,223,2382,6031,10869,287535,83078,190420,14037,Washington,Washington State-Level Estimate,,307040
1987,4538000,19945,256,2370,6417,10902,298491,86428,194131,17932,Washington,Washington State-Level Estimate,,318436
1988,4619000,21543,264,2611,6738,11930,307008,85711,201301,19996,Washington,Washington State-Level Estimate,,328551
1989,4761000,22460,209,2938,6672,12641,291472,73563,196122,21787,Washington,Washington State-Level Estimate,,313932
1990,4866692,24410,238,3115,6326,14731,278440,61460,195221,21759,Washington,Washington State-Level Estimate,,302850
1991,5018000,26224,211,3529,7303,15181,290115,61996,205814,22305,Washington,Washington State-Level Estimate,,316339
1992,5136000,27454,258,3697,7178,16321,289581,57612,207755,24214,Washington,Washington State-Level Estimate,,317035
1993,5255000,27040,271,3384,7204,16181,285753,56083,205701,23969,Washington,Washington State-Level Estimate,,312793
1994,5343000,27317,294,3230,7464,16329,294734,55793,212198,26743,Washington,Washington State-Level Estimate,,322051
1995,5431000,26300,275,3214,7209,15602,314213,59265,224861,30087,Washington,Washington State-Level Estimate,,340513
1996,5533000,23857,255,2828,6587,14187,303111,58512,215706,28893,Washington,Washington State-Level Estimate,,326968
1997,5610000,24724,244,2885,6734,14864,307742,62064,213823,31855,Washington,Washington State-Level Estimate,,332466
1998,5689000,24380,224,2740,6577,14839,309419,60446,213773,35200,Washington,Washington State-Level Estimate,,333799
1999,5756361,21716,171,2711,5808,13026,280793,54652,192334,33807,Washington,Washington State-Level Estimate,,302509
2000,5894121,21788,196,2737,5812,13043,279144,53476,190650,35018,Washington,Washington State-Level Estimate,,300932
2001,5993390,21258,179,2600,5934,12545,287234,53024,195133,39077,Washington,Washington State-Level Estimate,,308492
2002,6067060,20964,184,2734,5797,12249,288967,54948,193526,40493,Washington,Washington State-Level Estimate,,309931
2003,6131298,21272,182,2863,5718,12509,291542,58271,192653,40618,Washington,Washington State-Level Estimate,,312814
2004,6207046,21330,190,2857,5866,12417,300837,60632,196972,43233,Washington,Washington State-Level Estimate,,322167
2005,6291899,21745,205,2811,5788,12941,307661,60343,198031,49287,Washington,Washington State-Level Estimate,,329406
2006,6395798,22303,197,2748,6424,12934,288456,58843,183179,46434,Washington,Washington State-Level Estimate,,310759
2007,6468424,21768,174,2653,6079,12862,261776,52874,170782,38120,Washington,Washington State-Level Estimate,,283544
2008,6549224,21888,193,2653,6419,12623,249283,53136,167013,29134,Washington,Washington State-Level Estimate,,271171
2009,6664195,22412,190,2583,6711,12928,245215,53047,168421,23747,Washington,Washington State-Level Estimate,,267627
2010,6742950,21138,154,2579,5929,12476,249426,55192,168490,25744,Washington,Washington State-Level Estimate,,270564
2011,6823267,20152,163,2320,5627,12042,244209,56561,162828,24820,Washington,Washington State-Level Estimate,,264361
2012,6895318,20553,217,2250,5801,12285,254377,61376,166338,26663,Washington,Washington State-Level Estimate,,274930
2013,6973742,20223,167,2604,5829,11623,259139,58487,172227,28425,Washington,Washington State-Level Estimate,,279362
2014,7061530,20136,174,2695,5640,11627,261706,55290,175769,30647,Washington,Washington State-Level Estimate,,281842
2015,7160290,20505,218,2778,5450,12059,249474,51114,171393,26967,Washington,Washington State-Level Estimate,,269979
2016,7280934,22101,195,3133,5649,13124,254994,49249,173423,32322,Washington,Washington State-Level Estimate,,277095
2017,7425432,22483,226,3300,5386,13571,235206,43687,162154,29365,Washington,Washington State-Level Estimate,,257689
2018,7535591,23472,236,3413,5572,14251,222011,40201,154133,27677,Washington,Washington State-Level Estimate,,245483
