year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,951023,1360,70,117,376,797,21337,4331,14501,2505,New Mexico,New Mexico State-Level Estimate,,22697
1961,983000,1278,67,127,381,703,20273,4357,13744,2172,New Mexico,New Mexico State-Level Estimate,,21551
1962,1020000,1338,64,127,419,728,21654,5256,14109,2289,New Mexico,New Mexico State-Level Estimate,,22992
1963,1018000,1376,57,124,385,810,23283,6080,14841,2362,New Mexico,New Mexico State-Level Estimate,,24659
1964,1008000,1613,56,124,476,957,25303,6782,16108,2413,New Mexico,New Mexico State-Level Estimate,,26916
1965,1029000,2047,65,142,449,1391,27379,7563,17491,2325,New Mexico,New Mexico State-Level Estimate,,29426
1966,1022000,2221,64,138,458,1561,31133,9380,18971,2782,New Mexico,New Mexico State-Level Estimate,,33354
1967,1003000,2325,66,155,456,1648,30477,8539,19378,2560,New Mexico,New Mexico State-Level Estimate,,32802
1968,1015000,2543,65,214,513,1751,35997,9848,22792,3357,New Mexico,New Mexico State-Level Estimate,,38540
1969,994000,2881,63,249,647,1922,41973,12234,25622,4117,New Mexico,New Mexico State-Level Estimate,,44854
1970,1016000,3093,98,227,687,2081,41977,12156,25729,4092,New Mexico,New Mexico State-Level Estimate,,45070
1971,1030000,3994,124,270,1062,2538,48595,14596,29274,4725,New Mexico,New Mexico State-Level Estimate,,52589
1972,1065000,4598,122,359,1295,2822,48102,15650,28409,4043,New Mexico,New Mexico State-Level Estimate,,52700
1973,1106000,5219,130,366,1424,3299,49330,16601,28914,3815,New Mexico,New Mexico State-Level Estimate,,54549
1974,1122000,5053,127,391,1398,3137,53436,17762,32240,3434,New Mexico,New Mexico State-Level Estimate,,58489
1975,1147000,6134,153,470,1453,4058,60844,19828,37378,3638,New Mexico,New Mexico State-Level Estimate,,66978
1976,1168000,6475,113,479,1457,4426,66116,19617,42650,3849,New Mexico,New Mexico State-Level Estimate,,72591
1977,1190000,5961,105,465,1304,4087,55772,16882,35802,3088,New Mexico,New Mexico State-Level Estimate,,61733
1978,1212000,6402,124,517,1352,4409,56384,16188,36393,3803,New Mexico,New Mexico State-Level Estimate,,62786
1979,1241000,7272,154,582,1502,5034,64563,18385,41745,4433,New Mexico,New Mexico State-Level Estimate,,71835
1980,1295474,7967,170,561,1657,5579,69490,19335,45613,4542,New Mexico,New Mexico State-Level Estimate,,77457
1981,1327000,8913,151,628,1868,6266,73369,21405,47252,4712,New Mexico,New Mexico State-Level Estimate,,82282
1982,1359000,9982,158,656,1715,7453,79816,22135,53402,4279,New Mexico,New Mexico State-Level Estimate,,89798
1983,1399000,9608,124,671,1595,7218,79175,21813,53077,4285,New Mexico,New Mexico State-Level Estimate,,88783
1984,1424000,9798,130,783,1856,7029,79108,23349,51195,4564,New Mexico,New Mexico State-Level Estimate,,88906
1985,1450000,10207,158,722,2003,7324,83843,25432,53398,5013,New Mexico,New Mexico State-Level Estimate,,94050
1986,1479000,10731,170,693,1916,7952,87266,27283,54906,5077,New Mexico,New Mexico State-Level Estimate,,97997
1987,1500000,9427,152,646,1625,7004,88775,26815,56777,5183,New Mexico,New Mexico State-Level Estimate,,98202
1988,1510000,9938,173,580,1557,7628,89817,27737,56192,5888,New Mexico,New Mexico State-Level Estimate,,99755
1989,1528000,10755,132,702,1607,8314,89693,26146,58201,5346,New Mexico,New Mexico State-Level Estimate,,100448
1990,1515069,11821,139,753,1744,9185,89448,26343,58004,5101,New Mexico,New Mexico State-Level Estimate,,101269
1991,1548000,12922,163,811,1862,10086,90474,26672,58441,5361,New Mexico,New Mexico State-Level Estimate,,103396
1992,1581000,14781,141,990,2202,11448,86942,23896,57072,5974,New Mexico,New Mexico State-Level Estimate,,101723
1993,1616000,15024,130,842,2237,11815,86236,22966,56723,6547,New Mexico,New Mexico State-Level Estimate,,101260
1994,1654000,14708,177,866,2329,11336,87638,21945,57343,8350,New Mexico,New Mexico State-Level Estimate,,102346
1995,1685000,13804,148,954,2604,10098,94508,24383,61478,8647,New Mexico,New Mexico State-Level Estimate,,108312
1996,1713000,14399,197,1088,2782,10332,98698,23586,65139,9973,New Mexico,New Mexico State-Level Estimate,,113097
1997,1730000,14762,134,872,2966,10790,104721,25126,67188,12407,New Mexico,New Mexico State-Level Estimate,,119483
1998,1737000,16700,190,957,2839,12714,100011,24213,65031,10767,New Mexico,New Mexico State-Level Estimate,,116711
1999,1739844,14520,170,944,2579,10827,89220,21481,59613,8126,New Mexico,New Mexico State-Level Estimate,,103740
2000,1819046,13786,135,922,2499,10230,86605,21339,57925,7341,New Mexico,New Mexico State-Level Estimate,,100391
2001,1830935,14288,99,850,2695,10644,83095,19552,56406,7137,New Mexico,New Mexico State-Level Estimate,,97383
2002,1852044,13719,152,1027,2206,10334,80477,19634,53406,7437,New Mexico,New Mexico State-Level Estimate,,94196
