agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Lafayette County Sheriff's Office,1998,Arkansas,6826,AR03700,1,0,2,2,0,0,0,0,0,0,22,0,1,2,0,19,33,28,4,1,44,3,0,1,2,105,3,1,0,2,2,0,0,0,0,0,0,21,0,1,2,0,18,17,15,2,0,17,3,0,1,2,61,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette County Sheriff's Office,1997,Arkansas,6979,AR03700,0,0,4,4,0,1,0,0,0,1,46,4,3,3,9,27,37,29,4,4,70,6,2,0,4,164,19,0,0,4,4,0,1,0,0,0,1,46,4,3,3,9,27,19,16,0,3,23,1,0,0,1,94,19,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,5,3,0,2,0,0,0,0,0,8,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,5,0
Lafayette County Sheriff's Office,1996,Arkansas,6944,AR03700,1,0,3,2,1,3,1,0,0,2,21,0,1,1,3,16,36,32,3,1,66,5,5,0,0,135,5,1,0,2,2,0,3,1,0,0,2,21,0,1,1,3,16,17,16,1,0,17,4,4,0,0,65,5,0,0,0,0,0,3,1,0,0,2,1,0,1,0,0,0,5,5,0,0,2,1,1,0,0,12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,4,0
Lafayette County Sheriff's Office,1995,Arkansas,9399,AR03700,2,0,7,7,0,1,0,0,0,1,14,1,3,1,2,7,33,24,8,1,35,6,4,0,2,98,7,2,0,6,6,0,1,0,0,0,1,13,0,3,1,2,7,14,12,1,1,9,3,3,0,0,48,6,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,0,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette County Sheriff's Office,1994,Arkansas,9575,AR03700,1,0,3,3,0,3,1,0,1,1,10,6,3,0,1,0,36,21,15,0,37,8,5,2,1,98,10,0,0,2,2,0,2,0,0,1,1,10,6,3,0,1,0,6,3,3,0,8,5,3,2,0,33,10,0,0,0,0,0,1,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,2,2,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette County Sheriff's Office,1993,Arkansas,9462,AR03700,0,0,5,5,0,1,0,1,0,0,12,10,0,1,1,0,33,20,13,0,48,3,2,1,0,102,12,0,0,3,3,0,1,0,1,0,0,10,9,0,1,0,0,6,4,2,0,5,1,0,1,0,26,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette County Sheriff's Office,1992,Arkansas,9840,AR03700,2,0,0,0,0,1,0,0,1,0,6,2,1,1,1,1,58,20,36,2,57,3,0,1,2,127,5,2,0,0,0,0,1,0,0,1,0,3,2,0,1,0,0,15,7,8,0,11,2,0,1,1,34,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette County Sheriff's Office,1991,Arkansas,9730,AR03700,4,0,0,0,0,0,0,0,0,0,7,1,1,1,3,1,46,29,17,0,66,5,2,3,0,128,6,4,0,2,2,0,0,0,0,0,0,8,2,1,1,3,1,21,16,5,0,15,5,2,3,0,55,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette County Sheriff's Office,1990,Arkansas,9643,AR03700,1,0,5,4,1,1,1,0,0,0,4,1,0,0,1,2,37,23,14,0,53,6,3,3,0,107,2,1,0,4,4,0,1,1,0,0,0,2,0,0,0,1,1,6,4,2,0,3,6,3,3,0,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette County Sheriff's Office,1989,Arkansas,9544,AR03700,0,0,4,4,0,2,1,0,1,0,2,1,1,0,0,0,49,25,24,0,56,10,5,4,1,123,2,0,0,4,4,0,1,0,0,1,0,1,0,1,0,0,0,11,7,4,0,5,6,1,4,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
