year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,1860421,1200,81,78,238,803,12208,4358,6558,1292,West Virginia,West Virginia State-Level Estimate,,13408
1961,1850000,1167,82,81,216,788,11085,4396,5426,1263,West Virginia,West Virginia State-Level Estimate,,12252
1962,1773000,1146,66,75,273,732,12097,3837,6996,1264,West Virginia,West Virginia State-Level Estimate,,13243
1963,1778000,1185,95,74,260,756,12503,4023,7164,1316,West Virginia,West Virginia State-Level Estimate,,13688
1964,1797000,1359,67,89,303,900,13603,4818,7375,1410,West Virginia,West Virginia State-Level Estimate,,14962
1965,1812000,1413,72,77,261,1003,13435,4600,7577,1258,West Virginia,West Virginia State-Level Estimate,,14848
1966,1794000,1613,76,91,342,1104,15188,4651,9146,1391,West Virginia,West Virginia State-Level Estimate,,16801
1967,1798000,1744,83,85,347,1229,16681,5365,9745,1571,West Virginia,West Virginia State-Level Estimate,,18425
1968,1805000,1959,99,79,460,1321,19069,6313,11096,1660,West Virginia,West Virginia State-Level Estimate,,21028
1969,1819000,1766,102,93,347,1224,18330,5870,10906,1554,West Virginia,West Virginia State-Level Estimate,,20096
1970,1744237,2158,109,116,476,1457,21886,6777,13497,1612,West Virginia,West Virginia State-Level Estimate,,24044
1971,1752000,2311,113,87,620,1491,22241,6792,13507,1942,West Virginia,West Virginia State-Level Estimate,,24552
1972,1781000,2299,109,146,562,1482,23285,7356,13976,1953,West Virginia,West Virginia State-Level Estimate,,25584
1973,1794000,2219,103,166,501,1449,24180,7459,14799,1922,West Virginia,West Virginia State-Level Estimate,,26399
1974,1791000,2460,108,179,631,1542,29229,9883,17074,2272,West Virginia,West Virginia State-Level Estimate,,31689
1975,1803000,2915,133,168,820,1794,35089,10656,22154,2279,West Virginia,West Virginia State-Level Estimate,,38004
1976,1821000,2761,122,188,692,1759,39480,10437,26568,2475,West Virginia,West Virginia State-Level Estimate,,42241
1977,1859000,2832,112,246,784,1690,39083,11106,24942,3035,West Virginia,West Virginia State-Level Estimate,,41915
1978,1860000,3120,127,273,862,1858,39104,12059,23776,3269,West Virginia,West Virginia State-Level Estimate,,42224
1979,1878000,3156,128,291,825,1912,40513,11959,24755,3799,West Virginia,West Virginia State-Level Estimate,,43669
