year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,226167,236,23,47,64,102,3494,751,2195,548,Alaska,Alaska State-Level Estimate,,3730
1961,234000,208,27,31,29,121,3605,891,2223,491,Alaska,Alaska State-Level Estimate,,3813
1962,246000,225,11,46,34,134,3849,865,2424,560,Alaska,Alaska State-Level Estimate,,4074
1963,248000,272,16,37,55,164,4843,946,3010,887,Alaska,Alaska State-Level Estimate,,5115
1964,250000,375,26,56,53,240,5040,1109,3046,885,Alaska,Alaska State-Level Estimate,,5415
1965,253000,377,16,45,101,215,6210,1403,3777,1030,Alaska,Alaska State-Level Estimate,,6587
1966,272000,409,35,53,98,223,7168,1613,4354,1201,Alaska,Alaska State-Level Estimate,,7577
1967,272000,437,26,48,96,267,7409,1873,4436,1100,Alaska,Alaska State-Level Estimate,,7846
1968,277000,486,29,60,146,251,8713,2070,5307,1336,Alaska,Alaska State-Level Estimate,,9199
1969,282000,624,30,83,190,321,10318,2455,6195,1668,Alaska,Alaska State-Level Estimate,,10942
1970,302173,840,37,79,217,507,10648,2387,6595,1666,Alaska,Alaska State-Level Estimate,,11488
1971,313000,1112,42,136,210,724,11923,2656,7631,1636,Alaska,Alaska State-Level Estimate,,13035
1972,325000,1204,31,136,216,821,13351,3155,8577,1619,Alaska,Alaska State-Level Estimate,,14555
1973,330000,1269,33,147,221,868,15044,3852,9456,1736,Alaska,Alaska State-Level Estimate,,16313
1974,337000,1527,46,166,298,1017,16131,3932,10016,2183,Alaska,Alaska State-Level Estimate,,17658
1975,352000,1900,43,157,456,1244,19912,4275,12399,3238,Alaska,Alaska State-Level Estimate,,21812
1976,382000,2063,43,179,477,1364,21700,4653,13969,3078,Alaska,Alaska State-Level Estimate,,23763
1977,407000,1804,44,210,394,1156,22201,5420,13715,3066,Alaska,Alaska State-Level Estimate,,24005
1978,403000,1781,52,224,368,1137,22585,5397,14522,2666,Alaska,Alaska State-Level Estimate,,24366
1979,406000,1994,54,292,445,1203,23193,5616,15076,2501,Alaska,Alaska State-Level Estimate,,25187
1980,440142,1919,39,250,360,1270,22930,5545,14916,2469,Alaska,Alaska State-Level Estimate,,24849
1981,412000,2537,60,421,472,1584,24634,5479,16310,2845,Alaska,Alaska State-Level Estimate,,27171
1982,438000,2732,81,374,586,1691,24479,5204,16672,2603,Alaska,Alaska State-Level Estimate,,27211
1983,479000,2940,66,486,465,1923,25889,5720,17085,3084,Alaska,Alaska State-Level Estimate,,28829
1984,5e+05,3108,58,458,547,2045,27468,6184,18140,3144,Alaska,Alaska State-Level Estimate,,30576
1985,521000,3031,51,402,484,2094,27588,6209,18220,3159,Alaska,Alaska State-Level Estimate,,30619
1986,534000,3046,46,388,470,2142,30307,6204,20879,3224,Alaska,Alaska State-Level Estimate,,33353
1987,525000,2391,53,341,384,1613,25841,5093,18195,2553,Alaska,Alaska State-Level Estimate,,28232
1988,513000,2682,29,296,374,1983,22566,4321,15911,2334,Alaska,Alaska State-Level Estimate,,25248
1989,527000,2623,42,279,356,1946,22567,4358,15811,2398,Alaska,Alaska State-Level Estimate,,25190
1990,550043,2885,41,401,422,2021,25457,4919,17428,3110,Alaska,Alaska State-Level Estimate,,28342
1991,570000,3499,42,523,645,2289,29000,5582,20375,3043,Alaska,Alaska State-Level Estimate,,32499
1992,587000,3877,44,579,640,2614,28816,5170,20728,2918,Alaska,Alaska State-Level Estimate,,32693
1993,599000,4557,54,502,733,3268,28795,4893,21201,2701,Alaska,Alaska State-Level Estimate,,33352
1994,606000,4644,38,418,886,3302,29947,4848,21824,3275,Alaska,Alaska State-Level Estimate,,34591
