agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Enid Police Department,2023,Oklahoma,50168,OK02401,0,0,0,1,1,52,51,1,9,2,1,0,6,956,39,21,79,30,787,378,234,115,29,964,84,61,13,10,2445,0,169,231,1426,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enid Police Department,2022,Oklahoma,49990,OK02401,0,0,0,0,0,46,46,0,13,3,1,0,9,911,30,37,50,34,760,369,233,114,22,1004,84,60,13,11,2427,0,151,210,1457,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enid Police Department,2021,Oklahoma,49545,OK02401,0,0,0,0,0,39,36,3,10,5,1,0,4,852,30,27,40,26,729,362,223,129,10,824,107,81,15,11,2194,0,123,172,1293,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enid Police Department,2020,Oklahoma,49708,OK02401,0,0,0,4,0,35,35,0,15,5,1,3,6,934,29,14,66,70,755,375,263,85,27,948,97,83,3,11,2408,0,179,233,1420,1653,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,2,1,0,10,0,0,4,6,10
Enid Police Department,2019,Oklahoma,49598,OK02401,0,0,1,1,0,44,43,1,9,1,0,1,7,922,12,20,74,44,772,364,257,80,27,1148,113,97,12,4,2601,0,150,204,1625,1829,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
Enid Police Department,2018,Oklahoma,50214,OK02401,0,0,27,3,0,34,33,1,17,6,3,2,6,883,12,20,78,9,764,370,264,86,20,975,83,77,5,1,2365,0,119,173,1428,1601,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,2,3
Enid Police Department,2017,Oklahoma,51257,OK02401,0,0,13,0,1,34,31,3,21,7,4,6,4,890,12,10,93,4,771,417,268,108,41,1242,92,77,5,10,2697,0,119,174,1751,1925,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,5,5,0,0,8,0,0,1,7,8
Enid Police Department,2016,Oklahoma,52240,OK02401,0,0,15,2,0,29,28,1,27,14,0,5,8,990,7,15,121,13,834,474,335,123,16,1489,78,72,5,1,3089,0,156,214,2041,2255,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,1,0,1,7,0,0,3,2,5
Enid Police Department,2015,Oklahoma,51870,OK02401,0,0,2,1,0,29,29,0,20,8,1,4,7,981,12,11,97,3,858,422,315,107,0,1373,72,58,10,4,2898,0,123,173,1867,2040,0,0,2,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3
Enid Police Department,2014,Oklahoma,51037,OK02401,0,0,0,0,0,45,44,1,24,5,3,5,11,1137,5,12,99,4,1017,486,355,123,8,1460,99,85,9,5,3251,0,120,189,2045,2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enid Police Department,2013,Oklahoma,49965,OK02401,0,0,0,3,0,24,21,3,16,1,3,4,8,1195,14,19,148,4,1010,557,366,163,28,1647,90,70,19,1,3532,0,185,228,2294,2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enid Police Department,2012,Oklahoma,49755,OK02401,0,0,0,2,1,28,28,0,21,4,1,3,13,1228,15,22,62,14,1115,486,335,138,13,1402,90,63,24,3,3258,0,113,164,1978,2142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enid Police Department,2011,Oklahoma,49908,OK02401,0,0,0,0,0,22,22,0,31,11,1,4,15,1286,23,34,72,40,1117,445,300,134,11,1325,73,59,11,3,3182,0,169,222,1843,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enid Police Department,2010,Oklahoma,49379,OK02401,0,0,0,2,0,28,28,0,25,7,0,4,14,1453,28,32,49,62,1282,466,302,154,10,1642,65,50,13,2,3681,0,171,226,2173,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enid Police Department,2009,Oklahoma,47448,OK02401,0,0,0,2,0,39,38,1,32,12,3,4,13,1463,20,32,55,71,1285,556,339,197,20,1792,91,74,14,3,3975,0,178,251,2439,2690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1
Enid Police Department,2008,Oklahoma,47017,OK02401,0,0,0,0,0,26,26,0,35,12,1,10,12,1555,21,35,62,33,1404,610,402,176,32,1575,104,84,20,0,3905,0,151,212,2289,2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Enid Police Department,2007,Oklahoma,46454,OK02401,0,0,0,3,0,22,22,0,22,5,6,4,7,1607,10,28,47,23,1499,465,271,173,21,1452,73,72,1,0,3644,0,108,155,1990,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2
Enid Police Department,2006,Oklahoma,46826,OK02401,0,0,0,1,0,25,23,2,30,10,3,3,14,1693,19,19,78,8,1569,481,319,143,19,1429,127,81,28,18,3786,0,124,180,2037,2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,0,5,0,0,0,5,5
Enid Police Department,2005,Oklahoma,46948,OK02401,0,0,0,0,0,25,25,0,32,12,2,0,18,1933,25,25,81,11,1791,785,591,166,28,1820,101,57,36,8,4696,0,142,199,2706,2905,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,3,0,1,1,2,3
Enid Police Department,2004,Oklahoma,46595,OK02401,0,0,0,1,0,34,34,0,18,4,3,2,9,1811,40,40,78,5,1648,616,451,100,65,1923,100,64,25,11,4503,0,163,216,2639,2855,0,0,1,1,0,1,1,0,0,0,4,0,1,0,0,3,3,2,1,0,12,4,3,1,0,25,0,1,3,19,22
Enid Police Department,2003,Oklahoma,46768,OK02401,0,0,0,1,0,35,33,2,24,9,2,1,12,1581,23,33,80,5,1440,550,434,30,86,2126,104,66,32,6,4421,0,141,201,2780,2981,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,1,3,3,0,0,11,1,1,0,0,19,0,1,3,15,18
Enid Police Department,2002,Oklahoma,47632,OK02401,0,0,0,0,0,34,33,1,25,8,4,1,12,1669,51,44,96,1,1477,638,575,31,32,1969,127,71,45,11,4462,0,192,251,2734,2985,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,27,6,4,2,0,36,0,1,2,34,36
Enid Police Department,2001,Oklahoma,47174,OK02401,0,0,0,1,0,30,30,0,34,14,2,2,16,1601,40,43,81,6,1431,616,432,98,86,1983,119,70,37,12,4384,0,170,235,2718,2953,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,5,0,0,27,5,4,1,0,38,0,1,1,37,38
Enid Police Department,2000,Oklahoma,47045,OK02401,0,0,0,0,0,24,20,4,27,11,2,1,13,1333,26,36,76,27,1168,544,420,79,45,1831,104,79,20,5,3863,0,165,216,2479,2695,0,0,2,2,0,1,0,0,0,1,3,0,0,1,0,2,2,2,0,0,14,5,4,1,0,27,0,1,4,21,25
