year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,2535234,928,41,103,236,548,28393,8452,16653,3288,Connecticut,Connecticut State-Level Estimate,,29321
1961,2614000,878,25,64,238,551,31658,9526,18712,3420,Connecticut,Connecticut State-Level Estimate,,32536
1962,2597000,938,34,81,258,565,33798,10259,19741,3798,Connecticut,Connecticut State-Level Estimate,,34736
1963,2666000,1192,47,88,366,691,40853,12553,23397,4903,Connecticut,Connecticut State-Level Estimate,,42045
1964,2766000,1773,49,152,414,1158,48185,14713,27755,5717,Connecticut,Connecticut State-Level Estimate,,49958
1965,2832000,1973,46,148,546,1233,49978,15959,27862,6157,Connecticut,Connecticut State-Level Estimate,,51951
1966,2875000,2146,57,172,601,1316,54844,17728,29919,7197,Connecticut,Connecticut State-Level Estimate,,56990
1967,2925000,2804,70,164,941,1629,63922,21987,32543,9392,Connecticut,Connecticut State-Level Estimate,,66726
1968,2959000,3825,73,238,1332,2182,81702,28538,42034,11130,Connecticut,Connecticut State-Level Estimate,,85527
1969,3e+06,4415,86,260,1696,2373,92349,29624,49891,12834,Connecticut,Connecticut State-Level Estimate,,96764
1970,3032217,5167,106,276,2136,2649,100640,32874,53084,14682,Connecticut,Connecticut State-Level Estimate,,105807
1971,3081000,5968,96,367,2563,2942,106370,32884,56875,16611,Connecticut,Connecticut State-Level Estimate,,112338
1972,3082000,6138,100,275,2437,3326,98745,29489,54798,14458,Connecticut,Connecticut State-Level Estimate,,104883
1973,3076000,6421,102,342,2589,3388,106296,31661,58742,15893,Connecticut,Connecticut State-Level Estimate,,112717
1974,3088000,7045,101,345,2850,3749,129042,41808,70252,16982,Connecticut,Connecticut State-Level Estimate,,136087
1975,3095000,8308,120,385,4069,3734,145111,46815,80581,17715,Connecticut,Connecticut State-Level Estimate,,153419
1976,3117000,8516,97,448,3831,4140,147477,43135,86832,17510,Connecticut,Connecticut State-Level Estimate,,155993
1977,3108000,8774,132,521,4026,4095,141719,41833,81450,18436,Connecticut,Connecticut State-Level Estimate,,150493
1978,3099000,9762,129,533,4798,4302,143003,42207,80500,20296,Connecticut,Connecticut State-Level Estimate,,152765
1979,3115000,12902,131,752,6021,5998,167131,48229,96997,21905,Connecticut,Connecticut State-Level Estimate,,180033
1980,3095224,12768,146,670,6749,5203,169283,52638,95631,21014,Connecticut,Connecticut State-Level Estimate,,182051
1981,3132000,14033,168,687,7709,5469,168790,52990,96927,18873,Connecticut,Connecticut State-Level Estimate,,182823
1982,3153000,12597,164,692,6574,5167,158532,44481,96640,17411,Connecticut,Connecticut State-Level Estimate,,171129
1983,3138000,11767,129,627,6296,4715,144437,39988,89421,15028,Connecticut,Connecticut State-Level Estimate,,156204
1984,3154000,12422,122,759,6009,5532,133573,35607,84630,13336,Connecticut,Connecticut State-Level Estimate,,145995
1985,3174000,12758,120,763,6032,5843,136572,36041,86524,14007,Connecticut,Connecticut State-Level Estimate,,149330
