year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,680514,282,14,37,62,169,7639,1687,5363,589,South Dakota,South Dakota State-Level Estimate,,7921
1961,690000,245,12,42,61,130,7612,1655,5323,634,South Dakota,South Dakota State-Level Estimate,,7857
1962,721000,279,24,42,62,151,7680,1843,5160,677,South Dakota,South Dakota State-Level Estimate,,7959
1963,737000,278,9,39,78,152,7952,1818,5458,676,South Dakota,South Dakota State-Level Estimate,,8230
1964,715000,408,9,39,59,301,8310,1870,5837,603,South Dakota,South Dakota State-Level Estimate,,8718
1965,703000,415,11,48,65,291,8553,1858,6177,518,South Dakota,South Dakota State-Level Estimate,,8968
1966,682000,568,10,61,68,429,9757,2175,6964,618,South Dakota,South Dakota State-Level Estimate,,10325
1967,674000,586,25,56,87,418,9906,2302,7037,567,South Dakota,South Dakota State-Level Estimate,,10492
1968,657000,563,25,67,127,344,10955,2826,7449,680,South Dakota,South Dakota State-Level Estimate,,11518
1969,659000,510,13,73,85,339,11562,2801,8063,698,South Dakota,South Dakota State-Level Estimate,,12072
1970,666257,616,25,74,114,403,13066,3140,9302,624,South Dakota,South Dakota State-Level Estimate,,13682
1971,670000,644,8,66,122,448,13153,3037,9558,558,South Dakota,South Dakota State-Level Estimate,,13797
1972,679000,756,8,77,106,565,13690,3210,9751,729,South Dakota,South Dakota State-Level Estimate,,14446
1973,685000,869,26,88,169,586,14035,3416,9631,988,South Dakota,South Dakota State-Level Estimate,,14904
1974,682000,1234,14,73,139,1008,16981,4072,11835,1074,South Dakota,South Dakota State-Level Estimate,,18215
1975,683000,1402,25,113,212,1052,17305,4561,11597,1147,South Dakota,South Dakota State-Level Estimate,,18707
1976,686000,1277,12,105,159,1001,16836,4256,11554,1026,South Dakota,South Dakota State-Level Estimate,,18113
1977,689000,1303,14,93,123,1073,16690,3931,11743,1016,South Dakota,South Dakota State-Level Estimate,,17993
1978,690000,1128,13,75,110,930,17428,4138,12186,1104,South Dakota,South Dakota State-Level Estimate,,18556
1979,689000,1096,14,113,140,829,19297,4316,13782,1199,South Dakota,South Dakota State-Level Estimate,,20393
1980,688217,873,5,86,138,644,21447,4766,15521,1160,South Dakota,South Dakota State-Level Estimate,,22320
1981,685000,718,12,79,122,505,19922,4348,14587,987,South Dakota,South Dakota State-Level Estimate,,20640
1982,691000,684,19,79,118,468,17592,3885,12889,818,South Dakota,South Dakota State-Level Estimate,,18276
1983,7e+05,840,15,119,111,595,16993,3820,12453,720,South Dakota,South Dakota State-Level Estimate,,17833
1984,706000,1041,13,190,105,733,17403,3529,13102,772,South Dakota,South Dakota State-Level Estimate,,18444
1985,708000,967,13,168,121,665,17730,3867,13142,721,South Dakota,South Dakota State-Level Estimate,,18697
1986,708000,883,28,125,115,615,18346,3919,13728,699,South Dakota,South Dakota State-Level Estimate,,19229
1987,709000,849,13,146,87,603,18138,3787,13673,678,South Dakota,South Dakota State-Level Estimate,,18987
1988,715000,813,22,192,87,512,17641,3703,13255,683,South Dakota,South Dakota State-Level Estimate,,18454
1989,715000,969,9,229,84,647,18230,3394,14057,779,South Dakota,South Dakota State-Level Estimate,,19199
1990,696004,1133,14,239,86,794,19116,3671,14678,767,South Dakota,South Dakota State-Level Estimate,,20249
1991,703000,1281,12,279,132,858,20366,4146,15412,808,South Dakota,South Dakota State-Level Estimate,,21647
