agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Live Oak County Sheriff's Office,2023,Texas,7753,TX14900,0,0,0,1,0,2,2,0,0,0,0,0,0,63,6,0,3,0,54,24,15,9,0,33,0,0,0,0,123,0,9,12,57,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Oak County Sheriff's Office,2022,Texas,,TX14900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak County Sheriff's Office,2021,Texas,,TX14900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak County Sheriff's Office,2020,Texas,,TX14900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak County Sheriff's Office,2019,Texas,,TX14900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak County Sheriff's Office,2018,Texas,,TX14900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak County Sheriff's Office,2017,Texas,7573,TX14900,0,0,0,0,0,1,0,1,2,2,0,0,0,46,2,0,0,4,40,66,48,17,1,59,9,9,0,0,183,0,6,9,134,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Oak County Sheriff's Office,2016,Texas,7667,TX14900,0,0,0,2,0,1,1,0,1,0,0,1,0,53,0,7,3,1,42,59,37,22,0,75,13,12,1,0,204,0,11,15,147,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Oak County Sheriff's Office,2015,Texas,10287,TX14900,0,0,0,0,0,2,2,0,1,1,0,0,0,67,0,5,1,9,52,47,36,11,0,73,15,10,5,0,205,0,15,18,135,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Oak County Sheriff's Office,2014,Texas,10094,TX14900,0,0,0,0,0,4,4,0,2,1,0,0,1,46,4,2,2,1,37,72,42,29,1,83,10,3,6,1,217,0,9,15,165,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Oak County Sheriff's Office,2013,Texas,9864,TX14900,0,0,0,0,0,2,2,0,0,0,0,0,0,55,1,3,2,4,45,58,35,20,3,113,10,4,3,3,238,0,10,12,181,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Oak County Sheriff's Office,2012,Texas,9757,TX14900,0,0,0,0,0,4,4,0,1,0,0,0,1,62,1,0,6,5,50,62,45,13,4,88,12,0,12,0,229,0,12,17,162,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Oak County Sheriff's Office,2011,Texas,9887,TX14900,0,0,0,0,0,0,0,0,1,0,0,0,1,41,1,0,2,3,35,45,31,14,0,43,11,8,2,1,141,0,6,7,99,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Oak County Sheriff's Office,2010,Texas,9683,TX14900,0,0,0,0,0,1,1,0,0,0,0,0,0,31,0,0,0,2,29,34,25,9,0,36,1,0,0,1,103,0,2,3,71,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Oak County Sheriff's Office,2009,Texas,9495,TX14900,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32,26,23,2,1,32,4,1,2,1,94,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
