year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,3966949,7286,487,319,1042,5438,58282,15594,37660,5028,Virginia,Virginia State-Level Estimate,,65568
1961,4059000,7555,349,414,1065,5727,64296,17201,41626,5469,Virginia,Virginia State-Level Estimate,,71851
1962,4177000,7720,362,342,1070,5946,65949,18034,42551,5364,Virginia,Virginia State-Level Estimate,,73669
1963,4331000,8259,307,415,1267,6270,72678,19536,47339,5803,Virginia,Virginia State-Level Estimate,,80937
1964,4378000,10561,367,506,1517,8171,85191,23553,54711,6927,Virginia,Virginia State-Level Estimate,,95752
1965,4457000,10145,365,536,1780,7464,87876,24454,55751,7671,Virginia,Virginia State-Level Estimate,,98021
1966,4507000,10399,364,540,2006,7489,94556,27968,57336,9252,Virginia,Virginia State-Level Estimate,,104955
1967,4536000,10328,411,601,2397,6919,108456,32709,64808,10939,Virginia,Virginia State-Level Estimate,,118784
1968,4597000,12821,473,716,3027,8605,119920,36153,71708,12059,Virginia,Virginia State-Level Estimate,,132741
1969,4669000,12433,341,766,3782,7544,128014,35496,78912,13606,Virginia,Virginia State-Level Estimate,,140447
1970,4648494,14040,483,796,4437,8324,156346,42514,99239,14593,Virginia,Virginia State-Level Estimate,,170386
1971,4714000,15384,475,1006,5033,8870,155902,43376,97888,14638,Virginia,Virginia State-Level Estimate,,171286
1972,4764000,16483,561,1034,5408,9480,144845,42729,88711,13405,Virginia,Virginia State-Level Estimate,,161328
1973,4811000,16007,503,1104,5044,9356,155150,45106,96428,13616,Virginia,Virginia State-Level Estimate,,171157
1974,4908000,17514,522,1269,6253,9470,188030,55997,118251,13782,Virginia,Virginia State-Level Estimate,,205544
1975,4967000,18917,570,1194,6878,10275,206904,57901,135634,13369,Virginia,Virginia State-Level Estimate,,225821
1976,5032000,15485,476,1115,5444,8450,196016,51279,133360,11377,Virginia,Virginia State-Level Estimate,,211501
1977,5135000,14893,460,1199,4727,8507,191743,50640,129464,11639,Virginia,Virginia State-Level Estimate,,206636
1978,5148000,14743,452,1168,5000,8123,194934,51006,132140,11788,Virginia,Virginia State-Level Estimate,,209677
1979,5197000,15642,447,1407,5799,7989,211014,56265,141923,12826,Virginia,Virginia State-Level Estimate,,226656
1980,5323412,16355,459,1458,6392,8046,229587,64020,153437,12130,Virginia,Virginia State-Level Estimate,,245942
1981,5426000,17456,464,1478,7229,8285,235984,63350,161678,10956,Virginia,Virginia State-Level Estimate,,253440
1982,5491000,16970,405,1366,6708,8491,216713,53457,153148,10108,Virginia,Virginia State-Level Estimate,,233683
1983,5550000,16236,387,1370,6132,8347,203632,51055,142714,9863,Virginia,Virginia State-Level Estimate,,219868
1984,5636000,16660,434,1503,5765,8958,196581,47436,138808,10337,Virginia,Virginia State-Level Estimate,,213241
1985,5706000,16813,405,1551,5720,9137,198821,44797,142800,11224,Virginia,Virginia State-Level Estimate,,215634
1986,5787000,17708,411,1533,6118,9646,205658,47021,145935,12702,Virginia,Virginia State-Level Estimate,,223366
1987,5904000,17414,437,1537,6244,9196,216354,47642,153690,15022,Virginia,Virginia State-Level Estimate,,233768
1988,5996000,17940,468,1622,6748,9102,232496,49069,165343,18084,Virginia,Virginia State-Level Estimate,,250436
1989,6098000,19057,480,1638,6494,10445,237757,46156,172645,18956,Virginia,Virginia State-Level Estimate,,256814
1990,6187358,21694,545,1915,7626,11608,253063,45236,187564,20263,Virginia,Virginia State-Level Estimate,,274757
1991,6286000,23459,583,1879,8651,12346,266160,49224,195652,21284,Virginia,Virginia State-Level Estimate,,289619
1992,6377000,23907,564,2008,8787,12548,250211,45217,185506,19488,Virginia,Virginia State-Level Estimate,,274118
1993,6491000,24160,539,2083,9216,12322,242975,43338,181104,18533,Virginia,Virginia State-Level Estimate,,267135
1994,6552000,23437,571,1868,8704,12294,241763,41855,181619,18289,Virginia,Virginia State-Level Estimate,,265200
1995,6618000,23921,503,1799,8718,12901,240084,39388,181333,19363,Virginia,Virginia State-Level Estimate,,264005
1996,6675000,22782,500,1783,8181,12318,242100,39255,184237,18608,Virginia,Virginia State-Level Estimate,,264882
1997,6734000,23249,488,1819,8384,12558,237773,38475,180406,18892,Virginia,Virginia State-Level Estimate,,261022
1998,6791000,22115,422,1810,7171,12712,226461,38094,170012,18355,Virginia,Virginia State-Level Estimate,,248576
1999,6872912,21626,392,1720,6947,12567,210260,32411,159896,17953,Virginia,Virginia State-Level Estimate,,231886
2000,7078515,19943,401,1616,6295,11631,194405,30434,146158,17813,Virginia,Virginia State-Level Estimate,,214348
2001,7196750,20939,364,1770,6860,11945,207506,31604,157060,18842,Virginia,Virginia State-Level Estimate,,228445
2002,7287829,21256,388,1839,6961,12068,207783,31757,157548,18478,Virginia,Virginia State-Level Estimate,,229039
2003,7365284,20490,416,1807,6713,11554,200449,29105,153367,17977,Virginia,Virginia State-Level Estimate,,220939
2004,7481332,20608,390,1816,6899,11503,200368,28759,154154,17455,Virginia,Virginia State-Level Estimate,,220976
2005,7564327,21434,458,1763,7495,11718,200404,29829,154584,15991,Virginia,Virginia State-Level Estimate,,221838
2006,7642884,21683,403,1829,7779,11672,190257,32166,143292,14799,Virginia,Virginia State-Level Estimate,,211940
2007,7712091,21035,415,1793,7696,11131,191763,32028,145634,14101,Virginia,Virginia State-Level Estimate,,212798
2008,7769089,20031,370,1794,7470,10397,196726,32188,151191,13347,Virginia,Virginia State-Level Estimate,,216757
2009,7882590,18195,370,1572,6342,9911,194020,31956,150374,11690,Virginia,Virginia State-Level Estimate,,212215
2010,8023953,17184,376,1580,5678,9550,187403,30804,145990,10609,Virginia,Virginia State-Level Estimate,,204587
2011,8104384,16014,304,1591,5425,8694,182902,30656,142476,9770,Virginia,Virginia State-Level Estimate,,198916
2012,8186628,15676,322,1505,4718,9131,178434,29651,139654,9129,Virginia,Virginia State-Level Estimate,,194110
2013,8270345,16355,320,2350,4574,9111,171558,26717,136215,8626,Virginia,Virginia State-Level Estimate,,187913
2014,8326289,16340,338,2310,4292,9400,160720,23122,129933,7665,Virginia,Virginia State-Level Estimate,,177060
2015,8367587,16705,390,2499,4459,9357,157803,21542,128064,8197,Virginia,Virginia State-Level Estimate,,174508
2016,8414380,18495,482,2830,4826,10357,157292,20159,127285,9848,Virginia,Virginia State-Level Estimate,,175787
2017,8465207,17811,470,3026,4331,9984,152515,18524,123812,10179,Virginia,Virginia State-Level Estimate,,170326
2018,8517685,17032,391,2924,3604,10113,141885,15574,115533,10778,Virginia,Virginia State-Level Estimate,,158917
