year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,4556155,10182,482,355,825,8520,43556,12730,26865,3961,North Carolina,North Carolina State-Level Estimate,,53738
1961,4614000,9275,424,336,694,7821,45657,13485,28029,4143,North Carolina,North Carolina State-Level Estimate,,54932
1962,4731000,9533,373,362,836,7962,48704,14704,29642,4358,North Carolina,North Carolina State-Level Estimate,,58237
1963,4760000,10038,391,346,903,8398,51877,15948,30877,5052,North Carolina,North Carolina State-Level Estimate,,61915
1964,4852000,12345,390,464,1099,10392,60397,19369,35554,5474,North Carolina,North Carolina State-Level Estimate,,72742
1965,4914000,12755,410,449,1129,10767,64317,20112,38309,5896,North Carolina,North Carolina State-Level Estimate,,77072
1966,5e+06,14775,459,538,1213,12565,70436,22134,41258,7044,North Carolina,North Carolina State-Level Estimate,,85211
1967,5029000,15995,498,567,1614,13316,79167,25966,45856,7345,North Carolina,North Carolina State-Level Estimate,,95162
1968,5135000,18025,526,579,1929,14991,85031,27716,49442,7873,North Carolina,North Carolina State-Level Estimate,,103056
1969,5205000,18117,588,619,2244,14666,99083,31804,58614,8665,North Carolina,North Carolina State-Level Estimate,,117200
1970,5082059,18814,597,658,2660,14899,115488,38918,68042,8528,North Carolina,North Carolina State-Level Estimate,,134302
1971,5146000,19952,606,764,2844,15738,120495,41840,70109,8546,North Carolina,North Carolina State-Level Estimate,,140447
1972,5214000,22087,704,759,3452,17172,116561,42375,65574,8612,North Carolina,North Carolina State-Level Estimate,,138648
1973,5273000,23086,683,847,3766,17790,125183,47036,68984,9163,North Carolina,North Carolina State-Level Estimate,,148269
1974,5363000,26220,629,833,4948,19810,162087,63654,88336,10097,North Carolina,North Carolina State-Level Estimate,,188307
1975,5451000,23791,677,885,4479,17750,184259,70051,104069,10139,North Carolina,North Carolina State-Level Estimate,,208050
1976,5469000,22061,609,838,3859,16755,190203,64289,116164,9750,North Carolina,North Carolina State-Level Estimate,,212264
1977,5525000,22492,586,937,3385,17584,186968,63765,112591,10612,North Carolina,North Carolina State-Level Estimate,,209460
1978,5577000,23054,600,1024,3673,17757,193452,66031,116193,11228,North Carolina,North Carolina State-Level Estimate,,216506
1979,5606000,25009,600,1137,4327,18945,220113,72687,134903,12523,North Carolina,North Carolina State-Level Estimate,,245122
1980,5843665,26589,619,1324,4810,19836,244585,83150,148804,12631,North Carolina,North Carolina State-Level Estimate,,271174
1981,5951000,25986,541,1351,4809,19285,243012,79545,151679,11788,North Carolina,North Carolina State-Level Estimate,,268998
1982,6019000,26865,545,1322,5168,19830,246593,78787,156701,11105,North Carolina,North Carolina State-Level Estimate,,273458
1983,6082000,24911,490,1332,4840,18249,229540,72348,147068,10124,North Carolina,North Carolina State-Level Estimate,,254451
1984,6165000,24885,539,1330,4612,18404,224437,69747,143700,10990,North Carolina,North Carolina State-Level Estimate,,249322
1985,6255000,26327,520,1488,4893,19426,231465,71985,147530,11950,North Carolina,North Carolina State-Level Estimate,,257792
1986,6331000,30128,515,1673,5551,22389,244121,77557,153378,13186,North Carolina,North Carolina State-Level Estimate,,274249
1987,6413000,31039,519,1863,6023,22634,267157,86964,165841,14352,North Carolina,North Carolina State-Level Estimate,,298196
1988,6526000,32753,510,1833,7085,23325,284557,90791,177426,16340,North Carolina,North Carolina State-Level Estimate,,317310
1989,6571000,35902,584,1964,8770,24584,309323,98792,191783,18748,North Carolina,North Carolina State-Level Estimate,,345225
1990,6628637,41332,711,2272,10082,28267,322306,101444,202059,18803,North Carolina,North Carolina State-Level Estimate,,363638
1991,6737000,44355,769,2331,11990,29265,352368,114009,218192,20167,North Carolina,North Carolina State-Level Estimate,,396723
1992,6843000,46600,723,2455,12784,30638,350447,113117,217717,19613,North Carolina,North Carolina State-Level Estimate,,397047
1993,6945000,47178,785,2379,13364,30650,345377,105270,220071,20036,North Carolina,North Carolina State-Level Estimate,,392555
1994,7070000,46308,772,2334,12811,30391,351397,104118,225937,21342,North Carolina,North Carolina State-Level Estimate,,397705
1995,7195000,46508,677,2320,12896,30615,359256,101995,234911,22350,North Carolina,North Carolina State-Level Estimate,,405764
1996,7323000,43068,619,2289,12001,28159,361616,98539,238511,24566,North Carolina,North Carolina State-Level Estimate,,404684
1997,7425000,45071,614,2348,12817,29292,362672,100002,238228,24442,North Carolina,North Carolina State-Level Estimate,,407743
1998,7546000,43723,612,2311,12133,28667,357892,99951,233325,24616,North Carolina,North Carolina State-Level Estimate,,401615
1999,7650789,41474,552,2155,12087,26680,354497,98457,230463,25577,North Carolina,North Carolina State-Level Estimate,,395971
2000,8049313,40051,560,2181,12595,24715,355921,97888,232767,25266,North Carolina,North Carolina State-Level Estimate,,395972
2001,8206105,40465,505,2083,13304,24573,363777,101889,237241,24647,North Carolina,North Carolina State-Level Estimate,,404242
2002,8305820,39118,548,2196,12205,24169,353708,99535,229307,24866,North Carolina,North Carolina State-Level Estimate,,392826
2003,8421190,38243,506,2139,12229,23369,359660,100687,232081,26892,North Carolina,North Carolina State-Level Estimate,,397903
2004,8540468,38244,532,2339,11782,23591,355328,101193,227147,26988,North Carolina,North Carolina State-Level Estimate,,393572
2005,8672459,40650,585,2302,12635,25128,353855,104298,221091,28466,North Carolina,North Carolina State-Level Estimate,,394505
2006,8856505,42088,539,2495,13468,25586,364549,107333,227114,30102,North Carolina,North Carolina State-Level Estimate,,406637
2007,9061032,42231,584,2386,13534,25727,369893,108700,233241,27952,North Carolina,North Carolina State-Level Estimate,,412124
2008,9222414,43125,599,2296,14323,25907,372763,111556,234480,26727,North Carolina,North Carolina State-Level Estimate,,415888
2009,9380884,37946,489,2306,11825,23326,343707,107830,215923,19954,North Carolina,North Carolina State-Level Estimate,,381653
2010,9560234,34679,474,2002,9620,22583,329202,102826,208057,18319,North Carolina,North Carolina State-Level Estimate,,363881
2011,9651103,33421,498,1959,9448,21516,337806,105534,215453,16819,North Carolina,North Carolina State-Level Estimate,,371227
2012,9748364,34464,479,1984,9392,22609,328594,99323,213151,16120,North Carolina,North Carolina State-Level Estimate,,363058
2013,9848917,33587,463,2524,9275,21325,305631,90182,201043,14406,North Carolina,North Carolina State-Level Estimate,,339218
2014,9943964,32767,510,2420,8416,21421,285697,79373,192694,13630,North Carolina,North Carolina State-Level Estimate,,318464
2015,10035186,34734,517,2591,8821,22805,275915,74760,187732,13423,North Carolina,North Carolina State-Level Estimate,,310649
2016,10156689,37767,678,2847,9336,24906,277765,72082,190377,15306,North Carolina,North Carolina State-Level Estimate,,315532
2017,10270800,38043,622,1944,9884,25593,265483,65247,184119,16117,North Carolina,North Carolina State-Level Estimate,,303526
2018,10383620,39210,628,2633,8423,27526,258979,62290,179057,17632,North Carolina,North Carolina State-Level Estimate,,298189
