agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Edgewood Police Department,2023,New Mexico,6086,NM02612,0,0,0,2,0,0,0,0,1,0,0,1,0,53,4,3,5,11,30,19,14,5,0,68,4,4,0,0,147,0,23,26,91,117,1,0,0,0,0,0,0,0,0,0,21,3,2,2,4,10,2,2,0,0,9,1,1,0,0,34,0,11,12,12,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgewood Police Department,2022,New Mexico,6125,NM02612,0,0,0,1,0,3,3,0,1,0,0,1,0,30,3,0,0,8,19,13,2,10,1,87,11,6,4,1,146,0,11,16,111,127,1,0,0,0,0,0,0,0,0,0,20,2,0,0,6,12,2,1,1,0,44,1,1,0,0,68,0,8,9,47,56,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgewood Police Department,2021,New Mexico,6112,NM02612,0,0,0,0,0,2,2,0,2,1,0,0,1,44,4,1,8,6,25,17,9,7,1,77,12,8,2,2,154,0,19,23,106,129,0,0,1,1,0,0,0,0,0,0,22,1,1,4,4,12,3,0,3,0,40,2,2,0,0,68,0,10,11,45,56,0,0,1,1,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,1,0,0,0,0,5,0,3,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgewood Police Department,2020,New Mexico,,NM02612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgewood Police Department,2019,New Mexico,6161,NM02612,0,0,0,1,0,1,1,0,8,0,1,7,0,28,0,4,5,1,18,18,15,3,0,52,6,5,0,1,114,0,10,20,76,96,1,0,1,1,0,6,0,0,6,0,15,0,2,3,1,9,4,2,2,0,21,2,2,0,0,50,0,6,14,27,41,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,1,2,3,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,1,7,7,0,0,6,3,3,0,0,19,0,0,2,16,18
Edgewood Police Department,2018,New Mexico,3911,NM02612,0,0,0,0,0,0,0,0,1,1,0,0,0,29,1,3,7,3,15,37,34,2,1,58,10,10,0,0,135,0,14,15,105,120,0,0,0,0,0,0,0,0,0,0,19,0,2,5,2,10,9,8,0,1,29,6,6,0,0,63,0,9,9,44,53,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,2,0,0,0,0,0,0,0,4,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,4,0,0,0,3,3
Edgewood Police Department,2017,New Mexico,3816,NM02612,0,0,0,0,0,1,1,0,0,0,0,0,0,16,1,2,3,0,10,33,29,4,0,54,7,7,0,0,111,0,6,7,94,101,0,0,1,1,0,0,0,0,0,0,14,1,2,3,0,8,7,7,0,0,32,5,5,0,0,59,0,6,7,44,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,3,1,1,0,0,9,0,0,0,0,15,0,1,2,10,12
Edgewood Police Department,2016,New Mexico,3819,NM02612,0,0,0,0,0,2,2,0,0,0,0,0,0,15,1,1,0,1,12,29,24,5,0,49,18,18,0,0,113,0,3,5,96,101,0,0,2,2,0,0,0,0,0,0,13,1,1,0,1,10,19,16,3,0,40,13,13,0,0,87,0,3,5,72,77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,1,0,0,6,0,0,0,5,5
Edgewood Police Department,2015,New Mexico,3821,NM02612,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,2,0,7,20,17,3,0,67,10,10,0,0,111,0,7,7,97,104,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,5,7,4,3,0,46,6,6,0,0,68,0,4,4,59,63,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,1,0,0,4,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,2,0,1,10,1,1,0,0,16,0,0,0,14,14
Edgewood Police Department,2014,New Mexico,3787,NM02612,0,0,0,0,0,1,1,0,0,0,0,0,0,17,0,0,3,0,14,13,13,0,0,66,4,4,0,0,101,0,3,4,83,87,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,9,3,3,0,0,39,1,1,0,0,54,0,2,2,43,45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,7,0,1,2,0,4,8,7,0,1,11,3,3,0,0,29,0,3,3,22,25
