year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,3567089,3250,302,194,961,1793,41000,16505,20162,4333,Tennessee,Tennessee State-Level Estimate,
1961,3615000,3910,290,242,1100,2278,41967,16702,20234,5031,Tennessee,Tennessee State-Level Estimate,
1962,3634000,3767,220,241,1266,2040,46567,16772,24049,5746,Tennessee,Tennessee State-Level Estimate,
1963,3694000,3777,239,247,1048,2243,50681,19056,25503,6122,Tennessee,Tennessee State-Level Estimate,
1964,3798000,4505,225,336,1148,2796,55183,21321,27186,6676,Tennessee,Tennessee State-Level Estimate,
1965,3845000,5333,307,425,1100,3501,52840,20107,26325,6408,Tennessee,Tennessee State-Level Estimate,
1966,3883000,6145,304,421,1337,4083,64405,23394,33513,7498,Tennessee,Tennessee State-Level Estimate,
1967,3892000,8111,347,486,2199,5079,73916,27703,36750,9463,Tennessee,Tennessee State-Level Estimate,
1968,3976000,8766,345,460,2830,5131,77699,28616,38450,10633,Tennessee,Tennessee State-Level Estimate,
1969,3985000,9235,382,505,2996,5352,78600,28492,38885,11223,Tennessee,Tennessee State-Level Estimate,
1970,3924164,10787,346,607,3218,6616,83220,31656,40211,11353,Tennessee,Tennessee State-Level Estimate,
1971,3990000,12520,496,721,3452,7851,91746,35964,43671,12111,Tennessee,Tennessee State-Level Estimate,
1972,4031000,12858,455,802,4076,7525,93814,36049,45637,12128,Tennessee,Tennessee State-Level Estimate,
1973,4126000,14771,544,1108,5383,7736,111488,41663,56206,13619,Tennessee,Tennessee State-Level Estimate,
1974,4129000,15969,555,1062,6490,7862,135116,55745,65055,14316,Tennessee,Tennessee State-Level Estimate,
1975,4188000,16627,477,1095,6987,8068,162223,57766,89184,15273,Tennessee,Tennessee State-Level Estimate,
1976,4214000,16574,462,1072,6215,8825,162874,55647,93493,13734,Tennessee,Tennessee State-Level Estimate,
1977,4299000,16743,434,1276,6266,8767,154025,64154,76371,13500,Tennessee,Tennessee State-Level Estimate,
1978,4357000,16671,411,1335,6639,8286,144121,52876,76948,14297,Tennessee,Tennessee State-Level Estimate,
1979,4380000,18135,430,1511,7277,8917,157651,56710,84850,16091,Tennessee,Tennessee State-Level Estimate,
1980,4545590,20824,489,1700,8208,10427,183632,68251,98876,16505,Tennessee,Tennessee State-Level Estimate,
1981,4610000,19019,448,1735,7916,8920,179737,63811,100526,15400,Tennessee,Tennessee State-Level Estimate,
1982,4651000,19586,452,1651,8173,9310,185692,59934,110316,15442,Tennessee,Tennessee State-Level Estimate,
1983,4685000,18836,410,1682,8094,8650,169110,56498,97785,14827,Tennessee,Tennessee State-Level Estimate,
1984,4717000,21010,394,1887,7867,10862,162462,53002,92176,17284,Tennessee,Tennessee State-Level Estimate,
1985,4762000,22592,429,2027,8614,11522,175827,55563,97159,23105,Tennessee,Tennessee State-Level Estimate,
1986,4803000,25919,501,2256,9978,13184,191861,63649,102103,26109,Tennessee,Tennessee State-Level Estimate,
1987,4855000,25900,444,2133,9409,13914,200616,65632,107459,27525,Tennessee,Tennessee State-Level Estimate,
1988,4919000,26205,461,2201,8537,15006,193647,60894,106052,26701,Tennessee,Tennessee State-Level Estimate,
1989,4940000,27118,417,2270,7926,16505,195854,59621,109908,26325,Tennessee,Tennessee State-Level Estimate,
1990,4877185,32698,511,2415,9325,20447,213648,61646,124127,27875,Tennessee,Tennessee State-Level Estimate,
1991,4953000,35955,547,2299,10543,22566,229856,67608,131855,30393,Tennessee,Tennessee State-Level Estimate,
1992,5024000,37487,520,2377,10964,23626,220534,63665,127934,28935,Tennessee,Tennessee State-Level Estimate,
1993,5099000,39047,521,2544,11224,24758,228117,60299,137683,30135,Tennessee,Tennessee State-Level Estimate,
1994,5175000,38705,482,2545,10735,24943,226247,59080,138173,28994,Tennessee,Tennessee State-Level Estimate,
1995,5256000,40549,557,2477,11732,25783,241315,60086,147143,34086,Tennessee,Tennessee State-Level Estimate,
1996,5320000,41175,503,2475,11902,26295,248729,61896,152405,34428,Tennessee,Tennessee State-Level Estimate,
1997,5368000,42389,511,3056,11487,27335,253484,62899,156843,33742,Tennessee,Tennessee State-Level Estimate,
1998,5431000,38832,460,2485,9667,26220,234588,58432,148057,28099,Tennessee,Tennessee State-Level Estimate,
1999,5483535,38111,391,2415,8598,26707,219302,51362,142685,25255,Tennessee,Tennessee State-Level Estimate,
2000,5689283,40233,410,2186,9465,28172,237985,56344,154111,27530,Tennessee,Tennessee State-Level Estimate,
2001,5749398,42776,423,2196,10219,29938,252992,59705,165015,28272,Tennessee,Tennessee State-Level Estimate,
2002,5789796,41562,420,2290,9413,29439,249399,61248,161610,26541,Tennessee,Tennessee State-Level Estimate,
2003,5845208,40409,396,2129,9413,28471,256565,63323,166769,26473,Tennessee,Tennessee State-Level Estimate,
2004,5893298,41113,357,2282,8863,29611,254991,60386,169828,24777,Tennessee,Tennessee State-Level Estimate,
2005,5955745,45104,431,2194,10009,32470,256093,61508,169357,25228,Tennessee,Tennessee State-Level Estimate,
2006,6038803,46043,419,2194,11143,32287,249860,63024,164183,22653,Tennessee,Tennessee State-Level Estimate,
2007,6156719,46482,405,2201,11033,32843,252342,61817,168807,21718,Tennessee,Tennessee State-Level Estimate,
2008,6214888,44913,412,2078,10804,31619,251089,65093,166793,19203,Tennessee,Tennessee State-Level Estimate,
2009,6296254,41933,468,2019,9653,29793,237157,63832,158309,15016,Tennessee,Tennessee State-Level Estimate,
2010,6357436,38909,359,2173,8361,28016,232855,64293,153729,14833,Tennessee,Tennessee State-Level Estimate,
2011,6399787,38895,380,2095,8082,28338,230900,62830,153928,14142,Tennessee,Tennessee State-Level Estimate,
2012,6454914,41213,400,2047,8151,30615,217925,56231,148731,12963,Tennessee,Tennessee State-Level Estimate,
2013,6497269,38063,335,2500,7333,27895,207683,51334,144443,11906,Tennessee,Tennessee State-Level Estimate,
2014,6549352,39848,371,2531,7265,29681,200447,46642,141206,12599,Tennessee,Tennessee State-Level Estimate,
2015,6595056,40816,418,2801,7499,30098,196047,43753,139259,13035,Tennessee,Tennessee State-Level Estimate,
2016,6649404,42459,495,2803,7829,31332,191199,40607,135353,15239,Tennessee,Tennessee State-Level Estimate,
2017,6708794,43940,538,3028,7867,32507,198028,38819,140636,18573,Tennessee,Tennessee State-Level Estimate,
2018,6770010,42226,498,2821,7190,31717,191279,33132,137708,20439,Tennessee,Tennessee State-Level Estimate,
