agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Mckinley County Sheriff's Office,2023,New Mexico,48094,NM01700,0,0,0,0,0,5,5,0,6,4,0,1,1,192,13,7,20,14,138,37,30,7,0,101,21,18,0,3,362,0,54,65,159,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2022,New Mexico,49678,NM01700,0,0,0,0,0,2,2,0,6,1,2,0,3,180,17,9,20,4,130,40,26,14,0,90,19,19,0,0,337,0,50,58,149,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2021,New Mexico,49708,NM01700,0,0,0,1,1,6,5,1,12,2,0,0,10,259,15,2,14,14,214,47,30,17,0,93,31,30,0,1,450,0,45,64,171,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2020,New Mexico,50063,NM01700,0,0,3,2,0,1,1,0,11,2,0,4,5,206,2,3,12,139,50,73,53,17,3,136,30,26,0,4,459,0,156,170,239,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2019,New Mexico,50338,NM01700,0,0,5,1,0,0,0,0,7,2,0,0,5,205,5,6,15,149,30,89,56,31,2,86,47,46,0,1,435,0,175,183,222,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2018,New Mexico,50844,NM01700,0,0,2,2,0,4,4,0,8,1,1,2,4,203,8,9,21,140,25,70,36,30,4,138,51,38,7,6,476,0,178,192,259,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2017,New Mexico,52806,NM01700,0,0,0,1,2,7,7,0,6,0,1,3,2,245,8,7,13,81,136,60,46,10,4,133,38,30,6,2,492,0,109,123,231,354,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,2,2,0,2
Mckinley County Sheriff's Office,2016,New Mexico,53899,NM01700,0,0,2,1,0,8,8,0,5,1,2,2,0,265,8,11,25,27,194,87,59,23,5,157,21,21,0,0,544,0,71,85,265,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2015,New Mexico,51862,NM01700,0,0,0,1,0,5,4,1,2,1,0,0,1,259,9,8,28,24,190,105,86,18,1,121,18,18,0,0,511,0,69,77,244,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2014,New Mexico,51167,NM01700,0,0,0,1,0,9,9,0,9,6,1,2,0,263,8,9,23,24,199,111,86,23,2,97,20,20,0,0,510,0,64,83,228,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2013,New Mexico,50990,NM01700,0,0,0,2,0,9,9,0,4,3,0,1,0,220,6,9,17,21,167,104,73,29,2,112,16,16,0,0,467,0,53,68,232,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2012,New Mexico,51416,NM01700,0,0,0,0,0,6,3,3,9,2,2,2,3,222,8,11,18,35,150,132,82,45,5,143,25,17,6,2,537,0,72,87,300,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Mckinley County Sheriff's Office,2011,New Mexico,50371,NM01700,0,0,4,1,0,8,7,1,6,1,0,1,4,261,5,9,22,20,205,108,78,27,3,148,44,17,22,5,576,0,56,71,300,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2010,New Mexico,49814,NM01700,0,0,5,1,0,10,9,1,5,3,1,0,1,293,5,17,23,30,218,88,56,29,3,149,21,12,7,2,567,0,75,91,258,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2009,New Mexico,50581,NM01700,0,0,2,1,0,10,6,4,3,0,1,1,1,318,6,9,23,35,245,81,61,15,5,138,14,6,4,4,565,0,73,87,233,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinley County Sheriff's Office,2008,New Mexico,42866,NM01700,0,0,7,1,0,9,8,1,9,2,0,1,6,256,13,6,16,14,207,97,70,24,3,134,10,6,3,1,516,0,49,68,241,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
