year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,3266740,6097,406,281,898,4512,33823,11626,19344,2853,Alabama,Alabama State-Level Estimate,
1961,3302000,5564,427,252,630,4255,32541,11205,18801,2535,Alabama,Alabama State-Level Estimate,
1962,3358000,5283,316,218,754,3995,35829,11722,21306,2801,Alabama,Alabama State-Level Estimate,
1963,3347000,6115,340,192,828,4755,38521,12614,22874,3033,Alabama,Alabama State-Level Estimate,
1964,3407000,7260,316,397,992,5555,46290,15898,26713,3679,Alabama,Alabama State-Level Estimate,
1965,3462000,6916,395,367,992,5162,48215,16398,28115,3702,Alabama,Alabama State-Level Estimate,
1966,3517000,8098,384,341,1124,6249,53740,18551,30583,4606,Alabama,Alabama State-Level Estimate,
1967,3540000,8448,415,371,1167,6495,57079,20227,31682,5170,Alabama,Alabama State-Level Estimate,
1968,3566000,8288,421,396,1462,6009,62997,22403,34508,6086,Alabama,Alabama State-Level Estimate,
1969,3531000,8842,485,494,1448,6415,66248,23559,36644,6045,Alabama,Alabama State-Level Estimate,
1970,3444165,10185,404,637,1731,7413,75214,26739,40779,7696,Alabama,Alabama State-Level Estimate,
1971,3479000,10835,524,661,2005,7645,76084,27547,40841,7696,Alabama,Alabama State-Level Estimate,
1972,3510000,10994,496,660,2407,7431,73053,27714,38493,6846,Alabama,Alabama State-Level Estimate,
1973,3539000,12390,468,751,2809,8362,78999,31754,39206,8039,Alabama,Alabama State-Level Estimate,
1974,3577000,13338,536,811,3562,8429,93976,37841,46813,9322,Alabama,Alabama State-Level Estimate,
1975,3614000,14201,577,738,4446,8440,111296,42059,59470,9767,Alabama,Alabama State-Level Estimate,
1976,3665000,14248,553,794,3520,9381,125325,42879,72832,9614,Alabama,Alabama State-Level Estimate,
1977,3690000,15293,524,929,3572,10268,121702,41901,69442,10359,Alabama,Alabama State-Level Estimate,
1978,3742000,15682,499,954,3708,10521,131707,46001,74387,11319,Alabama,Alabama State-Level Estimate,
1979,3769000,15578,496,1037,4127,9918,144372,48517,83791,12064,Alabama,Alabama State-Level Estimate,
1980,3861466,17320,509,1158,5102,10551,173191,58952,102029,12210,Alabama,Alabama State-Level Estimate,
1981,3916000,18423,465,1021,4952,11985,173411,56811,105471,11129,Alabama,Alabama State-Level Estimate,
1982,3943000,17653,417,1026,4417,11793,165048,49531,104740,10777,Alabama,Alabama State-Level Estimate,
1983,3959000,16471,364,931,3895,11281,145890,42485,94279,9126,Alabama,Alabama State-Level Estimate,
1984,3990000,17204,374,1002,3833,11995,138487,39970,89198,9319,Alabama,Alabama State-Level Estimate,
1985,4021000,18398,396,1079,4237,12686,140115,41612,88108,10395,Alabama,Alabama State-Level Estimate,
1986,4053000,22616,409,1150,4523,16534,151191,46974,93396,10821,Alabama,Alabama State-Level Estimate,
1987,4083000,22833,380,1137,4581,16735,158918,48927,99260,10731,Alabama,Alabama State-Level Estimate,
1988,4127000,23052,408,1228,4860,16556,165209,50920,103282,11007,Alabama,Alabama State-Level Estimate,
1989,4118000,24329,421,1276,5515,17117,166244,47224,106771,12249,Alabama,Alabama State-Level Estimate,
1990,4040587,28630,467,1319,5805,21039,169974,44585,111336,14053,Alabama,Alabama State-Level Estimate,
1991,4089000,34518,469,1455,6246,26348,184882,51873,118151,14858,Alabama,Alabama State-Level Estimate,
1992,4136000,36052,455,1704,6819,27074,181837,49053,117801,14983,Alabama,Alabama State-Level Estimate,
1993,4187000,32676,484,1471,6677,24044,171598,45578,111878,14142,Alabama,Alabama State-Level Estimate,
1994,4219000,28844,501,1487,7223,19633,178015,44064,119951,14000,Alabama,Alabama State-Level Estimate,
1995,4253000,26894,475,1350,7900,17169,179294,43586,120967,14741,Alabama,Alabama State-Level Estimate,
1996,4273000,24159,444,1397,7124,15194,181803,42821,123350,15632,Alabama,Alabama State-Level Estimate,
1997,4319000,24379,426,1396,6931,15626,186809,43786,127616,15407,Alabama,Alabama State-Level Estimate,
1998,4352000,22286,354,1443,5698,14791,177779,41965,120943,14871,Alabama,Alabama State-Level Estimate,
1999,4369862,21421,345,1513,5297,14266,171398,38648,119616,13134,Alabama,Alabama State-Level Estimate,
2000,4447100,21620,329,1482,5702,14107,180539,40331,127399,12809,Alabama,Alabama State-Level Estimate,
2001,4468912,19582,379,1369,5584,12250,173253,40642,119992,12619,Alabama,Alabama State-Level Estimate,
2002,4478896,19931,303,1664,5962,12002,180400,42578,123932,13890,Alabama,Alabama State-Level Estimate,
2003,4503726,19331,299,1656,6038,11338,182241,43245,124039,14957,Alabama,Alabama State-Level Estimate,
2004,4525375,19324,254,1742,6042,11286,182340,44666,123650,14024,Alabama,Alabama State-Level Estimate,
2005,4548327,19678,374,1564,6447,11293,177393,43473,120780,13140,Alabama,Alabama State-Level Estimate,
2006,4599030,19553,382,1646,7062,10463,181249,44780,121451,15018,Alabama,Alabama State-Level Estimate,
2007,4627851,20775,412,1548,7398,11417,184082,45379,124465,14238,Alabama,Alabama State-Level Estimate,
2008,4661900,21110,351,1618,7346,11795,190416,50411,126539,13466,Alabama,Alabama State-Level Estimate,
2009,4708708,21194,322,1504,6265,13103,178007,48844,118072,11091,Alabama,Alabama State-Level Estimate,
2010,4785401,18363,275,1355,4864,11869,168828,42484,115564,10780,Alabama,Alabama State-Level Estimate,
2011,4803689,20166,299,1370,4906,13591,173192,51119,111411,10662,Alabama,Alabama State-Level Estimate,
2012,4817528,21693,342,1296,5020,15035,168878,47481,111523,9874,Alabama,Alabama State-Level Estimate,
2013,4833996,20834,346,2055,4645,13788,161835,42410,108862,10563,Alabama,Alabama State-Level Estimate,
2014,4849377,20727,276,2005,4701,13745,154094,39715,104238,10141,Alabama,Alabama State-Level Estimate,
2015,4853875,22957,348,2037,4612,15960,144785,35265,99182,10338,Alabama,Alabama State-Level Estimate,
2016,4860545,25878,407,1915,4687,18869,143259,34045,97498,11716,Alabama,Alabama State-Level Estimate,
2017,4875120,25469,419,2001,4233,18816,143774,31270,99707,12797,Alabama,Alabama State-Level Estimate,
