agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Wellington Police Department,2001,Utah,1693,UT00407,0,0,0,0,0,3,3,0,0,0,0,0,0,30,0,0,0,0,30,6,2,3,1,42,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,1,1,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington Police Department,2000,Utah,1666,UT00407,0,0,0,0,0,2,2,0,0,0,0,0,0,31,1,0,1,0,29,11,5,6,0,45,3,3,0,0,92,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,2,1,1,0,3,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,1,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington Police Department,1999,Utah,1733,UT00407,0,0,0,0,0,1,1,0,0,0,0,0,0,21,0,0,1,0,20,9,3,6,0,55,2,1,0,1,88,1,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,13,3,2,1,0,4,2,1,0,1,23,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington Police Department,1998,Utah,1707,UT00407,0,0,0,1,0,0,0,0,0,0,0,0,0,37,1,0,1,0,35,12,8,4,0,66,0,0,0,0,116,2,1,0,0,0,0,0,0,0,0,0,25,0,0,1,0,24,3,2,1,0,15,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,3,2,1,0,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington Police Department,1997,Utah,1827,UT00407,0,0,0,0,0,2,2,0,0,0,0,0,0,29,0,1,0,0,28,21,4,16,1,70,3,2,0,1,125,1,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,16,5,1,4,0,12,3,2,0,1,37,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,1,0,1,0,1,2,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington Police Department,1996,Utah,1775,UT00407,0,0,0,0,0,1,1,0,0,0,0,0,0,37,2,0,1,1,33,12,3,9,0,40,7,7,0,0,97,4,0,0,1,1,0,0,0,0,0,0,28,2,0,1,1,24,4,1,3,0,8,1,1,0,0,42,4,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,7,1,0,1,0,3,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington Police Department,1995,Utah,1732,UT00407,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,1,15,13,5,8,0,63,3,3,0,0,96,2,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,10,4,3,1,0,18,1,1,0,0,35,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,0,6,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington Police Department,1994,Utah,1660,UT00407,0,0,0,0,0,3,3,0,0,0,0,0,0,13,0,0,0,0,13,8,2,6,0,71,4,3,1,0,99,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,10,3,0,3,0,22,2,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington Police Department,1993,Utah,1619,UT00407,0,0,0,0,0,2,2,0,0,0,0,0,0,15,0,0,1,1,13,24,13,10,1,21,3,3,0,0,65,2,0,0,2,2,0,0,0,0,0,0,13,0,0,1,2,10,12,7,5,0,8,3,3,0,0,38,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10,5,5,0,3,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
Wellington Police Department,1992,Utah,NA,UT00407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
