agency,year,state,population,ORI,officers_killed_by_accident,officers_killed_by_felony,officers_assaulted,act_murder,act_manslaughter,act_rape_total,act_force_rape,act_attempted_rape,act_robbery_total,act_gun_robbery,act_knife_robbery,act_other_weapon_robbery,act_strong_arm_robbery,act_assault_total,act_aggravated_assault,act_gun_assault,act_knife_assault,act_other_weapon_assault,act_hand_feet_assault,act_simple_assault,act_burglary_total,act_burg_force_entry,act_burg_no_force_entry,act_attempted_burglary,act_theft_total,act_mtr_vhc_theft_total,act_auto_theft,act_truck_bus_theft,act_other_vhc_theft,act_all_fields,clr_murder,clr_18_murder,clr_manslaughter,clr_18_manslaughter,clr_rape_total,clr_18_rape_total,clr_force_rape,clr_18_force_rape,clr_attempted_rape,clr_18_attempted_rape,clr_robbery_total,clr_18_robbery_total,clr_gun_robbery,clr_18_gun_robbery,clr_knife_robbery,clr_18_knife_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,clr_assault_total,clr_18_assault_total,clr_aggravated_assault,clr_18_aggravated_assault,clr_gun_assault,clr_18_gun_assault,clr_knife_assault,clr_18_knife_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,clr_simple_assault,clr_18_simple_assault,clr_burglary_total,clr_18_burglary_total,clr_burg_force_entry,clr_18_burg_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,clr_attempted_burglary,clr_18_attempted_burglary,clr_theft_total,clr_18_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_auto_theft,clr_18_auto_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,clr_all_fields,clr_18_all_fields,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_force_rape,unfound_attempted_rape,unfound_robbery_total,unfound_gun_robbery,unfound_knife_robbery,unfound_other_weapon_robbery,unfound_strong_arm_robbery,unfound_assault_total,unfound_aggravated_assault,unfound_gun_assault,unfound_knife_assault,unfound_other_weapon_assault,unfound_hand_feet_assault,unfound_simple_assault,unfound_burglary_total,unfound_burg_force_entry,unfound_burg_no_force_entry,unfound_attempted_burglary,unfound_theft_total,unfound_mtr_vhc_theft_total,unfound_auto_theft,unfound_truck_bus_theft,unfound_other_vhc_theft,unfound_all_fields
Otsego Police Department,1971,Michigan,3978,MI03641,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,0,1,33,29,22,7,0,122,5,5,0,0,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,1,1,0,0,0,1,0,31,1,10,2,6,2,4,0,0,0,30,17,1,0,1,0,0,0,0,0,45,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1972,Michigan,4113,MI03641,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,1,38,34,19,7,8,113,8,8,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,1,1,0,0,1,0,34,8,8,2,7,1,1,1,0,0,39,26,4,1,4,1,0,0,0,0,53,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1973,Michigan,4132,MI03641,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,23,35,25,5,5,105,6,6,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,21,1,7,0,2,0,4,0,1,0,39,22,2,0,2,0,0,0,0,0,49,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1974,Michigan,4200,MI03641,0,1,2,0,0,0,0,0,2,1,1,0,0,38,21,1,0,1,19,17,45,31,9,5,145,6,3,0,3,236,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,21,1,12,1,1,0,0,0,2,0,9,1,9,0,22,7,16,3,2,1,4,3,55,43,3,3,3,3,0,0,0,0,103,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1975,Michigan,4214,MI03641,0,0,0,0,0,4,4,0,0,0,0,0,0,30,7,1,0,0,6,23,27,14,12,1,128,10,6,1,3,199,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,14,4,2,0,0,0,0,0,0,4,2,15,12,6,1,4,0,2,1,0,0,54,39,2,2,0,0,0,0,2,2,82,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1976,Michigan,3660,MI03641,0,0,3,0,0,1,0,1,0,0,0,0,0,15,5,1,0,2,2,10,18,7,11,0,96,7,3,1,3,137,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,1,0,2,0,9,0,2,0,1,0,1,0,0,0,26,19,1,1,1,1,0,0,0,0,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1977,Michigan,3702,MI03641,0,0,2,0,0,0,0,0,0,0,0,0,0,5,4,0,0,2,2,1,10,8,1,1,40,4,2,0,2,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,13,10,5,2,0,0,0,0,2,2,3,0,8,8,2,1,2,1,0,0,0,0,16,13,2,1,0,0,0,0,2,1,34,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1978,Michigan,4371,MI03641,0,0,0,0,0,0,0,0,1,0,0,1,0,6,1,0,0,0,1,5,3,0,2,1,30,2,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1979,Michigan,4406,MI03641,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,33,12,1,2,6,3,21,16,9,5,2,138,2,2,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,8,3,3,3,1,1,2,2,0,0,11,5,0,0,0,0,0,0,0,0,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1980,Michigan,3798,MI03641,0,0,0,0,0,0,0,0,2,0,1,1,0,34,4,0,1,3,0,30,46,34,10,2,172,9,6,1,2,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,3,1,6,3,6,3,0,0,0,0,22,6,2,0,2,0,0,0,0,0,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
