year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,2757537,656,17,102,301,236,30335,6375,21865,2095,Iowa,Iowa State-Level Estimate,
1961,2779000,643,36,81,291,235,29392,6356,21096,1940,Iowa,Iowa State-Level Estimate,
1962,2777000,559,31,105,238,185,31031,7326,21668,2037,Iowa,Iowa State-Level Estimate,
1963,2780000,629,35,100,253,241,32155,7516,22374,2265,Iowa,Iowa State-Level Estimate,
1964,2756000,1007,35,137,310,525,36376,8004,25733,2639,Iowa,Iowa State-Level Estimate,
1965,2760000,1067,36,123,354,554,37507,8398,26220,2889,Iowa,Iowa State-Level Estimate,
1966,2747000,1214,43,132,351,688,43941,9245,31074,3622,Iowa,Iowa State-Level Estimate,
1967,2753000,1608,42,155,578,833,50176,11881,34022,4273,Iowa,Iowa State-Level Estimate,
1968,2748000,1882,48,186,686,962,57026,13027,39476,4523,Iowa,Iowa State-Level Estimate,
1969,2781000,1918,39,178,622,1079,60724,13603,42184,4937,Iowa,Iowa State-Level Estimate,
1970,2825041,2241,54,175,804,1208,68529,14331,49253,4945,Iowa,Iowa State-Level Estimate,
1971,2852000,2822,52,255,866,1649,72060,15160,52528,4372,Iowa,Iowa State-Level Estimate,
1972,2883000,2519,50,248,770,1451,70471,15037,50560,4874,Iowa,Iowa State-Level Estimate,
1973,2904000,2970,63,329,954,1624,79260,18412,55310,5538,Iowa,Iowa State-Level Estimate,
1974,2855000,3455,54,287,1390,1724,94005,22597,65153,6255,Iowa,Iowa State-Level Estimate,
1975,2870000,4039,71,297,1536,2135,108142,23492,78057,6593,Iowa,Iowa State-Level Estimate,
1976,2870000,3813,67,307,1180,2259,112463,23737,82788,5938,Iowa,Iowa State-Level Estimate,
1977,2879000,4145,67,306,1187,2585,107027,23392,77304,6331,Iowa,Iowa State-Level Estimate,
1978,2896000,4674,74,300,1357,2943,110589,25214,78567,6808,Iowa,Iowa State-Level Estimate,
1979,2903000,5259,65,320,1457,3417,119620,26768,85023,7829,Iowa,Iowa State-Level Estimate,
1980,2907804,5826,63,416,1596,3751,132200,31390,93605,7205,Iowa,Iowa State-Level Estimate,
1981,2897000,5915,76,389,1554,3896,130723,30925,93333,6465,Iowa,Iowa State-Level Estimate,
1982,2905000,5018,67,362,1051,3538,115148,27535,82568,5045,Iowa,Iowa State-Level Estimate,
1983,2905000,5262,68,365,1192,3637,108587,26599,77402,4586,Iowa,Iowa State-Level Estimate,
1984,2910000,5781,59,375,1114,4233,104785,25357,74818,4610,Iowa,Iowa State-Level Estimate,
1985,2884000,6106,55,363,1187,4501,107607,26349,76835,4423,Iowa,Iowa State-Level Estimate,
1986,2851000,6703,51,356,1197,5099,111633,27255,79864,4514,Iowa,Iowa State-Level Estimate,
1987,2834000,6553,59,337,1025,5132,110781,26010,80489,4282,Iowa,Iowa State-Level Estimate,
1988,2834000,7279,47,446,1132,5654,108254,24211,79447,4596,Iowa,Iowa State-Level Estimate,
1989,2840000,7563,54,459,1108,5942,108349,24052,79801,4496,Iowa,Iowa State-Level Estimate,
1990,2776755,8321,54,510,1089,6668,105550,22448,78384,4718,Iowa,Iowa State-Level Estimate,
1991,2795000,8477,57,583,1257,6580,107069,23267,79030,4772,Iowa,Iowa State-Level Estimate,
1992,2812000,7816,44,528,1113,6131,103459,21197,77788,4474,Iowa,Iowa State-Level Estimate,
1993,2814000,9159,66,686,1517,6890,99080,20562,73148,5370,Iowa,Iowa State-Level Estimate,
1994,2829000,8914,47,666,1327,6874,94475,18872,70507,5096,Iowa,Iowa State-Level Estimate,
1995,2842000,10071,51,619,1507,7894,106504,21527,78645,6332,Iowa,Iowa State-Level Estimate,
1996,2852000,7771,53,561,1286,5871,96296,18954,71893,5449,Iowa,Iowa State-Level Estimate,
1997,2852000,8841,52,579,1593,6617,99986,22003,71301,6682,Iowa,Iowa State-Level Estimate,
1998,2862000,8916,54,728,1456,6678,91272,19282,66016,5974,Iowa,Iowa State-Level Estimate,
1999,2869413,8034,43,780,1051,6160,84463,17012,62316,5135,Iowa,Iowa State-Level Estimate,
