year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,389881,37,1,9,9,18,3181,944,1898,339,Vermont,Vermont State-Level Estimate,,3218
1961,395000,79,6,36,16,21,3147,1324,1489,334,Vermont,Vermont State-Level Estimate,,3226
1962,390000,57,1,24,18,14,3944,1461,2133,350,Vermont,Vermont State-Level Estimate,,4001
1963,390000,92,2,33,27,30,4242,1614,2167,461,Vermont,Vermont State-Level Estimate,,4334
1964,409000,89,2,24,13,50,3438,1064,1968,406,Vermont,Vermont State-Level Estimate,,3527
1965,397000,89,2,26,18,43,3803,1286,2128,389,Vermont,Vermont State-Level Estimate,,3892
1966,405000,80,6,28,16,30,4444,1733,2238,473,Vermont,Vermont State-Level Estimate,,4524
1967,417000,86,13,18,8,47,5009,2156,2332,521,Vermont,Vermont State-Level Estimate,,5095
1968,422000,157,11,31,26,89,4960,2093,2505,362,Vermont,Vermont State-Level Estimate,,5117
1969,439000,234,11,40,41,142,6664,2632,3536,496,Vermont,Vermont State-Level Estimate,,6898
1970,444732,329,6,46,34,243,8108,3249,4308,551,Vermont,Vermont State-Level Estimate,,8437
1971,458000,333,5,52,45,231,9195,3325,5233,637,Vermont,Vermont State-Level Estimate,,9528
1972,462000,445,8,50,49,338,9740,3411,5802,527,Vermont,Vermont State-Level Estimate,,10185
1973,464000,327,10,52,41,224,11264,3719,6913,632,Vermont,Vermont State-Level Estimate,,11591
1974,470000,353,16,58,65,214,13158,4791,7551,816,Vermont,Vermont State-Level Estimate,,13511
1975,471000,448,10,69,74,295,15948,5181,9948,819,Vermont,Vermont State-Level Estimate,,16396
1976,476000,563,26,71,85,381,14632,4868,8821,943,Vermont,Vermont State-Level Estimate,,15195
1977,483000,722,7,77,149,489,18424,6512,10631,1281,Vermont,Vermont State-Level Estimate,,19146
1978,487000,810,16,71,70,653,17728,6142,10543,1043,Vermont,Vermont State-Level Estimate,,18538
1979,493000,908,7,113,141,647,25217,7779,15776,1662,Vermont,Vermont State-Level Estimate,,26125
1980,511299,914,11,149,199,555,24592,7806,15278,1508,Vermont,Vermont State-Level Estimate,,25506
