year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,3038156,2957,205,163,1001,1588,33887,11274,18831,3782,Kentucky,Kentucky State-Level Estimate,,36844
1961,3076000,2907,201,146,1085,1475,34003,11271,19402,3330,Kentucky,Kentucky State-Level Estimate,,36910
1962,3082000,2963,201,177,1122,1463,38070,12809,21692,3569,Kentucky,Kentucky State-Level Estimate,,41033
1963,3095000,2849,172,166,1109,1402,41632,13508,24159,3965,Kentucky,Kentucky State-Level Estimate,,44481
1964,3159000,3486,164,254,1140,1928,46527,14571,27430,4526,Kentucky,Kentucky State-Level Estimate,,50013
1965,3179000,3463,168,209,1167,1919,47074,14140,28112,4822,Kentucky,Kentucky State-Level Estimate,,50537
1966,3183000,4191,223,265,1362,2341,51141,15360,28532,7249,Kentucky,Kentucky State-Level Estimate,,55332
1967,3189000,4484,230,291,1502,2461,54712,15399,30325,8988,Kentucky,Kentucky State-Level Estimate,,59196
1968,3229000,5317,288,330,1941,2758,58974,16872,31376,10726,Kentucky,Kentucky State-Level Estimate,,64291
1969,3232000,5745,336,370,2236,2803,64224,18399,34646,11179,Kentucky,Kentucky State-Level Estimate,,69969
1970,3219311,7157,357,441,2344,4015,72814,22662,39002,11150,Kentucky,Kentucky State-Level Estimate,,79971
1971,3282000,7717,358,489,2541,4329,73733,23596,39232,10905,Kentucky,Kentucky State-Level Estimate,,81450
1972,3299000,7446,323,517,2744,3862,66242,21449,35495,9298,Kentucky,Kentucky State-Level Estimate,,73688
1973,3342000,7356,323,545,2843,3645,68349,22716,38072,7561,Kentucky,Kentucky State-Level Estimate,,75705
1974,3357000,7857,347,592,3100,3818,84787,27865,49240,7682,Kentucky,Kentucky State-Level Estimate,,92644
1975,3396000,8967,345,523,3504,4595,101891,32696,60251,8944,Kentucky,Kentucky State-Level Estimate,,110858
1976,3428000,8987,362,611,3382,4632,104029,31886,63683,8460,Kentucky,Kentucky State-Level Estimate,,113016
1977,3458000,8077,349,659,2806,4263,96124,30162,57477,8485,Kentucky,Kentucky State-Level Estimate,,104201
1978,3498000,7807,316,725,2845,3921,97939,30942,58231,8766,Kentucky,Kentucky State-Level Estimate,,105746
1979,3527000,8748,335,719,3247,4447,103548,32082,62431,9035,Kentucky,Kentucky State-Level Estimate,,112296
1980,3641479,9711,321,698,3468,5224,115328,37901,68296,9131,Kentucky,Kentucky State-Level Estimate,,125039
1981,3661000,10599,308,766,3687,5838,118690,38893,71194,8603,Kentucky,Kentucky State-Level Estimate,,129289
1982,3667000,11550,355,734,3568,6893,119304,37736,73020,8548,Kentucky,Kentucky State-Level Estimate,,130854
1983,3714000,11967,364,817,3236,7550,115602,36286,71322,7994,Kentucky,Kentucky State-Level Estimate,,127569
1984,3723000,10342,244,826,2631,6641,99803,29234,63860,6709,Kentucky,Kentucky State-Level Estimate,,110145
1985,3726000,11384,256,806,2821,7501,98428,28739,62491,7198,Kentucky,Kentucky State-Level Estimate,,109812
1986,3728000,12467,248,860,3076,8283,102810,30725,64882,7203,Kentucky,Kentucky State-Level Estimate,,115277
1987,3727000,12589,280,781,3361,8167,109284,31571,70532,7181,Kentucky,Kentucky State-Level Estimate,,121873
1988,3721000,12284,229,835,2764,8456,104362,30747,66711,6904,Kentucky,Kentucky State-Level Estimate,,116646
1989,3727000,13302,293,917,2836,9256,110328,30526,71611,8191,Kentucky,Kentucky State-Level Estimate,,123630
1990,3685296,14386,264,1068,2545,10509,107208,28264,71594,7350,Kentucky,Kentucky State-Level Estimate,,121594
