agency,year,state,population,ORI,officers_killed_by_accident,officers_killed_by_felony,officers_assaulted,act_murder,act_manslaughter,act_rape_total,act_force_rape,act_attempted_rape,act_robbery_total,act_gun_robbery,act_knife_robbery,act_other_weapon_robbery,act_strong_arm_robbery,act_assault_total,act_aggravated_assault,act_gun_assault,act_knife_assault,act_other_weapon_assault,act_hand_feet_assault,act_simple_assault,act_burglary_total,act_burg_force_entry,act_burg_no_force_entry,act_attempted_burglary,act_theft_total,act_mtr_vhc_theft_total,act_auto_theft,act_truck_bus_theft,act_other_vhc_theft,act_all_fields,clr_murder,clr_18_murder,clr_manslaughter,clr_18_manslaughter,clr_rape_total,clr_18_rape_total,clr_force_rape,clr_18_force_rape,clr_attempted_rape,clr_18_attempted_rape,clr_robbery_total,clr_18_robbery_total,clr_gun_robbery,clr_18_gun_robbery,clr_knife_robbery,clr_18_knife_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,clr_assault_total,clr_18_assault_total,clr_aggravated_assault,clr_18_aggravated_assault,clr_gun_assault,clr_18_gun_assault,clr_knife_assault,clr_18_knife_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,clr_simple_assault,clr_18_simple_assault,clr_burglary_total,clr_18_burglary_total,clr_burg_force_entry,clr_18_burg_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,clr_attempted_burglary,clr_18_attempted_burglary,clr_theft_total,clr_18_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_auto_theft,clr_18_auto_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,clr_all_fields,clr_18_all_fields,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_force_rape,unfound_attempted_rape,unfound_robbery_total,unfound_gun_robbery,unfound_knife_robbery,unfound_other_weapon_robbery,unfound_strong_arm_robbery,unfound_assault_total,unfound_aggravated_assault,unfound_gun_assault,unfound_knife_assault,unfound_other_weapon_assault,unfound_hand_feet_assault,unfound_simple_assault,unfound_burglary_total,unfound_burg_force_entry,unfound_burg_no_force_entry,unfound_attempted_burglary,unfound_theft_total,unfound_mtr_vhc_theft_total,unfound_auto_theft,unfound_truck_bus_theft,unfound_other_vhc_theft,unfound_all_fields
Frontenac Police Department,1989,Kansas,2467,KS01904,0,0,0,0,0,1,1,0,1,0,0,0,1,17,5,1,1,1,2,12,32,18,12,2,41,2,2,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,2,1,0,0,1,1,0,0,1,0,9,2,5,2,5,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Frontenac Police Department,1990,Kansas,NA,KS01904,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,0,1,0,14,31,15,15,1,61,5,4,1,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,2,1,1,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,1991,Kansas,2606,KS01904,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,1,1,14,13,9,4,0,48,8,8,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2,0,0,0,0,0,1,0,1,0,13,1,2,1,1,0,1,1,0,0,9,0,5,2,5,2,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Frontenac Police Department,1992,Kansas,2635,KS01904,0,0,6,0,0,0,0,0,1,0,0,1,0,27,3,0,0,3,0,24,26,13,13,0,67,11,5,5,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,3,0,0,0,0,0,3,0,0,0,20,1,1,0,0,0,1,0,0,0,11,1,5,0,3,0,2,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,6
Frontenac Police Department,2000,Kansas,2996,KS01904,0,0,0,0,0,0,0,0,0,0,0,0,0,50,12,0,3,7,2,38,15,6,8,1,76,3,2,1,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,8,0,0,0,3,0,3,0,2,0,18,2,3,1,2,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2001,Kansas,3003,KS01904,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,0,2,2,0,37,17,9,7,1,74,8,6,1,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,2,0,0,0,1,0,1,0,0,0,23,2,0,0,0,0,0,0,0,0,5,1,2,2,2,2,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2002,Kansas,3026,KS01904,0,0,0,0,0,2,2,0,0,0,0,0,0,41,7,1,2,1,3,34,29,21,8,0,76,13,5,6,2,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,4,0,1,0,0,0,1,0,2,0,17,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2003,Kansas,3073,KS01904,0,0,0,0,0,1,1,0,1,0,0,1,0,34,4,2,0,2,0,30,37,25,11,1,82,5,2,1,2,160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,26,1,2,0,2,0,0,0,0,0,0,0,24,1,3,0,3,0,0,0,0,0,3,1,2,0,1,0,1,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2004,Kansas,3117,KS01904,0,0,0,0,0,0,0,0,0,0,0,0,0,51,6,2,2,0,2,45,30,20,8,2,82,12,6,4,2,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,6,0,2,0,2,0,0,0,2,0,31,2,2,1,1,1,1,0,0,0,4,0,2,1,2,1,0,0,0,0,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2005,Kansas,3089,KS01904,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,1,0,4,1,31,16,9,5,2,61,6,4,1,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,1,0,0,0,3,0,0,0,17,0,1,0,0,0,0,0,1,0,5,0,2,1,1,0,0,0,1,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
