year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,179323175,288460,9110,17190,107840,154320,3095700,912100,1855400,328200,United States,United States - National Estimate,
1961,182992000,289390,8740,17220,106670,156760,3198600,949600,1913000,336000,United States,United States - National Estimate,
1962,185771000,301510,8530,17550,110860,164570,3450700,994300,2089600,366800,United States,United States - National Estimate,
1963,188483000,316970,8640,17650,116470,174210,3792500,1086400,2297800,408300,United States,United States - National Estimate,
1964,191141000,364220,9360,21420,130390,203050,4200400,1213200,2514400,472800,United States,United States - National Estimate,
1965,193526000,387390,9960,23410,138690,215330,4352000,1282500,2572600,496900,United States,United States - National Estimate,
1966,195576000,430180,11040,25820,157990,235330,4793300,1410100,2822000,561200,United States,United States - National Estimate,
1967,197457000,499930,12240,27620,202910,257160,5403500,1632100,3111600,659800,United States,United States - National Estimate,
1968,199399000,595010,13800,31670,262840,286700,6125200,1858900,3482700,783600,United States,United States - National Estimate,
1969,201385000,661870,14760,37170,298850,311090,6749000,1981900,3888600,878500,United States,United States - National Estimate,
1970,203235298,738820,16000,37990,349860,334970,7359200,2205000,4225800,928400,United States,United States - National Estimate,
1971,206212000,816500,17780,42260,387700,368760,7771700,2399300,4424200,948200,United States,United States - National Estimate,
1972,208230000,834900,18670,46850,376290,393090,7413900,2375500,4151200,887200,United States,United States - National Estimate,
1973,209851000,875910,19640,51400,384220,420650,7842200,2565500,4347900,928800,United States,United States - National Estimate,
1974,211392000,974720,20710,55400,442400,456210,9278700,3039200,5262500,977100,United States,United States - National Estimate,
1975,213124000,1039710,20510,56090,470500,492620,10252700,3265300,5977700,1009600,United States,United States - National Estimate,
1976,214659000,1004210,18780,57080,427810,500530,10345500,3108700,6270800,966000,United States,United States - National Estimate,
1977,216332000,1029580,19120,63500,412610,534350,9955000,3071500,5905700,977700,United States,United States - National Estimate,
1978,218059000,1085550,19560,67610,426930,571460,10123400,3128300,5991000,1004100,United States,United States - National Estimate,
1979,220099000,1208030,21460,76390,480700,629480,11041500,3327700,6601000,1112800,United States,United States - National Estimate,
1980,225349264,1344520,23040,82990,565840,672650,12063700,3795200,7136900,1131700,United States,United States - National Estimate,
1981,229465714,1361820,22520,82500,592910,663900,12061900,3779700,7194400,1087800,United States,United States - National Estimate,
1982,231664458,1322390,21010,78770,553130,669480,11652000,3447100,7142500,1062400,United States,United States - National Estimate,
1983,233791994,1258087,19308,78918,506567,653294,10850543,3129851,6712759,1007933,United States,United States - National Estimate,
1984,235824902,1273282,18692,84233,485008,685349,10608473,2984434,6591874,1032165,United States,United States - National Estimate,
1985,237923795,1327767,18976,87671,497874,723246,11102590,3073348,6926380,1102862,United States,United States - National Estimate,
1986,240132887,1489169,20613,91459,542775,834322,11722700,3241410,7257153,1224137,United States,United States - National Estimate,
1987,242288918,1483999,20096,91111,517704,855088,12024709,3236184,7499851,1288674,United States,United States - National Estimate,
1988,244498982,1566221,20675,92486,542968,910092,12356865,3218077,7705872,1432916,United States,United States - National Estimate,
1989,246819230,1646037,21500,94504,578326,951707,12605412,3168170,7872442,1564800,United States,United States - National Estimate,
1990,249464396,1820127,23438,102555,639271,1054863,12655486,3073909,7945670,1635907,United States,United States - National Estimate,
1991,252153092,1911767,24703,106593,687732,1092739,12961116,3157150,8142228,1661738,United States,United States - National Estimate,
1992,255029699,1932274,23760,109062,672478,1126974,12505917,2979884,7915199,1610834,United States,United States - National Estimate,
1993,257782608,1926017,24526,106014,659870,1135607,12218777,2834808,7820909,1563060,United States,United States - National Estimate,
1994,260327021,1857670,23326,102216,618949,1113179,12131873,2712774,7879812,1539287,United States,United States - National Estimate,
1995,262803276,1798792,21606,97470,580509,1099207,12063935,2593784,7997710,1472441,United States,United States - National Estimate,
1996,265228572,1688540,19645,96252,535594,1037049,11805323,2506400,7904685,1394238,United States,United States - National Estimate,
1997,267783607,1636096,18208,96153,498534,1023201,11558475,2460526,7743760,1354189,United States,United States - National Estimate,
1998,270248003,1533887,16974,93144,447186,976583,10951827,2332735,7376311,1242781,United States,United States - National Estimate,
1999,272690813,1426044,15522,89411,409371,911740,10208334,2100739,6955520,1152075,United States,United States - National Estimate,
2000,281421906,1425486,15586,90178,408016,911706,10182584,2050992,6971590,1160002,United States,United States - National Estimate,
2001,285317559,1439480,16037,90863,423557,909023,10437189,2116531,7092267,1228391,United States,United States - National Estimate,
2002,287973924,1423677,16229,95235,420806,891407,10455277,2151252,7057379,1246646,United States,United States - National Estimate,
2003,290788976,1383676,16528,93883,414235,859030,10442862,2154834,7026802,1261226,United States,United States - National Estimate,
2004,293656842,1360088,16148,95089,401470,847381,10319386,2144446,6937089,1237851,United States,United States - National Estimate,
2005,296507061,1390745,16740,94347,417438,862220,10174754,2155448,6783447,1235859,United States,United States - National Estimate,
2006,299398484,1435123,17309,94472,449246,874096,10019601,2194993,6626363,1198245,United States,United States - National Estimate,
2007,301621157,1422970,17128,92160,447324,866358,9882212,2190198,6591542,1100472,United States,United States - National Estimate,
2008,304059724,1394461,16465,90750,443563,843683,9774152,2228887,6586206,959059,United States,United States - National Estimate,
2009,307006550,1325896,15399,89241,408742,812514,9337060,2203313,6338095,795652,United States,United States - National Estimate,
2010,309330219,1251248,14722,85593,369089,781844,9112625,2168459,6204601,739565,United States,United States - National Estimate,
2011,311587816,1206031,14661,84175,354772,752423,9052743,2185140,6151095,716508,United States,United States - National Estimate,
2012,313873685,1217067,14866,85141,355051,762009,9001992,2109932,6168874,723186,United States,United States - National Estimate,
2013,316497531,1199684,14319,113695,345095,726575,8650761,1931835,6018632,700294,United States,United States - National Estimate,
2014,318857056,1197987,14249,116645,325802,741291,8277829,1729806,5858496,689527,United States,United States - National Estimate,
2015,320896618,1199310,15883,126134,328109,764057,8024115,1587564,5723488,713063,United States,United States - National Estimate,
2016,323405935,1285606,17413,132414,332797,802982,7928530,1516405,5644835,767290,United States,United States - National Estimate,
2015,670377,8538,162,494,3746,4136,31444,2971,25208,3265,United States,United States - National Estimate,
2016,684336,8236,136,533,3500,4067,32377,2361,27089,2927,United States,United States - National Estimate,
2017,695691,6976,116,444,2625,3791,29736,1809,25340,2587,United States,United States - National Estimate,
2018,702455,6996,160,450,2415,3971,30724,1788,26343,2593,United States,United States - National Estimate,
2017,325147121,1283875,17294,135666,320596,810319,7682988,1397045,5513000,772943,United States,United States - National Estimate,
2018,327167434,1245065,16214,139380,282061,807410,7196045,1230149,5217055,748841,United States,United States - National Estimate,
