year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,890627,484,9,61,185,229,22150,3655,17081,1414,Utah,Utah State-Level Estimate,
1961,916000,451,16,62,186,187,18759,3558,13575,1626,Utah,Utah State-Level Estimate,
1962,967000,554,22,76,217,239,22005,4170,15804,2031,Utah,Utah State-Level Estimate,
1963,983000,598,24,77,225,272,22919,4916,16177,1826,Utah,Utah State-Level Estimate,
1964,992000,888,15,100,263,510,24149,5233,16906,2010,Utah,Utah State-Level Estimate,
1965,990000,886,15,88,229,554,27959,6008,19887,2064,Utah,Utah State-Level Estimate,
1966,1008000,1148,20,103,368,657,32421,6952,22806,2663,Utah,Utah State-Level Estimate,
1967,1024000,1194,28,74,394,698,32029,7020,22702,2307,Utah,Utah State-Level Estimate,
1968,1034000,1201,30,115,348,708,35836,7665,25532,2639,Utah,Utah State-Level Estimate,
1969,1045000,1460,26,147,512,775,40632,8867,28654,3111,Utah,Utah State-Level Estimate,
1970,1059273,1459,36,115,563,745,43048,9692,30006,3350,Utah,Utah State-Level Estimate,
1971,1099000,1689,30,161,665,833,47610,10053,33949,3608,Utah,Utah State-Level Estimate,
1972,1126000,2063,33,206,701,1123,45301,10283,31891,3127,Utah,Utah State-Level Estimate,
1973,1157000,2412,37,265,724,1386,46727,11446,31796,3485,Utah,Utah State-Level Estimate,
1974,1173000,2517,37,261,889,1330,55549,13289,38391,3869,Utah,Utah State-Level Estimate,
1975,1206000,2795,32,252,953,1558,58863,14325,40673,3865,Utah,Utah State-Level Estimate,
1976,1228000,2709,55,257,852,1545,58418,13973,40548,3897,Utah,Utah State-Level Estimate,
1977,1268000,3043,44,258,873,1868,57195,14856,38098,4241,Utah,Utah State-Level Estimate,
1978,1307000,3552,49,299,869,2335,61522,15516,41642,4364,Utah,Utah State-Level Estimate,
1979,1367000,4158,66,381,1062,2649,70918,16115,50216,4587,Utah,Utah State-Level Estimate,
1980,1458729,4425,55,404,1170,2796,81357,19283,57354,4720,Utah,Utah State-Level Estimate,
1981,1516000,4527,50,431,1286,2760,82643,19326,58855,4462,Utah,Utah State-Level Estimate,
1982,1554000,4440,53,369,1344,2674,78451,17202,57341,3908,Utah,Utah State-Level Estimate,
1983,1619000,4144,56,403,1041,2644,78715,16446,58453,3816,Utah,Utah State-Level Estimate,
1984,1652000,4035,47,336,958,2694,74703,14176,56782,3745,Utah,Utah State-Level Estimate,
1985,1645000,4398,50,381,908,3059,83072,15511,63668,3893,Utah,Utah State-Level Estimate,
1986,1665000,4441,53,421,976,2991,86774,15233,67825,3716,Utah,Utah State-Level Estimate,
1987,1680000,3861,55,365,887,2554,90532,15975,71038,3519,Utah,Utah State-Level Estimate,
1988,1691000,4110,47,399,915,2749,90223,14898,71677,3648,Utah,Utah State-Level Estimate,
1989,1707000,4417,45,489,898,2985,92577,15311,73210,4056,Utah,Utah State-Level Estimate,
1990,1722850,4892,52,651,980,3209,92620,15172,73352,4096,Utah,Utah State-Level Estimate,
1991,1770000,5077,52,808,976,3241,94178,14872,75041,4265,Utah,Utah State-Level Estimate,
1992,1813000,5267,54,823,1014,3376,97322,16045,76964,4313,Utah,Utah State-Level Estimate,
1993,1860000,5599,58,829,1090,3622,91816,14708,72603,4505,Utah,Utah State-Level Estimate,
1994,1908000,5810,56,806,1213,3735,95332,15089,74554,5689,Utah,Utah State-Level Estimate,
1995,1951000,6415,76,834,1309,4196,112417,15623,89202,7592,Utah,Utah State-Level Estimate,
1996,2e+06,6638,63,836,1377,4362,113079,16965,87542,8572,Utah,Utah State-Level Estimate,
1997,2059000,6878,50,977,1408,4443,116569,18335,89090,9144,Utah,Utah State-Level Estimate,
1998,2100000,6599,65,875,1385,4274,109025,17070,84255,7700,Utah,Utah State-Level Estimate,
1999,2129836,5869,44,806,1158,3861,100130,14592,78156,7382,Utah,Utah State-Level Estimate,
2000,2233169,5711,43,863,1242,3563,94247,14348,73438,6461,Utah,Utah State-Level Estimate,
2001,2278712,5314,67,896,1197,3154,90993,13804,70676,6513,Utah,Utah State-Level Estimate,
2002,2318789,5488,47,943,1140,3358,97641,15124,74795,7722,Utah,Utah State-Level Estimate,
2003,2352119,5889,60,919,1258,3652,100084,16961,75321,7802,Utah,Utah State-Level Estimate,
2004,2420708,5647,46,967,1236,3398,97762,15225,74889,7648,Utah,Utah State-Level Estimate,
2005,2490334,5612,56,920,1095,3541,95546,14971,72082,8493,Utah,Utah State-Level Estimate,
2006,2550063,5771,51,891,1242,3587,89572,14721,66480,8371,Utah,Utah State-Level Estimate,
2007,2645330,6347,59,935,1425,3928,93082,15594,68573,8915,Utah,Utah State-Level Estimate,
2008,2736424,6165,41,915,1421,3788,92373,14766,70299,7308,Utah,Utah State-Level Estimate,
2009,2784572,5998,39,941,1304,3714,91751,15258,69556,6937,Utah,Utah State-Level Estimate,
2010,2775479,5925,53,983,1269,3620,88316,15095,67242,5979,Utah,Utah State-Level Estimate,
2011,2814347,5547,50,901,1079,3517,84084,13170,64727,6187,Utah,Utah State-Level Estimate,
2012,2854871,5939,52,975,1105,3807,86284,13095,67157,6032,Utah,Utah State-Level Estimate,
2013,2902787,6644,51,1522,1247,3824,88334,13727,67115,7492,Utah,Utah State-Level Estimate,
2014,2942902,6346,67,1454,1312,3513,84711,11518,65895,7298,Utah,Utah State-Level Estimate,
2015,2990632,7138,57,1704,1329,4048,89797,12606,68464,8727,Utah,Utah State-Level Estimate,
2016,3044321,7406,74,1560,1528,4244,90561,12938,68261,9362,Utah,Utah State-Level Estimate,
2017,3103118,7515,74,1758,1498,4185,86201,11780,64955,9466,Utah,Utah State-Level Estimate,
2018,3161105,7368,60,1753,1236,4319,75156,9968,57460,7728,Utah,Utah State-Level Estimate,
