year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,5148578,2512,74,249,1052,1137,60255,15918,33469,10868,Massachusetts,Massachusetts State-Level Estimate,
1961,5234000,2777,77,291,1066,1343,73783,19683,39885,14215,Massachusetts,Massachusetts State-Level Estimate,
1962,5161000,3207,95,256,1331,1525,80900,21181,44051,15668,Massachusetts,Massachusetts State-Level Estimate,
1963,5218000,3454,101,236,1409,1708,86602,23121,44382,19099,Massachusetts,Massachusetts State-Level Estimate,
1964,5338000,4559,105,320,1636,2498,101540,28278,49129,24133,Massachusetts,Massachusetts State-Level Estimate,
1965,5348000,5270,129,290,2139,2712,108185,29655,49997,28533,Massachusetts,Massachusetts State-Level Estimate,
1966,5383000,6201,128,344,2474,3255,116276,33326,53244,29706,Massachusetts,Massachusetts State-Level Estimate,
1967,5421000,6919,154,411,2818,3536,127638,36621,54837,36180,Massachusetts,Massachusetts State-Level Estimate,
1968,5437000,8916,188,518,4039,4171,157886,47210,66823,43853,Massachusetts,Massachusetts State-Level Estimate,
1969,5467000,10272,191,592,4955,4534,179901,56450,76501,46950,Massachusetts,Massachusetts State-Level Estimate,
1970,5689170,11542,197,684,5658,5003,201592,64523,87114,49955,Massachusetts,Massachusetts State-Level Estimate,
1971,5758000,15317,220,715,8069,6313,235015,77145,101161,56709,Massachusetts,Massachusetts State-Level Estimate,
1972,5787000,17086,215,784,8840,7247,220591,71894,92425,56272,Massachusetts,Massachusetts State-Level Estimate,
1973,5818000,20475,256,949,10586,8684,242556,77395,100605,64556,Massachusetts,Massachusetts State-Level Estimate,
1974,5800000,22545,256,907,12317,9065,289666,89891,120572,79203,Massachusetts,Massachusetts State-Level Estimate,
1975,5828000,25793,242,1121,13229,11201,328423,99802,137058,91563,Massachusetts,Massachusetts State-Level Estimate,
1976,5809000,23190,194,1028,10466,11502,314946,96554,142135,76257,Massachusetts,Massachusetts State-Level Estimate,
1977,5782000,24593,178,1203,9822,13390,288158,88594,133642,65922,Massachusetts,Massachusetts State-Level Estimate,
1978,5774000,26673,216,1307,9947,15203,282260,87482,131519,63259,Massachusetts,Massachusetts State-Level Estimate,
1979,5769000,30650,212,1428,11724,17286,310756,92570,152135,66051,Massachusetts,Massachusetts State-Level Estimate,
1980,5728288,34444,232,1562,13492,19158,313787,99697,153849,60241,Massachusetts,Massachusetts State-Level Estimate,
1981,5770000,36273,210,1580,15633,18850,300428,95080,147691,57657,Massachusetts,Massachusetts State-Level Estimate,
1982,5781000,33031,219,1464,12359,18989,285140,82212,146933,55995,Massachusetts,Massachusetts State-Level Estimate,
1983,5767000,33264,203,1495,12023,19543,255707,72291,133883,49533,Massachusetts,Massachusetts State-Level Estimate,
1984,5798000,30362,211,1627,10122,18402,235675,63756,123214,48705,Massachusetts,Massachusetts State-Level Estimate,
1985,5822000,31334,202,1734,10974,18424,245665,65231,130088,50346,Massachusetts,Massachusetts State-Level Estimate,
1986,5832000,32476,208,1731,11239,19298,242989,62455,127668,52866,Massachusetts,Massachusetts State-Level Estimate,
1987,5855000,33060,173,1868,10379,20640,244105,62056,127939,54110,Massachusetts,Massachusetts State-Level Estimate,
1988,5871000,36376,208,1876,10352,23940,256639,62307,141933,52399,Massachusetts,Massachusetts State-Level Estimate,
1989,5913000,39912,254,1881,11980,25797,263780,63004,146925,53851,Massachusetts,Massachusetts State-Level Estimate,
1990,6016425,44300,243,2030,13062,28965,274442,66942,151933,55567,Massachusetts,Massachusetts State-Level Estimate,
1991,5996000,44138,249,1926,11669,30294,274990,69977,149930,55083,Massachusetts,Massachusetts State-Level Estimate,
1992,5998000,46727,214,2166,11059,33288,253344,64318,141610,47416,Massachusetts,Massachusetts State-Level Estimate,
1993,6012000,48393,233,2006,10563,35591,245831,60220,136548,49063,Massachusetts,Massachusetts State-Level Estimate,
1994,6041000,42749,214,1825,10160,30550,225532,53222,129962,42348,Massachusetts,Massachusetts State-Level Estimate,
1995,6074000,41739,217,1759,9137,30626,221971,49669,135586,36716,Massachusetts,Massachusetts State-Level Estimate,
1996,6092000,39122,157,1767,7778,29420,194636,42896,119562,32178,Massachusetts,Massachusetts State-Level Estimate,
1997,6118000,39411,119,1647,6676,30969,185437,40491,115494,29452,Massachusetts,Massachusetts State-Level Estimate,
1998,6147000,38192,124,1687,5938,30443,173011,37333,109275,26403,Massachusetts,Massachusetts State-Level Estimate,
1999,6175169,34023,122,1663,5931,26307,167437,32964,108845,25628,Massachusetts,Massachusetts State-Level Estimate,
2000,6349097,30230,125,1696,5815,22594,161901,30600,105425,25876,Massachusetts,Massachusetts State-Level Estimate,
2001,6401164,30585,143,1856,6476,22110,167079,32430,106821,27828,Massachusetts,Massachusetts State-Level Estimate,
2002,6421800,31137,173,1777,7169,22018,167753,33243,107922,26588,Massachusetts,Massachusetts State-Level Estimate,
2003,6420357,30377,140,1848,8011,20378,164543,34963,104069,25511,Massachusetts,Massachusetts State-Level Estimate,
2004,6407382,29489,171,1794,7484,20040,158150,34497,101605,22048,Massachusetts,Massachusetts State-Level Estimate,
2005,6433367,29644,178,1751,7837,19878,151727,34728,98079,18920,Massachusetts,Massachusetts State-Level Estimate,
2006,6437193,32217,188,1771,8080,22178,153943,35243,100725,17975,Massachusetts,Massachusetts State-Level Estimate,
2007,6449755,28487,187,1643,7021,19636,154743,35767,103925,15051,Massachusetts,Massachusetts State-Level Estimate,
2008,6497967,30137,166,1751,7077,21143,155919,36251,106913,12755,Massachusetts,Massachusetts State-Level Estimate,
2009,6593587,30503,173,1734,7467,21129,153178,34515,106799,11864,Massachusetts,Massachusetts State-Level Estimate,
2010,6555466,30737,214,1784,6897,21842,154496,37903,105124,11469,Massachusetts,Massachusetts State-Level Estimate,
2011,6607003,28232,184,1654,6768,19626,148829,36403,101644,10782,Massachusetts,Massachusetts State-Level Estimate,
2012,6645303,27047,121,1650,6555,18721,143325,34635,99453,9237,Massachusetts,Massachusetts State-Level Estimate,
2013,6708874,27264,138,2303,6705,18118,137274,30716,97437,9121,Massachusetts,Massachusetts State-Level Estimate,
2014,6745408,26399,132,2180,6036,18051,125267,24964,92043,8260,Massachusetts,Massachusetts State-Level Estimate,
2015,6784240,26453,131,2082,5266,18974,114547,21826,84676,8045,Massachusetts,Massachusetts State-Level Estimate,
2016,6823721,25975,135,2141,5365,18334,106430,19204,79155,8071,Massachusetts,Massachusetts State-Level Estimate,
2017,6863246,24318,172,2199,4874,17073,97977,16916,73573,7488,Massachusetts,Massachusetts State-Level Estimate,
2018,6902149,23337,136,2410,4143,16648,87196,13862,66728,6606,Massachusetts,Massachusetts State-Level Estimate,
