year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,15717204,37558,616,2859,15287,18796,508511,143102,311956,53453,California,California State-Level Estimate,
1961,16397000,38154,605,3033,14832,19684,521008,146615,319834,54559,California,California State-Level Estimate,
1962,16970000,39846,657,2946,15598,20645,564451,158523,348373,57555,California,California State-Level Estimate,
1963,17590000,42419,673,3080,16458,22208,623709,175703,384289,63717,California,California State-Level Estimate,
1964,18084000,48026,740,3621,18667,24998,700630,196883,427960,75787,California,California State-Level Estimate,
1965,18602000,52490,880,3948,21081,26581,750997,225007,444217,81773,California,California State-Level Estimate,
1966,18918000,57718,868,4432,22317,30101,802944,241666,474122,87156,California,California State-Level Estimate,
1967,19153000,67446,1039,4792,28539,33076,900757,276958,526477,97322,California,California State-Level Estimate,
1968,19221000,81293,1150,5744,36991,37408,1018363,316081,582838,119444,California,California State-Level Estimate,
1969,19443000,89878,1386,7053,39240,42199,1096083,325891,638249,131943,California,California State-Level Estimate,
1970,19953134,94741,1376,7005,41277,45083,1170113,349788,682811,137514,California,California State-Level Estimate,
1971,20223000,104872,1642,7300,47626,48304,1248069,392277,711417,144375,California,California State-Level Estimate,
1972,20468000,110667,1791,8127,48829,51920,1201968,398960,663568,139440,California,California State-Level Estimate,
1973,20601000,116563,1862,8357,49531,56813,1182309,407824,643488,130997,California,California State-Level Estimate,
1974,20907000,127658,1985,8494,52822,64357,1303810,433194,737067,133549,California,California State-Level Estimate,
1975,21185000,138842,2209,8807,59827,67999,1387451,469726,784639,133086,California,California State-Level Estimate,
1976,21520000,144041,2220,9614,59318,72889,1412716,467980,806086,138650,California,California State-Level Estimate,
1977,21896000,154582,2515,10825,62852,78390,1380039,468452,766317,145270,California,California State-Level Estimate,
1978,22294000,165626,2611,11316,68235,83464,1420857,488966,777783,154108,California,California State-Level Estimate,
1979,22696000,184087,2952,12239,75767,93129,1511021,496310,847148,167563,California,California State-Level Estimate,
1980,23532680,210290,3411,13693,90420,102766,1633042,545138,913070,174834,California,California State-Level Estimate,
1981,24159000,208485,3143,13566,93781,97995,1625302,540806,921939,162557,California,California State-Level Estimate,
1982,24724000,201429,2779,12529,91988,94133,1599827,499466,935831,164530,California,California State-Level Estimate,
1983,25174000,194491,2639,12093,85826,93933,1486487,460460,867123,158904,California,California State-Level Estimate,
1984,25622000,195589,2717,11702,83924,97246,1461731,443094,857328,161309,California,California State-Level Estimate,
1985,26365000,201763,2770,11421,86387,101185,1516710,448506,890967,177237,California,California State-Level Estimate,
1986,26981000,248370,3038,12119,92512,140701,1576299,457698,913004,205597,California,California State-Level Estimate,
1987,27663000,253943,2924,12109,83341,155569,1545928,419969,896335,229624,California,California State-Level Estimate,
1988,28168000,261912,2936,11780,86141,161055,1607180,407631,933636,265913,California,California State-Level Estimate,
1989,29063000,284136,3158,11966,96431,172581,1681516,410468,972603,298445,California,California State-Level Estimate,
1990,29760021,311051,3553,12688,112208,182602,1654186,400392,951580,302214,California,California State-Level Estimate,
1991,30380000,331122,3859,12896,124939,189428,1726391,424656,986120,315615,California,California State-Level Estimate,
1992,30867000,345624,3921,12761,130897,198045,1716137,427491,968534,320112,California,California State-Level Estimate,
