year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,9706397,8120,311,572,3890,3347,143187,37260,92858,13069,Ohio,Ohio State-Level Estimate,,151307
1961,9876000,7986,306,554,3914,3212,148406,39677,96682,12047,Ohio,Ohio State-Level Estimate,,156392
1962,10097000,8366,321,520,3830,3695,149733,40014,95938,13781,Ohio,Ohio State-Level Estimate,,158099
1963,10173000,9086,306,617,4145,4018,168038,43898,109095,15045,Ohio,Ohio State-Level Estimate,,177124
1964,10100000,11582,350,721,4663,5848,187354,47100,121729,18525,Ohio,Ohio State-Level Estimate,,198936
1965,10245000,12788,366,915,5286,6221,186587,48199,118929,19459,Ohio,Ohio State-Level Estimate,,199375
1966,10305000,15626,462,963,7216,6985,200650,50567,125816,24267,Ohio,Ohio State-Level Estimate,,216276
1967,10458000,19344,545,1073,9934,7792,244028,63540,146432,34056,Ohio,Ohio State-Level Estimate,,263372
1968,10591000,21228,562,1309,10808,8549,273301,69839,163192,40270,Ohio,Ohio State-Level Estimate,,294529
1969,10740000,26648,685,1645,13604,10714,309966,79489,178701,51776,Ohio,Ohio State-Level Estimate,,336614
1970,10652017,30279,699,1700,15539,12341,350465,90953,207024,52488,Ohio,Ohio State-Level Estimate,,380744
1971,10778000,32159,811,1988,17642,11718,362983,100520,208962,53501,Ohio,Ohio State-Level Estimate,,395142
1972,10783000,32286,811,2149,17318,12008,338584,97186,193673,47725,Ohio,Ohio State-Level Estimate,,370870
1973,10731000,31304,783,2299,15397,12825,343836,101190,202203,40443,Ohio,Ohio State-Level Estimate,,375140
1974,10737000,39094,952,2565,20529,15048,414377,125821,245354,43202,Ohio,Ohio State-Level Estimate,,453471
1975,10759000,43901,876,2721,23673,16631,484844,136791,302174,45879,Ohio,Ohio State-Level Estimate,,528745
1976,10690000,41553,792,2759,19645,18357,487409,128618,318370,40421,Ohio,Ohio State-Level Estimate,,528962
1977,10701000,43521,833,2921,20386,19381,461553,130121,288581,42851,Ohio,Ohio State-Level Estimate,,505074
1978,10749000,44357,741,2947,19627,21042,456419,130543,282666,43210,Ohio,Ohio State-Level Estimate,,500776
1979,10731000,49092,865,3409,20909,23909,501389,138128,316162,47099,Ohio,Ohio State-Level Estimate,,550481
1980,10766808,53646,871,3696,24082,24997,531141,157874,327322,45945,Ohio,Ohio State-Level Estimate,,584787
1981,10776000,53509,799,3339,25529,23842,533498,160951,326770,45777,Ohio,Ohio State-Level Estimate,,587007
1982,10791000,47126,676,3223,19809,23418,485468,141316,302962,41190,Ohio,Ohio State-Level Estimate,,532594
1983,10746000,42759,600,3387,17132,21640,441362,124179,280156,37027,Ohio,Ohio State-Level Estimate,,484121
1984,10752000,41430,551,3734,15656,21489,418011,112887,266148,38976,Ohio,Ohio State-Level Estimate,,459441
1985,10744000,41000,554,3966,14301,22179,408882,104920,266066,37896,Ohio,Ohio State-Level Estimate,,449882
1986,10752000,45260,595,4151,15283,25231,423387,106212,276779,40396,Ohio,Ohio State-Level Estimate,,468647
1987,10784000,45436,630,4305,16511,23990,447964,114580,292093,41291,Ohio,Ohio State-Level Estimate,,493400
1988,10872000,49144,585,4632,17546,26381,455890,112130,300355,43405,Ohio,Ohio State-Level Estimate,,505034
1989,10907000,51109,652,4872,18635,26950,465143,111057,306609,47477,Ohio,Ohio State-Level Estimate,,516252
