year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,4662498,3945,204,240,1609,1892,68496,21486,39196,7814,Indiana,Indiana State-Level Estimate,,72441
1961,4711000,4044,192,250,1829,1773,72871,22162,42379,8330,Indiana,Indiana State-Level Estimate,,76915
1962,4715000,4191,167,289,1814,1921,80810,22183,49473,9154,Indiana,Indiana State-Level Estimate,,85001
1963,4694000,4819,130,380,2219,2090,91417,25294,56127,9996,Indiana,Indiana State-Level Estimate,,96236
1964,4825000,6564,147,505,2802,3110,98778,25797,62098,10883,Indiana,Indiana State-Level Estimate,,105342
1965,4885000,6695,173,516,2802,3204,99334,27178,60113,12043,Indiana,Indiana State-Level Estimate,,106029
1966,4918000,7196,197,520,3089,3390,107692,30859,63282,13551,Indiana,Indiana State-Level Estimate,,114888
1967,5e+06,8143,188,633,3933,3389,121481,35074,69464,16943,Indiana,Indiana State-Level Estimate,,129624
1968,5067000,10229,243,741,5119,4126,137739,37693,79174,20872,Indiana,Indiana State-Level Estimate,,147968
1969,5118000,10141,255,864,4788,4234,147973,41916,85869,20188,Indiana,Indiana State-Level Estimate,,158114
1970,5193669,12184,253,1031,5729,5171,168811,48084,97338,23389,Indiana,Indiana State-Level Estimate,,180995
1971,5274000,13031,282,1025,6646,5078,172758,51104,100414,21240,Indiana,Indiana State-Level Estimate,,185789
1972,5291000,12968,321,1192,5878,5577,167440,50180,97921,19339,Indiana,Indiana State-Level Estimate,,180408
1973,5316000,13696,388,1239,5785,6284,184415,55064,108623,20728,Indiana,Indiana State-Level Estimate,,198111
1974,5330000,15631,427,1255,7166,6783,215524,66870,127706,20948,Indiana,Indiana State-Level Estimate,,231155
1975,5311000,17677,449,1291,8328,7609,243170,73103,149447,20620,Indiana,Indiana State-Level Estimate,,260847
1976,5302000,16721,377,1228,6830,8286,231055,64450,146859,19746,Indiana,Indiana State-Level Estimate,,247776
1977,5330000,16553,395,1412,6565,8181,211190,57894,133179,20117,Indiana,Indiana State-Level Estimate,,227743
1978,5374000,17383,334,1451,6526,9072,215770,59561,134119,22090,Indiana,Indiana State-Level Estimate,,233153
1979,5400000,18254,448,1681,7167,8958,230223,63176,143666,23381,Indiana,Indiana State-Level Estimate,,248477
1980,5461103,20633,485,1808,7720,10620,248619,71720,153297,23602,Indiana,Indiana State-Level Estimate,,269252
1981,5466000,18672,388,1616,7050,9618,229472,63887,147038,18547,Indiana,Indiana State-Level Estimate,,248144
1982,5471000,16444,355,1521,5966,8602,225894,59569,148454,17871,Indiana,Indiana State-Level Estimate,,242338
1983,5479000,15547,286,1509,5474,8278,210725,54147,138929,17649,Indiana,Indiana State-Level Estimate,,226272
1984,5498000,16781,303,1372,5435,9671,199258,51019,128941,19298,Indiana,Indiana State-Level Estimate,,216039
1985,5499000,17014,319,1318,5065,10312,198220,50295,129861,18064,Indiana,Indiana State-Level Estimate,,215234
1986,5504000,16937,329,1424,4954,10230,195233,48802,128404,18027,Indiana,Indiana State-Level Estimate,,212170
1987,5531000,18169,307,1609,4901,11352,209695,52363,137722,19610,Indiana,Indiana State-Level Estimate,,227864
1988,5575000,21187,358,1731,4963,14135,210177,52137,138335,19705,Indiana,Indiana State-Level Estimate,,231364
1989,5593000,22735,353,1804,5671,14907,225592,54201,149514,21877,Indiana,Indiana State-Level Estimate,,248327
1990,5544159,26275,344,2103,5619,18209,233376,52297,156741,24338,Indiana,Indiana State-Level Estimate,,259651
1991,5610000,28349,423,2318,6506,19102,241930,54814,161039,26077,Indiana,Indiana State-Level Estimate,,270279
1992,5662000,28791,464,2398,6921,19008,236584,53907,157181,25496,Indiana,Indiana State-Level Estimate,,265375
1993,5713000,27941,430,2234,6845,18432,227149,48677,154016,24456,Indiana,Indiana State-Level Estimate,,255090
1994,5752000,30205,453,2046,7490,20216,233975,48921,160043,25011,Indiana,Indiana State-Level Estimate,,264180
1995,5803000,30451,466,1930,7844,20211,238317,47676,163618,27023,Indiana,Indiana State-Level Estimate,,268768
1996,5841000,31366,420,1992,7249,21705,231376,45782,160777,24817,Indiana,Indiana State-Level Estimate,,262742
1997,5864000,30179,430,1928,7763,20058,231723,48182,158442,25099,Indiana,Indiana State-Level Estimate,,261902
1998,5899000,25423,454,1952,6561,16456,220529,46552,152790,21187,Indiana,Indiana State-Level Estimate,,245952
1999,5942901,22261,391,1607,6496,13767,201547,42463,138794,20290,Indiana,Indiana State-Level Estimate,,223808
2000,6080485,21230,352,1759,6282,12837,206905,41108,144707,21090,Indiana,Indiana State-Level Estimate,,228135
2001,6126743,22734,413,1716,7171,13434,211548,42758,147291,21499,Indiana,Indiana State-Level Estimate,,234282
2002,6156913,22001,362,1843,6612,13184,208965,42605,146073,20287,Indiana,Indiana State-Level Estimate,,230966
2003,6199571,21842,338,1720,6401,13383,208039,41582,145686,20771,Indiana,Indiana State-Level Estimate,,229881
2004,6226537,20294,316,1803,6373,11802,211929,42168,148670,21091,Indiana,Indiana State-Level Estimate,,232223
2005,6266019,20302,356,1856,6809,11281,216778,43756,151278,21744,Indiana,Indiana State-Level Estimate,,237080
2006,6313520,20303,361,1811,7175,10956,217783,45538,150655,21590,Indiana,Indiana State-Level Estimate,,238086
2007,6345289,21310,350,1738,7845,11377,213887,46485,147999,19403,Indiana,Indiana State-Level Estimate,,235197
2008,6376792,21525,322,1711,7580,11912,213639,48805,147334,17500,Indiana,Indiana State-Level Estimate,,235164
2009,6423113,21455,312,1621,7347,12175,199907,48880,137190,13837,Indiana,Indiana State-Level Estimate,,221362
2010,6490622,20983,268,1760,6559,12396,199274,48570,137204,13500,Indiana,Indiana State-Level Estimate,,220257
2011,6516353,21619,306,1758,6977,12578,206016,50571,140630,14815,Indiana,Indiana State-Level Estimate,,227635
2012,6537782,22544,307,1661,6601,13975,197994,47689,136668,13637,Indiana,Indiana State-Level Estimate,,220538
2013,6570713,23627,357,2241,7114,13915,187472,42754,130534,14184,Indiana,Indiana State-Level Estimate,,211099
2014,6596855,24099,330,2186,6897,14686,174776,36893,124022,13861,Indiana,Indiana State-Level Estimate,,198875
2015,6612768,25373,370,2386,7081,15536,171878,34404,123940,13534,Indiana,Indiana State-Level Estimate,,197251
2016,6634007,26516,431,2449,7291,16345,168460,33567,120454,14439,Indiana,Indiana State-Level Estimate,,194976
2017,6660082,26307,413,2612,7035,16247,158932,29799,114395,14738,Indiana,Indiana State-Level Estimate,,185239
2018,6691878,25581,438,2370,5939,16834,145838,25268,105242,15328,Indiana,Indiana State-Level Estimate,,171419
