agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Marshall County Sheriff's Office,2023,Alabama,48820,AL05000,0,0,0,0,0,10,10,0,1,0,0,1,0,153,5,1,8,24,115,45,30,15,0,120,28,26,2,0,357,0,38,49,193,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall County Sheriff's Office,2022,Alabama,48251,AL05000,0,0,0,1,0,9,9,0,0,0,0,0,0,169,5,4,6,15,139,72,40,31,1,178,63,58,2,3,492,0,30,40,313,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall County Sheriff's Office,2021,Alabama,50099,AL05000,0,0,0,1,0,12,12,0,0,0,0,0,0,103,13,1,1,15,73,147,125,22,0,114,46,42,1,3,423,0,30,43,307,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall County Sheriff's Office,2020,Alabama,48129,AL05000,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,13,2,2,0,0,25,0,0,4,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall County Sheriff's Office,2019,Alabama,,AL05000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County Sheriff's Office,2018,Alabama,47423,AL05000,0,0,0,0,0,14,14,0,4,1,0,2,1,236,5,0,52,14,165,134,72,60,2,193,43,40,1,2,624,0,71,89,370,459,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,11,3,3,0,0,18,0,0,2,15,17
Marshall County Sheriff's Office,2017,Alabama,46688,AL05000,0,0,5,1,0,13,13,0,3,2,0,0,1,306,7,8,61,9,221,168,100,67,1,280,63,50,2,11,834,0,85,102,511,613,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,4,10,4,5,1,24,7,4,0,3,47,0,0,2,41,43
Marshall County Sheriff's Office,2016,Alabama,46261,AL05000,0,0,1,1,0,9,9,0,1,0,0,1,0,182,7,2,18,7,148,189,123,64,2,227,38,31,4,3,647,0,34,45,454,499,0,0,1,1,0,0,0,0,0,0,5,0,0,1,0,4,9,8,0,1,32,1,0,1,0,48,0,1,2,42,44
Marshall County Sheriff's Office,2015,Alabama,46324,AL05000,0,0,0,2,0,7,7,0,6,3,0,1,2,86,1,2,5,3,75,166,115,50,1,191,28,20,3,5,486,0,11,26,385,411,0,0,4,4,0,0,0,0,0,0,2,0,0,1,0,1,9,5,4,0,15,3,2,0,1,33,0,1,5,27,32
Marshall County Sheriff's Office,2014,Alabama,46493,AL05000,0,0,2,0,0,9,8,1,3,1,0,1,1,276,3,3,20,9,241,220,140,71,9,203,24,16,4,4,735,0,35,47,447,494,0,0,3,3,0,0,0,0,0,0,5,0,0,0,0,5,4,2,1,1,13,5,5,0,0,30,0,0,3,22,25
Marshall County Sheriff's Office,2013,Alabama,,AL05000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County Sheriff's Office,2012,Alabama,46388,AL05000,0,0,1,1,0,10,9,1,5,1,0,0,4,343,1,7,20,18,297,315,182,125,8,357,36,27,5,4,1067,0,46,62,708,770,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,4,15,4,10,1,28,0,0,0,0,49,0,2,2,43,45
Marshall County Sheriff's Office,2011,Alabama,45770,AL05000,0,0,0,0,0,9,8,1,1,1,0,0,0,354,4,11,20,10,309,312,203,101,8,461,44,29,6,9,1181,0,45,55,817,872,0,0,1,1,0,0,0,0,0,0,10,0,0,2,2,6,9,6,3,0,39,8,7,0,1,67,0,4,5,56,61
Marshall County Sheriff's Office,2010,Alabama,,AL05000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County Sheriff's Office,2009,Alabama,44047,AL05000,0,0,6,1,0,9,9,0,2,1,0,0,1,595,10,11,20,20,534,219,134,82,3,360,57,51,1,5,1243,0,61,73,636,709,0,0,2,2,0,0,0,0,0,0,31,0,2,0,2,27,15,12,3,0,50,6,5,1,0,104,0,4,6,71,77
Marshall County Sheriff's Office,2008,Alabama,43813,AL05000,0,0,2,2,0,13,12,1,5,2,0,0,3,517,11,9,10,14,473,244,174,69,1,364,48,37,1,10,1193,0,44,64,656,720,0,0,1,1,0,0,0,0,0,0,31,0,0,0,1,30,18,8,9,1,42,6,5,1,0,98,0,1,2,66,68
Marshall County Sheriff's Office,2007,Alabama,44058,AL05000,0,0,0,1,0,8,8,0,1,0,0,0,1,188,1,4,3,17,163,152,98,54,0,313,30,20,1,9,693,0,25,35,495,530,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,1,1
Marshall County Sheriff's Office,2006,Alabama,44366,AL05000,0,0,0,0,0,5,5,0,0,0,0,0,0,226,3,6,6,16,195,144,91,53,0,307,24,19,3,2,706,0,31,36,475,511,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Marshall County Sheriff's Office,2005,Alabama,44062,AL05000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall County Sheriff's Office,2004,Alabama,43663,AL05000,0,0,0,1,0,10,10,0,0,0,0,0,0,344,2,2,9,8,323,215,152,63,0,230,39,31,4,4,839,0,21,32,484,516,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Marshall County Sheriff's Office,2003,Alabama,43703,AL05000,0,0,1,1,0,7,7,0,2,0,1,1,0,416,6,4,7,17,382,133,87,46,0,190,45,21,9,15,794,0,34,44,368,412,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,6,4,4,0,0,13,2,1,0,1,27,0,2,2,19,21
Marshall County Sheriff's Office,2002,Alabama,43395,AL05000,0,0,0,2,0,9,9,0,4,2,0,0,2,522,6,8,6,17,485,118,73,45,0,185,32,14,0,18,872,0,37,52,335,387,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,3,2,0,12,2,2,0,0,23,0,0,0,19,19
Marshall County Sheriff's Office,2001,Alabama,43179,AL05000,0,0,4,1,0,8,8,0,0,0,0,0,0,325,6,2,6,24,287,158,89,69,0,242,59,34,2,23,793,0,38,47,459,506,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,4,2,0,16,7,7,0,0,35,0,0,0,29,29
Marshall County Sheriff's Office,2000,Alabama,43013,AL05000,0,0,0,0,0,2,2,0,1,1,0,0,0,177,6,2,2,10,157,103,80,23,0,101,20,14,0,6,404,0,20,23,224,247,0,0,1,1,0,0,0,0,0,0,3,1,0,0,1,1,8,5,3,0,12,5,4,0,1,29,0,2,3,25,28
Marshall County Sheriff's Office,1999,Alabama,40468,AL05000,0,0,0,0,0,2,2,0,0,0,0,0,0,74,0,0,11,1,62,67,67,0,0,74,6,6,0,0,223,0,12,14,147,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,12,4,4,0,0,20,0,0,0,20,20
Marshall County Sheriff's Office,1998,Alabama,39723,AL05000,0,0,0,0,0,1,1,0,0,0,0,0,0,74,2,3,2,0,67,74,68,6,0,106,9,9,0,0,264,0,7,8,189,197,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,5,0,0,6,0,0,0,0,12,0,0,0,11,11
Marshall County Sheriff's Office,1997,Alabama,,AL05000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County Sheriff's Office,1996,Alabama,34222,AL05000,0,0,0,0,0,3,3,0,0,0,0,0,0,24,1,0,1,9,13,59,41,18,0,64,4,3,0,1,154,0,11,14,127,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,4,0,0,0,4,4
Marshall County Sheriff's Office,1995,Alabama,34062,AL05000,0,0,0,3,0,1,1,0,0,0,0,0,0,24,1,0,6,2,15,126,113,13,0,167,0,0,0,0,321,0,9,13,293,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,2,2
Marshall County Sheriff's Office,1994,Alabama,36298,AL05000,0,0,0,0,0,1,0,0,2,0,0,0,0,112,0,0,0,67,45,112,0,0,0,146,11,0,0,0,384,0,67,70,269,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall County Sheriff's Office,1993,Alabama,36023,AL05000,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,12,3,139,0,0,0,87,11,0,0,0,253,0,12,13,237,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,8,0,0,0,8,8
Marshall County Sheriff's Office,1992,Alabama,36684,AL05000,0,0,0,0,0,8,0,0,3,0,0,0,0,27,6,6,6,9,0,155,0,0,0,118,17,0,0,0,328,0,27,38,290,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,1,0,0,0,22,0,0,0,22,22
Marshall County Sheriff's Office,1991,Alabama,36268,AL05000,0,0,0,2,0,1,0,0,0,0,0,0,0,20,5,5,5,5,0,151,0,0,0,204,29,0,0,0,407,0,20,23,384,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,17,2,0,0,0,39,0,0,0,39,39
Marshall County Sheriff's Office,1990,Alabama,36477,AL05000,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,150,0,0,0,171,21,0,0,0,348,0,2,6,342,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,13,0,0,0,0,25,0,0,0,25,25
Marshall County Sheriff's Office,1989,Alabama,37754,AL05000,0,0,0,4,0,1,1,0,3,2,0,1,0,5,2,0,0,1,2,178,128,48,2,119,36,25,4,7,346,0,3,11,333,344,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,5,4,2,9,1,1,0,0,22,0,0,0,21,21
Marshall County Sheriff's Office,1988,Alabama,37517,AL05000,0,0,1,1,0,3,3,0,0,0,0,0,0,45,7,3,5,2,28,203,135,68,0,160,35,22,5,8,447,0,17,21,398,419,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,7,4,0,11,2,2,0,0,27,0,0,3,24,27
Marshall County Sheriff's Office,1987,Alabama,37090,AL05000,0,0,0,2,0,2,2,0,2,1,0,1,0,22,3,2,8,2,7,164,109,51,4,156,21,13,7,1,369,0,15,21,341,362,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,4,3,1,11,1,0,1,0,21,0,1,1,20,21
Marshall County Sheriff's Office,1986,Alabama,36606,AL05000,0,0,0,1,0,0,0,0,1,0,0,0,1,22,9,3,4,0,6,155,146,6,3,198,21,9,4,8,398,0,16,18,374,392,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,3,0,2,2,1,1,0,0,9,0,1,1,8,9
Marshall County Sheriff's Office,1985,Alabama,36487,AL05000,0,0,0,0,0,0,0,0,2,1,0,0,1,7,2,0,3,0,2,156,147,4,5,220,30,17,2,11,415,0,5,7,406,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,2,2,0,0,7,0,0,0,7,7
Marshall County Sheriff's Office,1984,Alabama,35252,AL05000,0,0,0,1,0,3,3,0,2,1,0,0,1,15,6,4,2,3,0,141,137,4,0,215,29,18,6,5,406,0,15,21,385,406,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,7,0,1,19,3,3,0,0,31,0,1,1,30,31
Marshall County Sheriff's Office,1983,Alabama,34604,AL05000,0,0,0,3,0,1,1,0,5,1,0,1,3,11,3,3,3,0,2,128,96,32,0,337,31,22,5,4,516,0,9,18,496,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,4,2,1,1,9,0,0,0,9,9
Marshall County Sheriff's Office,1982,Alabama,34465,AL05000,0,0,0,1,0,1,1,0,4,1,0,0,3,5,2,1,0,1,1,158,80,77,1,338,42,27,10,5,549,0,4,10,538,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
