year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,3100689,4691,168,224,1158,3141,47092,11360,30024,5708,Maryland,Maryland State-Level Estimate,,51783
1961,3188000,4959,143,262,1330,3224,52106,12348,33461,6297,Maryland,Maryland State-Level Estimate,,57065
1962,3191000,4915,183,279,1340,3113,55410,12886,36298,6226,Maryland,Maryland State-Level Estimate,,60325
1963,3289000,5283,207,308,1721,3047,65169,15968,41387,7814,Maryland,Maryland State-Level Estimate,,70452
1964,3432000,7446,229,346,2041,4830,74473,18735,46471,9267,Maryland,Maryland State-Level Estimate,,81919
1965,3519000,10032,236,489,2919,6388,87072,22474,53831,10767,Maryland,Maryland State-Level Estimate,,97104
1966,3613000,11236,254,554,4470,5958,103066,27254,60270,15542,Maryland,Maryland State-Level Estimate,,114302
1967,3682000,17458,293,720,7809,8636,126522,37366,71147,18009,Maryland,Maryland State-Level Estimate,,143980
1968,3757000,23405,350,978,10355,11722,148656,48886,77041,22729,Maryland,Maryland State-Level Estimate,,172061
1969,3765000,24295,350,1125,11086,11734,147891,41970,83610,22311,Maryland,Maryland State-Level Estimate,,172186
1970,3922399,24512,362,936,13280,9934,157528,41234,94816,21478,Maryland,Maryland State-Level Estimate,,182040
1971,4e+06,24857,449,997,13015,10396,167110,44900,101138,21072,Maryland,Maryland State-Level Estimate,,191967
1972,4056000,26412,509,1053,13144,11706,161328,45090,94571,21667,Maryland,Maryland State-Level Estimate,,187740
1973,4070000,26093,460,1131,12274,12228,168917,46584,100036,22297,Maryland,Maryland State-Level Estimate,,195010
1974,4094000,29439,481,1219,14765,12974,201877,57433,120562,23882,Maryland,Maryland State-Level Estimate,,231316
1975,4098000,29087,437,1289,14107,13254,213002,57912,133908,21182,Maryland,Maryland State-Level Estimate,,242089
1976,4144000,26249,352,1327,12247,12323,208483,56356,134355,17772,Maryland,Maryland State-Level Estimate,,234732
1977,4139000,28716,333,1439,12088,14856,207206,57946,131526,17734,Maryland,Maryland State-Level Estimate,,235922
1978,4143000,30328,338,1476,12828,15686,210530,58907,134024,17599,Maryland,Maryland State-Level Estimate,,240858
1979,4149000,33007,406,1636,13740,17225,228159,62630,145297,20232,Maryland,Maryland State-Level Estimate,,261166
1980,4192211,35735,399,1681,16461,17194,242214,71183,152144,18887,Maryland,Maryland State-Level Estimate,,277949
1981,4261000,37800,421,1654,18085,17640,241625,70740,152405,18480,Maryland,Maryland State-Level Estimate,,279425
1982,4265000,36254,432,1596,15377,18849,220174,60547,142903,16724,Maryland,Maryland State-Level Estimate,,256428
1983,4304000,34736,367,1412,14950,18007,195828,52697,127443,15688,Maryland,Maryland State-Level Estimate,,230564
1984,4349000,34455,354,1640,13097,19364,192325,51484,123567,17274,Maryland,Maryland State-Level Estimate,,226780
1985,4392000,36655,348,1700,13272,21335,199318,52995,126077,20246,Maryland,Maryland State-Level Estimate,,235973
1986,4463000,37177,401,1944,13569,21263,212831,55593,132904,24334,Maryland,Maryland State-Level Estimate,,250008
1987,4535000,34820,436,1795,13164,19425,213589,52718,134485,26386,Maryland,Maryland State-Level Estimate,,248409
1988,4644000,37466,449,1721,13994,21302,227457,54735,141509,31213,Maryland,Maryland State-Level Estimate,,264923
1989,4694000,40152,544,1783,15589,22236,220955,52735,137043,31177,Maryland,Maryland State-Level Estimate,,261107
1990,4781468,43940,552,2185,17394,23809,234842,53549,147407,33886,Maryland,Maryland State-Level Estimate,,278782
1991,4860000,46469,569,2229,19783,23888,255299,56258,163524,35517,Maryland,Maryland State-Level Estimate,,301768
1992,4908000,49085,596,2278,21054,25157,256418,55520,165244,35654,Maryland,Maryland State-Level Estimate,,305503
1993,4965000,49540,632,2185,21582,25141,253647,56246,163471,33930,Maryland,Maryland State-Level Estimate,,303187
1994,5006000,47457,579,2035,20147,24696,259039,52234,168608,38197,Maryland,Maryland State-Level Estimate,,306496
1995,5042000,49757,596,2130,21334,25697,267625,53320,178126,36179,Maryland,Maryland State-Level Estimate,,317382
1996,5072000,47230,588,1905,19944,24793,260231,50331,173817,36083,Maryland,Maryland State-Level Estimate,,307461
1997,5094000,43127,502,1814,17157,23654,244842,47918,166256,30668,Maryland,Maryland State-Level Estimate,,287969
1998,5135000,40903,513,1714,15339,23337,234624,47393,159019,28212,Maryland,Maryland State-Level Estimate,,275527
1999,5171634,38447,465,1551,13636,22795,215973,43230,147296,25447,Maryland,Maryland State-Level Estimate,,254420
2000,5296486,41663,430,1543,13560,26130,213422,39426,145423,28573,Maryland,Maryland State-Level Estimate,,255085
2001,5386079,42088,446,1449,13525,26668,219512,41553,145934,32025,Maryland,Maryland State-Level Estimate,,261600
