year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,969265,289,16,48,77,148,11228,2702,7334,1192,Maine,Maine State-Level Estimate,
1961,992000,334,16,58,87,173,10725,2969,7002,754,Maine,Maine State-Level Estimate,
1962,999000,277,14,28,78,157,11622,3073,7653,896,Maine,Maine State-Level Estimate,
1963,982000,306,19,36,64,187,11216,2972,7246,998,Maine,Maine State-Level Estimate,
1964,989000,506,15,77,75,339,13361,3688,8573,1100,Maine,Maine State-Level Estimate,
1965,993000,437,21,43,40,333,13625,4021,8671,933,Maine,Maine State-Level Estimate,
1966,983000,486,22,48,58,358,13543,3578,8917,1048,Maine,Maine State-Level Estimate,
1967,973000,621,4,58,94,465,15170,4452,9637,1081,Maine,Maine State-Level Estimate,
1968,979000,633,29,66,86,452,15835,5029,9497,1309,Maine,Maine State-Level Estimate,
1969,978000,733,16,58,111,548,18252,5672,11176,1404,Maine,Maine State-Level Estimate,
1970,993663,887,15,70,125,677,19582,6345,11721,1516,Maine,Maine State-Level Estimate,
1971,1003000,903,20,74,144,665,22329,7529,13318,1482,Maine,Maine State-Level Estimate,
1972,1029000,1143,55,80,217,791,25514,8155,15688,1671,Maine,Maine State-Level Estimate,
1973,1028000,1258,22,80,213,943,27962,10007,16107,1848,Maine,Maine State-Level Estimate,
1974,1047000,1440,30,91,292,1027,36254,13809,20375,2070,Maine,Maine State-Level Estimate,
1975,1059000,2324,30,110,386,1798,39608,14418,22958,2232,Maine,Maine State-Level Estimate,
1976,1070000,2354,29,106,406,1813,41349,14051,25011,2287,Maine,Maine State-Level Estimate,
1977,1085000,2438,26,147,420,1845,41780,13596,25505,2679,Maine,Maine State-Level Estimate,
1978,1091000,2266,30,121,359,1756,42885,13542,26579,2764,Maine,Maine State-Level Estimate,
1979,1097000,2221,31,131,349,1710,45030,12592,29828,2610,Maine,Maine State-Level Estimate,
1980,1123670,2173,32,145,346,1650,46904,13291,31151,2462,Maine,Maine State-Level Estimate,
1981,1132000,2214,36,145,368,1665,45820,14081,29545,2194,Maine,Maine State-Level Estimate,
1982,1133000,1847,24,152,345,1326,41884,11862,27863,2159,Maine,Maine State-Level Estimate,
1983,1146000,1829,24,193,311,1301,40357,11415,27022,1920,Maine,Maine State-Level Estimate,
1984,1156000,1832,20,155,305,1352,38944,10267,26811,1866,Maine,Maine State-Level Estimate,
1985,1164000,1950,28,167,284,1471,40789,10607,28260,1922,Maine,Maine State-Level Estimate,
1986,1174000,1726,23,174,328,1201,38909,9433,27548,1928,Maine,Maine State-Level Estimate,
