agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Winnfield Police Dept,2016,Louisiana,4514,LA06401,0,0,0,0,0,5,5,0,8,3,0,0,5,35,0,2,4,26,3,68,49,19,0,147,9,8,0,1,272,32,0,0,4,4,0,6,2,0,0,4,32,0,1,4,24,3,3,3,0,0,31,2,2,0,0,78,29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,1,8,0,0,1,6,1,3,3,0,0,0,0,0,0,0,14,7
Winnfield Police Dept,2015,Louisiana,4580,LA06401,0,0,0,2,1,0,0,0,4,2,0,0,2,76,5,1,7,45,18,56,45,9,2,161,9,6,0,3,309,58,1,1,0,0,0,1,0,0,0,1,65,2,1,6,40,16,10,9,1,0,56,5,3,0,2,139,49,0,0,0,0,0,0,0,0,0,0,6,0,1,1,2,2,5,5,0,0,1,0,0,0,0,12,4,0,0,1,1,0,3,0,1,1,1,14,2,0,2,7,3,6,4,2,0,22,0,0,0,0,46,11
Winnfield Police Dept,2014,Louisiana,4615,LA06401,0,0,0,0,0,0,0,0,1,1,0,0,0,76,3,1,8,52,12,72,40,27,5,182,11,8,0,3,342,64,0,0,0,0,0,0,0,0,0,0,70,3,1,8,51,7,10,5,5,0,13,2,1,0,1,95,63,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,1,1,0,0,0,0,0,0,0,5,4,1,0,1,0,1,1,1,0,0,0,28,1,0,3,18,6,5,5,0,0,16,1,1,0,0,53,22
Winnfield Police Dept,2013,Louisiana,4683,LA06401,0,0,0,1,0,2,2,0,8,4,1,1,2,86,1,4,12,53,16,92,64,18,10,194,13,11,0,2,396,70,1,0,2,2,0,6,3,1,1,1,67,0,3,9,40,15,10,7,2,1,57,5,5,0,0,148,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,1,1,0,3,2,0,0,1,21,0,1,0,15,5,8,2,6,0,11,0,0,0,0,44,16
Winnfield Police Dept,2012,Louisiana,4787,LA06401,0,0,0,1,0,0,0,0,8,4,1,0,3,67,4,5,5,22,31,71,43,23,5,129,5,1,0,4,281,36,1,0,0,0,0,6,3,1,0,2,47,3,3,4,18,19,5,2,3,0,35,3,0,0,3,97,28,0,0,0,0,0,2,2,0,0,0,3,0,1,0,0,2,0,0,0,0,3,3,0,0,3,11,1,0,0,6,5,1,5,0,1,0,4,32,0,1,3,9,19,4,0,2,2,9,0,0,0,0,56,13
Winnfield Police Dept,2011,Louisiana,NA,LA06401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winnfield Police Dept,2010,Louisiana,4840,LA06401,0,0,0,0,0,3,1,2,13,6,0,0,7,134,5,10,12,97,10,89,49,22,18,160,15,14,1,0,414,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,13,2,1,0,9,1,3,0,2,1,8,0,0,0,0,27,12
Winnfield Police Dept,2009,Louisiana,5031,LA06401,0,0,0,0,0,1,1,0,0,0,0,0,0,180,3,1,1,2,173,31,18,13,0,113,0,0,0,0,325,7,0,0,0,0,0,0,0,0,0,0,134,1,1,0,1,131,1,0,0,1,20,0,0,0,0,155,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnfield Police Dept,2008,Louisiana,5073,LA06401,0,0,0,1,0,0,0,0,4,4,0,0,0,188,6,5,5,42,130,19,10,9,0,93,0,0,0,0,305,58,1,0,0,0,0,1,1,0,0,0,141,5,4,3,27,102,3,3,0,0,4,0,0,0,0,150,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnfield Police Dept,2007,Louisiana,5183,LA06401,0,0,0,0,0,0,0,0,1,0,1,0,0,176,5,7,1,2,161,13,4,9,0,141,0,0,0,0,331,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
