year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,7823194,17034,353,1135,7330,8216,191001,56724,120237,14040,Michigan,Michigan State-Level Estimate,
1961,7954000,16499,326,1092,6441,8640,197630,57647,125964,14019,Michigan,Michigan State-Level Estimate,
1962,7991000,18106,275,1133,7710,8988,204073,57641,130499,15933,Michigan,Michigan State-Level Estimate,
1963,8116000,18478,283,1220,8393,8582,223075,58884,145863,18328,Michigan,Michigan State-Level Estimate,
1964,8098000,21153,284,1603,9155,10111,237109,63956,151910,21243,Michigan,Michigan State-Level Estimate,
1965,8218000,24459,378,1970,10853,11258,248290,71289,150410,26591,Michigan,Michigan State-Level Estimate,
1966,8374000,27806,415,2358,12992,12041,282725,82403,170722,29600,Michigan,Michigan State-Level Estimate,
1967,8584000,33390,560,2282,16188,14360,315295,99624,182277,33394,Michigan,Michigan State-Level Estimate,
1968,8740000,37292,669,2732,18315,15576,327217,101664,187952,37601,Michigan,Michigan State-Level Estimate,
1969,8766000,44048,770,2832,23238,17208,377085,115315,217834,43936,Michigan,Michigan State-Level Estimate,
1970,8875083,51090,831,2402,30758,17099,437700,139398,257118,41184,Michigan,Michigan State-Level Estimate,
1971,8997000,51697,942,2404,29703,18648,462500,151756,265951,44793,Michigan,Michigan State-Level Estimate,
1972,9082000,50425,999,2657,26276,20493,436693,143709,249940,43044,Michigan,Michigan State-Level Estimate,
1973,9044000,52921,1096,3173,25569,23083,443538,143311,250638,49589,Michigan,Michigan State-Level Estimate,
1974,9098000,59993,1186,3377,30679,24751,533160,173215,303110,56835,Michigan,Michigan State-Level Estimate,
1975,9157000,62792,1086,3488,32334,25884,559915,173231,327174,59510,Michigan,Michigan State-Level Estimate,
1976,9104000,58814,1014,3287,30284,24229,530965,151901,323243,55821,Michigan,Michigan State-Level Estimate,
1977,9129000,53381,853,3555,23905,25068,477196,139006,288387,49803,Michigan,Michigan State-Level Estimate,
1978,9189000,53040,972,3636,20153,28279,461002,132716,279958,48328,Michigan,Michigan State-Level Estimate,
1979,9208000,56558,834,4100,20218,31406,509457,138806,315211,55440,Michigan,Michigan State-Level Estimate,
1980,9228128,59014,940,4304,22519,31251,557051,160688,342384,53979,Michigan,Michigan State-Level Estimate,
1981,9201000,59058,861,4366,23688,30143,571582,171331,341805,58446,Michigan,Michigan State-Level Estimate,
1982,9109000,59806,827,4246,24699,30034,558195,165155,330031,63009,Michigan,Michigan State-Level Estimate,
1983,9069000,64993,910,5085,25873,33125,522450,153438,302118,66894,Michigan,Michigan State-Level Estimate,
1984,9075000,68979,879,5880,27832,34388,525979,149209,298192,78578,Michigan,Michigan State-Level Estimate,
1985,9088000,66714,1018,6140,26572,32984,511852,138792,297827,75233,Michigan,Michigan State-Level Estimate,
