agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Little Canada Pd St Paul,2015,Minnesota,10341,MN06211,0,0,0,0,0,1,1,0,1,0,0,0,1,24,0,1,1,1,21,5,5,0,0,20,6,6,0,0,57,0,3,5,31,36,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,16,1,1,0,0,0,1,1,0,0,19,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Little Canada Pd St Paul,2014,Minnesota,10207,MN06211,0,0,0,0,0,5,3,2,8,3,2,3,0,74,0,1,2,7,64,74,44,27,3,195,41,40,0,1,397,0,10,23,310,333,0,0,3,2,1,2,0,0,2,0,56,0,1,2,6,47,6,1,5,0,11,6,6,0,0,84,0,9,14,23,37,0,0,0,0,0,0,0,0,0,0,17,0,0,1,1,15,0,0,0,0,1,1,1,0,0,19,0,2,2,2,4,0,0,1,1,0,0,0,0,0,0,6,0,1,1,0,4,0,0,0,0,0,0,0,0,0,7,0,2,3,0,3
Little Canada Pd St Paul,2013,Minnesota,10083,MN06211,0,0,0,0,0,4,2,2,5,3,1,0,1,66,0,5,3,6,52,66,45,15,6,143,37,36,0,1,321,0,14,23,246,269,0,0,4,2,2,1,0,0,0,1,58,0,4,3,2,49,19,10,6,3,12,2,2,0,0,96,0,9,14,33,47,0,0,2,1,1,1,0,0,0,1,10,0,0,1,1,8,0,0,0,0,1,0,0,0,0,14,0,2,5,1,6,0,0,1,1,0,0,0,0,0,0,7,0,0,1,1,5,0,0,0,0,0,0,0,0,0,8,0,2,3,0,3
Little Canada Pd St Paul,2012,Minnesota,9956,MN06211,0,0,0,0,0,6,6,0,5,2,1,0,2,80,1,3,6,11,59,50,33,15,2,152,54,49,1,4,347,0,21,32,256,288,0,0,5,5,0,3,0,1,0,2,71,0,2,5,11,53,5,5,0,0,15,9,9,0,0,108,0,18,26,29,55,0,0,0,0,0,1,0,0,0,1,16,0,0,1,2,13,1,1,0,0,0,1,1,0,0,19,0,3,4,2,6,0,0,2,2,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0,1,1,0,0,8,0,2,4,1,5
Little Canada Pd St Paul,2011,Minnesota,9848,MN06211,0,0,0,0,0,4,4,0,4,0,0,2,2,86,0,0,2,0,84,32,19,6,7,166,40,38,1,1,332,0,2,10,238,248,0,0,0,0,0,2,0,0,2,0,71,0,0,1,0,70,5,4,1,0,20,5,5,0,0,103,0,1,3,30,33,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,28,0,0,0,0,2,0,0,0,0,31,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Canada Pd St Paul,2010,Minnesota,9773,MN06211,0,0,0,0,0,7,7,0,4,0,0,2,2,96,1,3,8,2,82,47,23,15,9,206,42,32,5,5,402,0,14,25,295,320,0,0,3,3,0,2,0,0,2,0,85,0,2,7,2,74,9,6,2,1,19,7,5,1,1,125,0,11,16,35,51,0,0,0,0,0,0,0,0,0,0,49,0,1,3,1,44,1,0,0,1,0,0,0,0,0,50,0,5,5,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1
Little Canada Pd St Paul,2009,Minnesota,,MN06211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Canada Pd St Paul,2008,Minnesota,9634,MN06211,0,0,0,1,0,0,0,0,3,2,0,1,0,96,0,5,2,2,87,32,22,8,2,193,41,35,3,3,368,0,9,13,266,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Canada Pd St Paul,2007,Minnesota,,MN06211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Canada Pd St Paul,2006,Minnesota,,MN06211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Canada Pd St Paul,2005,Minnesota,9740,MN06211,0,0,0,0,0,3,3,0,3,1,0,0,2,96,4,2,4,3,83,55,37,16,2,303,54,43,5,6,514,0,13,19,412,431,0,0,2,2,0,1,1,0,0,0,91,2,2,3,3,81,10,6,3,1,24,10,9,1,0,138,0,10,13,44,57,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,17,0,0,0,0,0,0,0,0,0,18,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,0,0,0,2,2
Little Canada Pd St Paul,2004,Minnesota,9818,MN06211,0,0,0,0,0,3,3,0,6,3,1,1,1,102,0,3,5,2,92,43,34,7,2,261,46,40,1,5,461,0,10,19,350,369,0,0,2,2,0,2,2,0,0,0,97,0,3,5,1,88,9,8,0,1,22,6,5,0,1,138,0,9,13,37,50,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,28,1,1,0,0,3,0,0,0,0,33,0,1,1,4,5,0,0,4,4,0,0,0,0,0,0,6,0,0,1,0,5,0,0,0,0,4,2,2,0,0,16,0,1,5,6,11
Little Canada Pd St Paul,2003,Minnesota,9925,MN06211,0,0,0,1,0,6,6,0,7,4,0,3,0,89,0,1,7,6,75,29,22,7,0,293,36,28,5,3,461,0,14,28,358,386,1,0,5,5,0,4,3,0,1,0,81,0,1,7,5,68,4,1,3,0,15,3,2,0,1,113,0,13,23,22,45,0,0,0,0,0,1,0,0,1,0,31,0,0,2,2,27,0,0,0,0,2,0,0,0,0,34,0,4,5,2,7,0,0,2,2,0,1,1,0,0,0,4,0,1,0,0,3,1,1,0,0,3,2,2,0,0,13,0,1,4,6,10
