agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Dinwiddie County Sheriff's Office,2023,Virginia,28322,VA02700,0,0,0,0,0,4,4,0,6,4,0,0,2,231,36,1,26,28,140,47,39,7,1,225,21,7,11,3,534,0,91,101,293,394,0,0,2,2,0,2,1,0,0,1,155,18,1,15,23,98,30,26,4,0,24,4,2,2,0,217,0,57,61,58,119,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,8,1,0,1,0,0,1,1,0,0,11,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County Sheriff's Office,2022,Virginia,28021,VA02700,0,0,0,3,0,11,11,0,6,6,0,0,0,211,56,0,26,18,111,31,24,7,0,276,19,9,9,1,557,0,100,120,326,446,3,0,5,5,0,0,0,0,0,0,21,5,0,0,4,12,3,3,0,0,5,4,1,1,2,41,0,9,17,12,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County Sheriff's Office,2021,Virginia,28717,VA02700,0,0,0,3,0,7,7,0,4,2,0,1,1,192,35,2,18,17,120,34,19,14,1,221,16,4,6,6,477,0,72,86,271,357,2,0,0,0,0,0,0,0,0,0,20,0,0,1,3,16,2,2,0,0,5,2,0,0,2,31,0,4,6,9,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County Sheriff's Office,2020,Virginia,28574,VA02700,0,0,0,1,0,11,11,0,5,3,0,0,2,156,30,1,9,19,97,49,33,11,5,204,13,8,2,3,439,0,59,76,266,342,1,0,2,2,0,1,1,0,0,0,17,3,0,0,2,12,1,1,0,0,12,0,0,0,0,34,0,5,9,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County Sheriff's Office,2019,Virginia,28425,VA02700,0,0,0,0,0,9,9,0,10,6,0,1,3,171,18,1,24,24,104,43,29,13,1,229,22,9,8,5,484,0,67,86,294,380,0,0,1,1,0,2,1,0,1,0,47,1,0,10,6,30,6,4,2,0,17,2,1,0,1,75,0,17,20,25,45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,4,0,0,1,0,0,0,0,7,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County Sheriff's Office,2018,Virginia,28162,VA02700,0,0,0,2,0,10,8,2,4,2,0,1,1,179,11,5,17,26,120,47,30,14,3,234,13,4,5,4,489,0,59,75,294,369,2,0,0,0,0,1,1,0,0,0,115,3,3,11,14,84,7,5,2,0,39,0,0,0,0,164,0,31,34,46,80,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,3,0,0,0,0,16,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County Sheriff's Office,2017,Virginia,28130,VA02700,0,0,0,0,0,13,13,0,4,1,1,0,2,208,28,2,16,14,148,64,50,13,1,246,20,5,8,7,555,0,60,77,330,407,0,0,4,4,0,0,0,0,0,0,96,9,2,6,7,72,29,21,7,1,29,0,0,0,0,158,0,24,28,58,86,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,4,0,0,0,0,11,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County Sheriff's Office,2016,Virginia,27665,VA02700,0,0,0,0,0,4,4,0,8,7,1,0,0,184,18,8,13,12,133,62,43,17,2,224,32,11,6,15,514,0,51,63,318,381,0,0,1,1,0,1,1,0,0,0,117,5,6,9,6,91,11,8,3,0,30,6,2,2,2,166,0,26,28,47,75,0,0,1,1,0,0,0,0,0,0,11,0,0,0,0,11,2,2,0,0,4,1,1,0,0,19,0,0,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County Sheriff's Office,2015,Virginia,27751,VA02700,0,0,0,1,0,6,6,0,1,0,0,0,1,173,23,5,18,13,114,95,72,19,4,230,18,3,8,7,524,0,59,67,343,410,0,0,1,1,0,1,0,0,0,1,109,17,3,9,12,68,9,6,3,0,29,5,2,1,2,154,0,41,43,43,86,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,8,4,2,2,0,5,0,0,0,0,18,0,1,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County Sheriff's Office,2014,Virginia,27896,VA02700,0,0,0,1,0,18,17,1,3,1,0,1,1,171,20,5,10,14,122,78,53,23,2,262,15,6,5,4,548,0,49,71,355,426,1,0,13,13,0,2,1,0,0,1,115,12,4,4,9,86,15,12,2,1,55,4,2,2,0,205,0,29,45,74,119,0,0,0,0,0,0,0,0,0,0,17,0,1,0,1,15,1,0,0,1,7,0,0,0,0,25,0,2,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
