agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Jefferson Davis County Sheriff's Office,1991,Mississippi,14153,MS03300,0,0,1,3,0,8,7,1,5,5,0,0,0,74,20,9,1,0,44,52,52,0,0,60,8,8,0,0,210,0,30,46,120,166,2,0,8,7,1,6,6,0,0,0,74,20,7,1,0,46,31,31,0,0,33,4,4,0,0,158,0,28,44,68,112,0,0,0,0,0,3,3,0,0,0,2,2,0,0,0,0,11,11,0,0,3,2,2,0,0,21,0,2,5,16,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Jefferson Davis County Sheriff's Office,1990,Mississippi,14051,MS03300,0,0,0,2,0,4,3,1,3,1,0,1,1,64,19,5,1,0,39,64,54,4,6,37,14,9,3,2,188,0,25,34,115,149,5,0,4,3,1,2,1,0,0,1,61,24,3,1,0,33,31,25,5,1,30,3,3,0,0,136,0,28,39,64,103,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,7,7,0,0,0,1,1,0,0,10,0,1,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Davis County Sheriff's Office,1989,Mississippi,14507,MS03300,0,0,0,3,0,11,9,2,4,1,0,2,1,85,23,6,1,1,54,63,62,0,1,41,13,5,3,5,220,0,31,49,117,166,3,0,10,8,2,3,0,0,2,1,79,20,6,1,1,51,43,43,0,0,23,7,2,1,4,168,0,28,44,73,117,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Davis County Sheriff's Office,1988,Mississippi,14512,MS03300,0,0,1,0,0,6,5,1,5,0,0,1,4,63,10,8,7,3,35,91,86,3,2,47,9,4,1,4,221,0,28,39,147,186,0,0,6,5,1,7,3,0,1,3,60,11,6,7,2,34,40,39,1,0,23,5,3,0,2,141,0,26,39,68,107,0,0,2,1,1,1,0,0,0,1,2,2,0,0,0,0,2,2,0,0,1,2,2,0,0,10,0,2,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Davis County Sheriff's Office,1987,Mississippi,14399,MS03300,0,0,0,4,0,7,6,1,1,0,0,1,0,89,5,1,0,0,83,86,72,9,5,62,7,3,0,4,256,0,6,18,155,173,4,0,7,6,1,0,0,0,0,0,59,5,1,0,0,53,23,21,2,0,20,5,2,0,3,118,0,6,17,48,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,1,0,1,4,0,0,0,3,3,0,0,2,2,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,19,0,0,2,0,2
Jefferson Davis County Sheriff's Office,1986,Mississippi,14207,MS03300,0,0,2,1,1,0,0,0,2,1,0,0,1,164,13,3,1,2,145,86,79,7,0,50,9,3,3,3,313,0,19,22,145,167,1,1,0,0,0,1,0,0,0,1,117,12,3,1,2,99,35,32,3,0,24,9,4,3,2,188,0,18,20,68,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,2,1,0,1,7,0,0,0,7,7,0,0,1,1,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,3,0,0,0,0,29,0,0,1,3,4
Jefferson Davis County Sheriff's Office,1985,Mississippi,14182,MS03300,0,0,2,3,0,3,3,0,2,0,0,0,2,56,6,4,3,1,42,46,39,6,1,29,4,1,1,2,143,0,14,22,79,101,3,0,2,2,0,2,0,0,0,2,55,6,4,3,1,41,34,30,3,1,9,3,1,1,1,108,0,14,21,46,67,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,1,1,0,0,1,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Jefferson Davis County Sheriff's Office,1984,Mississippi,14155,MS03300,0,0,1,0,0,1,0,1,2,1,0,0,1,38,6,2,2,2,26,27,23,4,0,26,2,0,1,1,96,0,12,15,55,70,0,0,1,0,1,2,1,0,0,1,38,6,2,2,2,26,25,25,0,0,17,0,0,0,0,83,0,12,15,42,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
Jefferson Davis County Sheriff's Office,1983,Mississippi,14310,MS03300,0,0,0,1,0,3,1,2,1,0,0,0,1,38,3,5,1,7,22,56,49,7,0,37,5,2,1,2,141,0,16,21,98,119,1,0,2,1,1,0,0,0,0,0,38,3,5,1,7,22,22,22,0,0,14,1,1,0,0,78,0,16,19,37,56,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,5,0,0,2,3,5
Jefferson Davis County Sheriff's Office,1982,Mississippi,14111,MS03300,0,0,0,4,0,3,2,1,0,0,0,0,0,14,1,0,1,3,9,46,33,13,0,45,3,3,0,0,115,0,5,12,94,106,4,0,3,2,1,0,0,0,0,0,14,1,0,1,3,9,16,13,3,0,7,2,2,0,0,46,0,5,12,25,37,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
