year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,6066782,6932,164,442,2591,3735,83509,25698,45903,11908,New Jersey,New Jersey State-Level Estimate,
1961,6244000,6682,153,458,2371,3700,89375,29329,47145,12901,New Jersey,New Jersey State-Level Estimate,
1962,6245000,7874,187,510,2816,4361,101025,31868,54516,14641,New Jersey,New Jersey State-Level Estimate,
1963,6470000,8849,181,561,3367,4740,114018,35993,61199,16826,New Jersey,New Jersey State-Level Estimate,
1964,6682000,10456,207,609,3812,5828,127138,40143,68072,18923,New Jersey,New Jersey State-Level Estimate,
1965,6774000,10422,219,605,3753,5845,128214,42113,66177,19924,New Jersey,New Jersey State-Level Estimate,
1966,6898000,11168,240,640,4397,5891,149454,49176,77374,22904,New Jersey,New Jersey State-Level Estimate,
1967,7003000,13204,276,677,5777,6474,178516,60321,88412,29783,New Jersey,New Jersey State-Level Estimate,
1968,7078000,16711,358,801,8747,6805,213630,71621,105309,36700,New Jersey,New Jersey State-Level Estimate,
1969,7148000,17226,369,914,9657,6286,213701,68123,108336,37242,New Jersey,New Jersey State-Level Estimate,
1970,7168164,20583,412,927,12145,7099,235704,74649,121098,39957,New Jersey,New Jersey State-Level Estimate,
1971,7300000,26441,426,1058,16062,8895,263025,88720,131959,42346,New Jersey,New Jersey State-Level Estimate,
1972,7367000,27577,481,1243,15478,10375,255317,87981,124153,43183,New Jersey,New Jersey State-Level Estimate,
1973,7361000,28845,546,1383,15179,11737,271667,91609,137899,42159,New Jersey,New Jersey State-Level Estimate,
1974,7330000,29568,497,1441,15879,11751,320196,104774,175349,40073,New Jersey,New Jersey State-Level Estimate,
1975,7316000,30215,500,1385,16287,12043,346142,111288,195517,39337,New Jersey,New Jersey State-Level Estimate,
1976,7336000,29107,380,1461,14695,12571,367075,110346,219267,37462,New Jersey,New Jersey State-Level Estimate,
1977,7329000,28732,408,1537,13223,13564,346063,105229,203345,37489,New Jersey,New Jersey State-Level Estimate,
1978,7327000,31027,398,1727,14112,14790,350501,106700,202726,41075,New Jersey,New Jersey State-Level Estimate,
1979,7332000,36747,484,2037,18332,15894,390018,117421,221552,51045,New Jersey,New Jersey State-Level Estimate,
1980,7342164,44373,504,2257,22299,19313,425623,137900,234160,53563,New Jersey,New Jersey State-Level Estimate,
