agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Warren Police Department,2023,Rhode Island,11143,RI00103,0,0,0,1,0,1,1,0,2,0,1,0,1,149,3,5,5,3,133,10,2,4,4,85,14,14,0,0,262,0,16,20,109,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Police Department,2022,Rhode Island,11243,RI00103,0,0,0,0,0,2,2,0,2,0,0,0,2,163,5,8,6,1,143,20,7,7,6,59,7,7,0,0,253,0,20,24,86,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Police Department,2021,Rhode Island,10830,RI00103,0,0,0,2,0,3,3,0,4,0,1,0,3,133,2,1,5,2,123,11,7,0,4,80,5,5,0,0,238,0,10,19,96,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Police Department,2020,Rhode Island,10469,RI00103,0,0,0,0,0,5,5,0,1,1,0,0,0,113,2,4,4,2,101,8,4,1,3,83,2,2,0,0,212,0,12,18,93,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Police Department,2019,Rhode Island,10419,RI00103,0,0,0,0,0,5,4,1,1,1,0,0,0,154,0,3,4,5,142,24,11,9,4,104,5,5,0,0,293,0,12,18,133,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Police Department,2018,Rhode Island,10393,RI00103,0,0,0,0,0,3,3,0,1,0,0,0,1,156,2,6,3,3,142,27,7,14,6,81,6,6,0,0,274,0,14,18,114,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Police Department,2017,Rhode Island,10498,RI00103,0,0,0,0,0,4,4,0,1,0,0,1,0,135,1,3,5,1,125,29,9,9,11,101,7,7,0,0,277,0,10,15,137,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Police Department,2016,Rhode Island,10460,RI00103,0,0,0,0,0,4,4,0,1,0,1,0,0,122,0,2,5,0,115,46,18,17,11,126,5,5,0,0,304,0,7,12,177,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Police Department,2015,Rhode Island,10471,RI00103,0,0,0,0,0,5,5,0,4,0,0,0,4,143,2,6,3,2,130,44,17,19,8,142,6,6,0,0,344,0,13,22,192,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Police Department,2014,Rhode Island,10567,RI00103,0,0,0,0,0,1,1,0,3,0,0,1,2,122,1,3,6,2,110,37,14,21,2,169,13,12,1,0,345,0,12,16,219,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
