year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,3257022,4990,270,279,1484,2957,43709,12615,24893,6201,Louisiana,Louisiana State-Level Estimate,,48699
1961,3321000,4508,211,267,1476,2554,37217,11180,20404,5633,Louisiana,Louisiana State-Level Estimate,,41725
1962,3330000,4570,225,226,1298,2821,39787,10891,22759,6137,Louisiana,Louisiana State-Level Estimate,,44357
1963,3418000,5798,235,212,1446,3905,47344,13528,27046,6770,Louisiana,Louisiana State-Level Estimate,,53142
1964,3468000,7140,287,384,1849,4620,56006,16730,31267,8009,Louisiana,Louisiana State-Level Estimate,,63146
1965,3534000,7178,285,394,1813,4686,55418,15983,32277,7158,Louisiana,Louisiana State-Level Estimate,,62596
1966,3603000,8689,355,597,2407,5330,69069,20845,38685,9539,Louisiana,Louisiana State-Level Estimate,,77758
1967,3662000,10071,341,603,3005,6122,77406,24030,43075,10301,Louisiana,Louisiana State-Level Estimate,,87477
1968,3732000,11742,354,613,3369,7406,81831,25303,45981,10547,Louisiana,Louisiana State-Level Estimate,,93573
1969,3745000,13492,356,829,3843,8464,89574,26013,51421,12140,Louisiana,Louisiana State-Level Estimate,,103066
1970,3643180,15063,426,841,5131,8665,105742,32426,59300,14016,Louisiana,Louisiana State-Level Estimate,,120805
1971,3681000,15208,409,872,4974,8953,112014,33567,63661,14786,Louisiana,Louisiana State-Level Estimate,,127222
1972,3720000,15712,491,855,4963,9403,110118,33597,63262,13259,Louisiana,Louisiana State-Level Estimate,,125830
1973,3764000,16020,581,837,5218,9384,112067,36212,63625,12230,Louisiana,Louisiana State-Level Estimate,,128087
1974,3764000,17794,604,949,5885,10356,125855,39362,73633,12860,Louisiana,Louisiana State-Level Estimate,,143649
1975,3791000,18137,477,899,5804,10957,138181,42255,83093,12833,Louisiana,Louisiana State-Level Estimate,,156318
1976,3841000,18161,506,1028,4776,11851,149347,43810,93991,11546,Louisiana,Louisiana State-Level Estimate,,167508
1977,3921000,20577,609,1213,5602,13153,155785,45701,96843,13241,Louisiana,Louisiana State-Level Estimate,,176362
1978,3966000,23197,625,1379,6887,14306,166865,50587,101937,14341,Louisiana,Louisiana State-Level Estimate,,190062
1979,4026000,27229,682,1554,8832,16161,188514,56237,115856,16421,Louisiana,Louisiana State-Level Estimate,,215743
1980,4199542,27926,661,1867,8271,17127,201106,63997,121298,15811,Louisiana,Louisiana State-Level Estimate,,229032
1981,4305000,27478,673,1782,8698,16325,199295,61756,121955,15584,Louisiana,Louisiana State-Level Estimate,,226773
1982,4362000,29185,698,1740,9275,17472,202489,62151,125701,14637,Louisiana,Louisiana State-Level Estimate,,231674
1983,4438000,28444,629,1770,8433,17612,194636,57359,123492,13785,Louisiana,Louisiana State-Level Estimate,,223080
1984,4462000,30251,575,1864,8501,19311,197778,54711,129348,13719,Louisiana,Louisiana State-Level Estimate,,228029
1985,4481000,31108,487,1782,8526,20313,218195,59326,141739,17130,Louisiana,Louisiana State-Level Estimate,,249303
1986,4501000,34128,575,1806,10071,21676,239444,65751,153818,19875,Louisiana,Louisiana State-Level Estimate,,273572
1987,4461000,30916,496,1600,7987,20833,231090,64441,148247,18402,Louisiana,Louisiana State-Level Estimate,,262006
1988,4420000,31711,512,1702,9238,20259,222913,63843,139141,19929,Louisiana,Louisiana State-Level Estimate,,254624
1989,4382000,34257,653,1675,10397,21532,239235,64184,152209,22842,Louisiana,Louisiana State-Level Estimate,,273492
1990,4219973,37914,724,1781,11387,24022,235822,60677,149752,25393,Louisiana,Louisiana State-Level Estimate,,273736
1991,4252000,40438,720,1738,11860,26120,232732,60017,148334,24381,Louisiana,Louisiana State-Level Estimate,,273170
1992,4287000,42209,747,1813,11636,28013,238438,58574,152938,26926,Louisiana,Louisiana State-Level Estimate,,280647
1993,4295000,45600,874,1817,12182,30727,248461,58768,163334,26359,Louisiana,Louisiana State-Level Estimate,,294061
1994,4315000,42369,856,1923,11530,28060,245488,55188,164081,26219,Louisiana,Louisiana State-Level Estimate,,287857
1995,4342000,43741,740,1855,11662,29484,246132,53481,166667,25984,Louisiana,Louisiana State-Level Estimate,,289873
1996,4351000,40426,762,1805,12036,25823,257130,56379,173271,27480,Louisiana,Louisiana State-Level Estimate,,297556
1997,4352000,37248,682,1799,10407,24360,243423,53935,163114,26374,Louisiana,Louisiana State-Level Estimate,,280671
1998,4369000,34057,560,1609,8651,23237,232378,51210,157507,23661,Louisiana,Louisiana State-Level Estimate,,266435
1999,4372035,32033,468,1448,7591,22526,219219,47775,149749,21695,Louisiana,Louisiana State-Level Estimate,,251252
2000,4468976,30440,560,1497,7532,20851,211904,46289,144345,21270,Louisiana,Louisiana State-Level Estimate,,242344
2001,4470368,30678,501,1403,7864,20910,207693,46451,139555,21687,Louisiana,Louisiana State-Level Estimate,,238371
2002,4476192,29690,593,1529,7123,20445,198838,45350,133302,20186,Louisiana,Louisiana State-Level Estimate,,228528
2003,4493665,28622,584,1601,7008,19429,193698,44572,129471,19655,Louisiana,Louisiana State-Level Estimate,,222320
2004,4506685,28844,574,1616,6564,20090,199153,45359,134080,19714,Louisiana,Louisiana State-Level Estimate,,227997
2005,4507331,26889,450,1421,5337,19681,166611,39382,112840,14389,Louisiana,Louisiana State-Level Estimate,,193500
2006,4287768,30923,555,1587,5928,22853,174975,46703,112605,15667,Louisiana,Louisiana State-Level Estimate,,205898
2007,4293204,31789,625,1427,6316,23421,180516,46932,118291,15293,Louisiana,Louisiana State-Level Estimate,,212305
2008,4410796,29613,544,1250,6241,21578,171179,45524,112091,13564,Louisiana,Louisiana State-Level Estimate,,200792
2009,4492076,28878,529,1351,6150,20848,172619,46928,114102,11589,Louisiana,Louisiana State-Level Estimate,,201497
2010,4545343,25241,500,1230,5297,18214,165667,45437,110260,9970,Louisiana,Louisiana State-Level Estimate,,190908
2011,4574766,25373,506,1262,5235,18370,168529,46242,113174,9113,Louisiana,Louisiana State-Level Estimate,,193902
2012,4602134,22839,489,1155,5458,15737,162673,42037,112764,7872,Louisiana,Louisiana State-Level Estimate,,185512
2013,4629284,24127,494,1763,5539,16331,165679,41214,115300,9165,Louisiana,Louisiana State-Level Estimate,,189806
2014,4649676,23934,477,1375,5695,16387,160824,38337,112596,9891,Louisiana,Louisiana State-Level Estimate,,184758
2015,4668960,25202,492,1733,5561,17416,157708,35457,112520,9731,Louisiana,Louisiana State-Level Estimate,,182910
2016,4686157,26477,555,1819,5575,18528,154511,34689,109492,10330,Louisiana,Louisiana State-Level Estimate,,180988
2017,4670818,25986,576,1850,5385,18175,157272,34135,112042,11095,Louisiana,Louisiana State-Level Estimate,,183258
2018,4659978,25049,530,2085,4568,17866,152661,31132,109993,11536,Louisiana,Louisiana State-Level Estimate,,177710
