agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Claiborne County Sheriff's Office,2023,Tennessee,27497,TN01300,0,0,0,0,0,1,1,0,2,1,1,0,0,85,15,4,7,2,57,30,23,5,2,64,24,19,0,5,206,0,28,31,118,149,0,0,0,0,0,0,0,0,0,0,64,9,1,3,2,49,3,3,0,0,3,5,3,0,2,75,0,15,15,11,26,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,2,0,0,4,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne County Sheriff's Office,2022,Tennessee,27426,TN01300,0,0,0,0,0,2,2,0,0,0,0,0,0,62,10,2,11,0,39,5,5,0,0,24,9,7,0,2,102,0,23,25,38,63,0,0,0,0,0,0,0,0,0,0,52,9,1,9,0,33,1,1,0,0,3,0,0,0,0,56,0,19,19,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne County Sheriff's Office,2021,Tennessee,27169,TN01300,0,0,0,1,0,3,3,0,0,0,0,0,0,85,7,7,15,0,56,23,19,0,4,59,18,14,1,3,189,0,29,33,100,133,1,0,1,1,0,1,1,0,0,0,73,5,7,14,0,47,8,7,0,1,12,2,2,0,0,98,0,26,29,22,51,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,6,0,0,0,0,0,0,0,0,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne County Sheriff's Office,2020,Tennessee,26944,TN01300,0,0,0,0,0,6,6,0,4,2,0,2,0,113,12,8,19,1,73,48,40,0,8,134,40,27,0,13,345,0,40,50,222,272,0,0,2,2,0,1,0,0,1,0,86,6,6,14,1,59,8,6,0,2,12,7,6,0,1,116,0,27,30,27,57,0,0,1,1,0,0,0,0,0,0,8,0,0,2,0,6,0,0,0,0,0,0,0,0,0,9,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne County Sheriff's Office,2019,Tennessee,26738,TN01300,0,0,0,4,0,3,3,0,2,0,0,1,1,124,8,6,30,5,75,80,73,2,5,162,41,33,0,8,416,0,49,58,283,341,4,0,0,0,0,1,0,0,1,0,74,3,3,22,3,43,12,9,1,2,18,12,11,0,1,121,0,31,36,42,78,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne County Sheriff's Office,2018,Tennessee,26530,TN01300,0,0,0,0,0,5,5,0,3,1,0,1,1,119,14,6,20,2,77,98,83,7,8,175,56,31,15,10,456,0,42,50,329,379,0,0,1,1,0,1,1,0,0,0,73,12,2,15,3,41,13,11,0,2,20,17,8,4,5,125,0,32,34,50,84,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,2,1,0,0,1,8,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne County Sheriff's Office,2017,Tennessee,26692,TN01300,0,0,0,2,0,2,2,0,5,2,1,1,1,168,28,9,22,3,106,161,135,23,3,189,49,26,15,8,576,0,62,71,399,470,1,0,1,1,0,1,0,0,1,0,126,24,6,20,1,75,16,13,2,1,31,10,9,1,0,186,0,51,54,57,111,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,1,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne County Sheriff's Office,2016,Tennessee,26358,TN01300,0,0,0,0,0,3,3,0,10,2,2,1,5,166,12,6,22,2,124,185,152,25,8,201,47,21,11,15,612,0,42,55,433,488,0,0,1,1,0,1,0,0,0,1,144,12,5,19,2,106,33,30,2,1,34,16,3,4,9,229,0,38,40,83,123,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,1,0,0,1,0,0,0,0,0,6,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne County Sheriff's Office,2015,Tennessee,26315,TN01300,0,0,0,3,0,1,1,0,8,2,2,0,4,222,30,11,36,11,134,182,149,21,12,241,29,16,5,8,686,0,88,100,452,552,2,0,0,0,0,1,0,0,0,1,157,20,8,19,7,103,31,24,4,3,62,9,7,0,2,262,0,54,57,102,159,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne County Sheriff's Office,2014,Tennessee,26335,TN01300,0,0,0,0,0,7,7,0,8,2,0,0,6,213,36,12,32,17,116,242,199,32,11,232,30,21,5,4,732,0,97,112,504,616,0,0,0,0,0,3,1,0,0,2,162,30,6,24,13,89,44,40,3,1,49,8,7,0,1,266,0,73,76,101,177,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
