agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Italy Police Department,2023,Texas,2086,TX07004,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,2,0,3,13,0,13,0,8,3,1,0,2,32,0,5,5,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy Police Department,2022,Texas,2038,TX07004,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,0,6,9,0,8,1,13,3,2,0,1,34,0,3,3,25,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy Police Department,2021,Texas,1972,TX07004,0,0,0,0,0,1,1,0,0,0,0,0,0,25,0,1,5,0,19,5,0,5,0,10,1,1,0,0,42,0,6,7,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy Police Department,2020,Texas,1928,TX07004,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,5,8,5,0,5,0,23,3,1,1,1,46,0,7,7,31,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,2
Italy Police Department,2019,Texas,,TX07004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy Police Department,2018,Texas,1943,TX07004,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,4,3,1,0,6,0,0,0,0,14,0,2,3,10,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Italy Police Department,2017,Texas,1927,TX07004,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,7,1,7,6,1,0,11,2,2,0,0,31,0,10,10,20,30,0,0,2,1,1,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,1,0,0,0,0,7,0,2,4,1,5
Italy Police Department,2016,Texas,1904,TX07004,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,1,0,6,3,7,1,2,4,6,1,1,0,0,25,0,7,8,14,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Italy Police Department,2015,Texas,1888,TX07004,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,6,12,19,8,11,0,13,3,3,0,0,53,0,6,6,35,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy Police Department,2014,Texas,1874,TX07004,0,0,0,0,0,1,1,0,1,0,0,1,0,13,1,0,0,0,12,8,2,5,1,28,2,2,0,0,53,0,1,3,38,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
