year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,632446,90,3,14,40,33,5545,1252,3863,430,North Dakota,North Dakota State-Level Estimate,
1961,640000,160,6,33,68,53,5557,1286,3822,449,North Dakota,North Dakota State-Level Estimate,
1962,642000,128,8,27,40,53,5999,1217,4246,536,North Dakota,North Dakota State-Level Estimate,
1963,634000,182,13,22,61,86,6408,1207,4590,611,North Dakota,North Dakota State-Level Estimate,
1964,645000,229,6,45,56,122,6817,1546,4687,584,North Dakota,North Dakota State-Level Estimate,
1965,652000,223,6,33,30,154,6729,1348,4880,501,North Dakota,North Dakota State-Level Estimate,
1966,650000,231,12,28,40,151,7615,1439,5609,567,North Dakota,North Dakota State-Level Estimate,
1967,639000,185,1,30,37,117,8757,1541,6690,526,North Dakota,North Dakota State-Level Estimate,
1968,625000,173,7,29,36,101,8609,1494,6611,504,North Dakota,North Dakota State-Level Estimate,
1969,615000,220,1,25,44,150,8918,1533,6800,585,North Dakota,North Dakota State-Level Estimate,
1970,617761,211,3,38,40,130,10331,1769,8000,562,North Dakota,North Dakota State-Level Estimate,
1971,625000,238,8,26,47,157,12577,2124,9911,542,North Dakota,North Dakota State-Level Estimate,
1972,632000,290,8,31,56,195,12273,2257,9443,573,North Dakota,North Dakota State-Level Estimate,
1973,640000,389,5,47,47,290,12913,2454,9618,841,North Dakota,North Dakota State-Level Estimate,
1974,637000,319,9,50,82,178,13441,2758,9840,843,North Dakota,North Dakota State-Level Estimate,
1975,635000,337,5,37,91,204,14504,3424,10251,829,North Dakota,North Dakota State-Level Estimate,
1976,643000,462,9,36,104,313,15705,3077,11603,1025,North Dakota,North Dakota State-Level Estimate,
1977,653000,438,6,59,87,286,15893,2913,12035,945,North Dakota,North Dakota State-Level Estimate,
1978,652000,437,8,58,102,269,15246,2758,11522,966,North Dakota,North Dakota State-Level Estimate,
1979,657000,403,10,54,65,274,17703,3029,13607,1067,North Dakota,North Dakota State-Level Estimate,
1980,652437,352,8,62,50,232,18984,3186,14629,1169,North Dakota,North Dakota State-Level Estimate,
1981,658000,444,15,57,85,287,19237,3294,14859,1084,North Dakota,North Dakota State-Level Estimate,
1982,670000,414,5,66,85,258,17328,3074,13314,940,North Dakota,North Dakota State-Level Estimate,
1983,680000,365,14,85,53,213,17828,2967,13983,878,North Dakota,North Dakota State-Level Estimate,
1984,686000,368,8,90,53,217,17354,2738,13856,760,North Dakota,North Dakota State-Level Estimate,
1985,685000,322,7,50,44,221,18032,2925,14297,810,North Dakota,North Dakota State-Level Estimate,
1986,679000,348,7,79,47,215,17343,2615,13914,814,North Dakota,North Dakota State-Level Estimate,
1987,672000,382,10,63,51,258,18656,3060,14768,828,North Dakota,North Dakota State-Level Estimate,
1988,663000,392,12,74,54,252,17695,2902,14007,786,North Dakota,North Dakota State-Level Estimate,
1989,660000,417,4,78,61,274,16485,2369,13370,746,North Dakota,North Dakota State-Level Estimate,
1990,638800,472,5,114,50,303,18196,2725,14621,850,North Dakota,North Dakota State-Level Estimate,
1991,635000,415,7,116,51,241,17326,2367,14154,805,North Dakota,North Dakota State-Level Estimate,
1992,636000,530,12,148,50,320,17935,2487,14498,950,North Dakota,North Dakota State-Level Estimate,
1993,635000,522,11,149,53,309,17387,2370,14073,944,North Dakota,North Dakota State-Level Estimate,
1994,638000,522,1,149,71,301,16933,2070,13899,964,North Dakota,North Dakota State-Level Estimate,
1995,641000,556,6,146,64,340,17817,2248,14421,1148,North Dakota,North Dakota State-Level Estimate,
1996,644000,541,14,155,71,301,16648,1991,13433,1224,North Dakota,North Dakota State-Level Estimate,
1997,641000,559,6,159,41,353,16821,2300,13367,1154,North Dakota,North Dakota State-Level Estimate,
1998,638000,570,7,212,65,286,16535,2274,13134,1127,North Dakota,North Dakota State-Level Estimate,
1999,633666,424,10,142,56,216,14748,2337,11375,1036,North Dakota,North Dakota State-Level Estimate,
2000,642200,523,4,169,56,294,14171,2093,11092,986,North Dakota,North Dakota State-Level Estimate,
2001,636550,505,7,164,60,274,14834,2165,11583,1086,North Dakota,North Dakota State-Level Estimate,
2002,633911,496,5,163,58,270,14762,2243,11501,1018,North Dakota,North Dakota State-Level Estimate,
2003,633400,508,9,160,53,286,13364,1959,10327,1078,North Dakota,North Dakota State-Level Estimate,
2004,636308,558,8,177,43,330,12493,2040,9516,937,North Dakota,North Dakota State-Level Estimate,
2005,634605,706,12,180,54,460,12848,2043,9732,1073,North Dakota,North Dakota State-Level Estimate,
2006,635867,1255,14,241,75,925,13359,2601,9672,1086,North Dakota,North Dakota State-Level Estimate,
2007,639715,1343,17,252,75,999,12796,2314,9500,982,North Dakota,North Dakota State-Level Estimate,
2008,641481,1441,11,331,73,1026,13029,2336,9782,911,North Dakota,North Dakota State-Level Estimate,
2009,646844,1723,12,296,107,1308,12813,2426,9474,913,North Dakota,North Dakota State-Level Estimate,
2010,674629,1548,10,245,90,1203,12010,2000,9137,873,North Dakota,North Dakota State-Level Estimate,
2011,684740,1699,24,266,91,1318,13334,2458,9891,985,North Dakota,North Dakota State-Level Estimate,
2012,701345,1723,25,279,127,1292,14297,2429,10687,1181,North Dakota,North Dakota State-Level Estimate,
2013,723857,1979,16,355,161,1447,15356,2979,10942,1435,North Dakota,North Dakota State-Level Estimate,
2014,739482,1960,22,358,173,1407,15605,2707,11384,1514,North Dakota,North Dakota State-Level Estimate,
2015,756835,1949,21,391,159,1378,17716,3296,12686,1734,North Dakota,North Dakota State-Level Estimate,
2016,755548,1905,16,356,181,1352,17451,3248,12249,1954,North Dakota,North Dakota State-Level Estimate,
2017,755176,2133,10,406,183,1534,16653,2947,11944,1762,North Dakota,North Dakota State-Level Estimate,
2018,760077,2133,18,397,158,1560,15507,2724,11008,1775,North Dakota,North Dakota State-Level Estimate,
