year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,606921,81,8,25,18,30,4105,1108,2646,351,New Hampshire,New Hampshire State-Level Estimate,
1961,621000,89,4,19,21,45,4912,1573,2884,455,New Hampshire,New Hampshire State-Level Estimate,
1962,632000,178,15,22,22,119,6140,1781,3821,538,New Hampshire,New Hampshire State-Level Estimate,
1963,627000,164,20,30,43,71,5676,1751,3354,571,New Hampshire,New Hampshire State-Level Estimate,
1964,654000,149,6,25,43,75,6173,1827,3797,549,New Hampshire,New Hampshire State-Level Estimate,
1965,669000,156,18,14,46,78,6880,2117,4176,587,New Hampshire,New Hampshire State-Level Estimate,
1966,681000,259,13,30,70,146,7491,2382,4411,698,New Hampshire,New Hampshire State-Level Estimate,
1967,686000,218,14,23,42,139,7455,2350,4338,767,New Hampshire,New Hampshire State-Level Estimate,
1968,702000,279,10,19,72,178,8832,2605,5235,992,New Hampshire,New Hampshire State-Level Estimate,
1969,717000,325,18,29,75,203,10506,3322,6157,1027,New Hampshire,New Hampshire State-Level Estimate,
1970,737681,413,15,44,89,265,12291,4172,6850,1269,New Hampshire,New Hampshire State-Level Estimate,
1971,762000,580,17,63,123,377,15218,5082,8734,1402,New Hampshire,New Hampshire State-Level Estimate,
1972,771000,491,13,54,103,321,14861,4600,9299,962,New Hampshire,New Hampshire State-Level Estimate,
1973,791000,649,17,75,105,452,17776,5418,10863,1495,New Hampshire,New Hampshire State-Level Estimate,
1974,808000,739,28,68,209,434,24664,6629,15942,2093,New Hampshire,New Hampshire State-Level Estimate,
1975,818000,816,24,71,236,485,26559,6978,17470,2111,New Hampshire,New Hampshire State-Level Estimate,
1976,822000,709,27,80,204,398,28976,7706,19196,2074,New Hampshire,New Hampshire State-Level Estimate,
1977,849000,960,27,91,197,645,31235,8844,19900,2491,New Hampshire,New Hampshire State-Level Estimate,
1978,871000,1035,12,82,229,712,34393,10101,21630,2662,New Hampshire,New Hampshire State-Level Estimate,
1979,887000,1241,21,152,254,814,39373,10635,25856,2882,New Hampshire,New Hampshire State-Level Estimate,
1980,919114,1653,23,159,386,1085,41358,12067,26443,2848,New Hampshire,New Hampshire State-Level Estimate,
1981,935000,1375,27,154,335,859,39034,11090,25692,2252,New Hampshire,New Hampshire State-Level Estimate,
1982,951000,1187,21,154,322,690,35229,8987,24115,2127,New Hampshire,New Hampshire State-Level Estimate,
1983,959000,1200,19,187,231,763,30987,7882,21359,1746,New Hampshire,New Hampshire State-Level Estimate,
1984,977000,1308,10,202,227,869,29347,7190,20314,1843,New Hampshire,New Hampshire State-Level Estimate,
1985,998000,1405,21,191,266,927,31049,7608,21459,1982,New Hampshire,New Hampshire State-Level Estimate,
1986,1027000,1433,23,221,242,947,32767,7754,22675,2338,New Hampshire,New Hampshire State-Level Estimate,
1987,1057000,1581,32,281,280,988,34058,7344,24426,2288,New Hampshire,New Hampshire State-Level Estimate,
1988,1097000,1622,25,276,231,1090,34951,7489,24964,2498,New Hampshire,New Hampshire State-Level Estimate,
1989,1107000,1865,36,327,264,1238,37945,8157,27087,2701,New Hampshire,New Hampshire State-Level Estimate,
1990,1109252,1459,21,386,302,750,38976,8158,28111,2707,New Hampshire,New Hampshire State-Level Estimate,
1991,1105000,1318,40,330,365,583,36780,8126,26220,2434,New Hampshire,New Hampshire State-Level Estimate,
1992,1111000,1397,18,424,367,588,32828,6909,23754,2165,New Hampshire,New Hampshire State-Level Estimate,
1993,1125000,1550,23,499,307,721,31131,5795,23153,2183,New Hampshire,New Hampshire State-Level Estimate,
