agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Pittsburgh Police Department,2022,Pennsylvania,303137,PAPPD00,0,0,0,66,0,80,78,2,476,167,22,16,271,4868,435,119,218,142,3954,721,330,331,60,5323,633,563,53,17,12167,0,914,1536,6677,8213,1,0,8,8,0,22,8,0,1,13,60,5,6,3,2,44,26,6,17,3,83,131,119,6,6,331,0,16,47,240,287
Pittsburgh Police Department,2021,Pennsylvania,,PAPPD00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Police Department,2020,Pennsylvania,298608,PAPPD00,0,0,0,48,0,95,93,2,470,132,25,26,287,4866,304,126,364,123,3949,950,487,384,79,4714,517,462,34,21,11660,0,917,1530,6181,7711,2,0,16,16,0,21,5,2,1,13,53,1,1,5,4,42,30,11,18,1,97,118,114,3,1,337,0,11,50,245,295
Pittsburgh Police Department,2019,Pennsylvania,,PAPPD00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Police Department,2018,Pennsylvania,302544,PAPPD00,0,0,189,57,0,121,117,4,696,233,31,34,398,6044,221,156,308,192,5167,1341,686,544,111,7055,729,646,55,28,16043,0,877,1751,9125,10876,1,0,56,55,1,40,14,2,0,24,104,3,4,6,8,83,37,5,27,5,126,163,153,7,3,527,0,21,118,326,444
Pittsburgh Police Department,2017,Pennsylvania,305932,PAPPD00,0,0,264,55,0,90,86,4,802,372,30,34,366,6065,312,133,420,196,5004,1610,805,646,159,7238,680,602,47,31,16540,0,1061,2008,9528,11536,1,0,63,63,0,34,7,3,4,20,131,6,1,3,9,112,77,18,51,8,104,155,147,7,1,565,0,19,117,336,453
Pittsburgh Police Department,2016,Pennsylvania,302443,PAPPD00,0,0,282,57,1,100,98,2,1000,460,41,67,432,6245,394,168,455,192,5036,1828,864,813,151,7222,818,738,46,34,17271,0,1209,2366,9868,12234,0,0,42,42,0,25,7,2,1,15,119,6,1,5,7,100,68,18,44,6,132,156,145,8,3,542,0,19,86,356,442
Pittsburgh Police Department,2015,Pennsylvania,306870,PAPPD00,0,0,330,57,0,82,78,4,858,367,40,48,403,6749,388,168,434,180,5579,2197,1077,926,194,7097,601,513,41,47,17641,0,1170,2167,9895,12062,3,0,42,41,1,41,14,6,3,18,178,3,2,5,13,155,80,19,50,11,127,149,141,7,1,620,0,23,109,356,465
Pittsburgh Police Department,2014,Pennsylvania,307613,PAPPD00,0,0,390,69,1,91,90,1,986,476,47,40,423,7274,364,195,498,252,5965,2129,1178,774,177,7157,597,527,36,34,18304,0,1309,2455,9883,12338,1,0,56,54,2,29,8,1,4,16,57,2,1,9,7,38,96,33,58,5,121,161,150,9,2,521,0,19,105,378,483
Pittsburgh Police Department,2013,Pennsylvania,307632,PAPPD00,0,0,353,45,0,78,72,6,956,419,49,57,431,6863,335,185,449,211,5683,2173,1216,745,212,7258,616,552,25,39,17989,0,1180,2259,10047,12306,0,0,41,40,1,40,14,3,1,22,61,4,3,4,2,48,107,27,70,10,138,236,227,7,2,623,0,13,94,481,575
