year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,1302161,2704,78,209,706,1711,36539,8926,23207,4406,Arizona,Arizona State-Level Estimate,,39243
1961,1391000,2288,84,200,786,1218,41304,10262,26099,4943,Arizona,Arizona State-Level Estimate,,43592
1962,1509000,2610,86,198,851,1475,45694,11693,28605,5396,Arizona,Arizona State-Level Estimate,,48304
1963,1559000,3027,93,222,897,1815,49894,12944,31213,5737,Arizona,Arizona State-Level Estimate,,52921
1964,1581000,3368,83,259,967,2059,54264,13726,35190,5348,Arizona,Arizona State-Level Estimate,,57632
1965,1608000,3092,80,286,895,1831,53957,13129,36208,4620,Arizona,Arizona State-Level Estimate,,57049
1966,1618000,3272,98,296,898,1980,63645,15066,42555,6024,Arizona,Arizona State-Level Estimate,,66917
1967,1634000,3892,91,273,1224,2304,75160,18583,49923,6654,Arizona,Arizona State-Level Estimate,,79052
1968,1670000,4402,105,313,1448,2536,77001,19496,50471,7034,Arizona,Arizona State-Level Estimate,,81403
1969,1693000,5742,102,390,1692,3558,82710,22053,53231,7426,Arizona,Arizona State-Level Estimate,,88452
1970,1772482,6564,168,478,2130,3788,98265,26464,62918,8883,Arizona,Arizona State-Level Estimate,,104829
1971,1849000,7407,124,553,2095,4635,102451,26549,67566,8336,Arizona,Arizona State-Level Estimate,,109858
1972,1945000,8731,142,650,2350,5589,106671,31429,66883,8359,Arizona,Arizona State-Level Estimate,,115402
1973,2058000,9877,167,637,3031,6042,128089,40301,76560,11228,Arizona,Arizona State-Level Estimate,,137966
1974,2153000,12202,206,807,4396,6793,164811,54557,97286,12968,Arizona,Arizona State-Level Estimate,,177013
1975,2224000,12184,191,789,3780,7424,173331,56265,105588,11478,Arizona,Arizona State-Level Estimate,,185515
1976,2270000,10335,177,674,2949,6535,168686,53722,105389,9575,Arizona,Arizona State-Level Estimate,,179021
1977,2296000,11347,217,786,3173,7171,166528,53866,102571,10091,Arizona,Arizona State-Level Estimate,,177875
1978,2354000,12996,221,1040,3835,7900,165998,49023,106042,10933,Arizona,Arizona State-Level Estimate,,178994
1979,2450000,14528,219,1120,4305,8884,177977,48916,116976,12085,Arizona,Arizona State-Level Estimate,,192505
1980,2715357,17673,279,1227,5258,10909,204193,58527,132814,12852,Arizona,Arizona State-Level Estimate,,221866
1981,2793000,16082,227,1064,4961,9830,196575,57655,127469,11451,Arizona,Arizona State-Level Estimate,,212657
1982,2860000,14785,236,1100,4537,8912,189161,53861,124723,10577,Arizona,Arizona State-Level Estimate,,203946
1983,2963000,14642,213,1241,3923,9265,174740,49440,114721,10579,Arizona,Arizona State-Level Estimate,,189382
1984,3053000,15756,238,1316,4003,10199,182670,52327,118604,11739,Arizona,Arizona State-Level Estimate,,198426
1985,3187000,19202,254,1458,4670,12820,207591,59585,135720,12286,Arizona,Arizona State-Level Estimate,,226793
1986,3317000,21835,307,1425,5614,14489,221015,63278,143845,13892,Arizona,Arizona State-Level Estimate,,242850
1987,3386000,20742,253,1396,4687,14406,222663,55059,153296,14308,Arizona,Arizona State-Level Estimate,,243405
1988,3466000,21147,294,1345,4750,14758,237808,54773,167121,15914,Arizona,Arizona State-Level Estimate,,258955
1989,3556000,21320,237,1286,4944,14853,265284,59284,181574,24426,Arizona,Arizona State-Level Estimate,,286604
1990,3665228,23911,284,1500,5897,16230,265229,61206,172375,31648,Arizona,Arizona State-Level Estimate,,289140
1991,3750000,25152,291,1590,6215,17056,252559,60281,159987,32291,Arizona,Arizona State-Level Estimate,,277711
1992,3832000,25706,312,1647,5867,17880,243629,54095,158053,31481,Arizona,Arizona State-Level Estimate,,269335
1993,3936000,28142,339,1488,6412,19903,264371,57684,172689,33998,Arizona,Arizona State-Level Estimate,,292513
1994,4075000,28653,426,1465,6601,20161,294273,60157,190649,43467,Arizona,Arizona State-Level Estimate,,322926
1995,4218000,30095,439,1418,7329,20909,316355,59762,207763,48830,Arizona,Arizona State-Level Estimate,,346450
1996,4428000,27963,377,1381,7429,18776,284964,55630,188300,41034,Arizona,Arizona State-Level Estimate,,312927
1997,4555000,28411,375,1492,7547,18997,299323,60077,195045,44201,Arizona,Arizona State-Level Estimate,,327734
1998,4669000,26984,376,1451,7715,17442,280001,56473,183137,40391,Arizona,Arizona State-Level Estimate,,306985
1999,4778332,26334,384,1383,7288,17279,255401,49423,167731,38247,Arizona,Arizona State-Level Estimate,,281735
2000,5130632,27281,359,1577,7504,17841,271811,51902,176705,43204,Arizona,Arizona State-Level Estimate,,299092
2001,5306966,28675,400,1518,8868,17889,293874,54821,186850,52203,Arizona,Arizona State-Level Estimate,,322549
2002,5441125,30171,387,1608,8000,20176,318296,59087,201541,57668,Arizona,Arizona State-Level Estimate,,348467
2003,5579222,28638,441,1856,7619,18722,314335,58613,198725,56997,Arizona,Arizona State-Level Estimate,,342973
2004,5739879,28952,414,1896,7721,18921,291203,56885,179012,55306,Arizona,Arizona State-Level Estimate,,320155
2005,5953007,30478,445,2006,8579,19448,287345,56328,176112,54905,Arizona,Arizona State-Level Estimate,,317823
2006,6166318,33456,533,2449,9491,20983,294389,59418,178321,56650,Arizona,Arizona State-Level Estimate,,327845
2007,6338755,32835,548,2353,9764,20170,287308,59988,177076,50244,Arizona,Arizona State-Level Estimate,,320143
2008,6500180,31567,462,2200,9809,19096,266653,58606,169460,38587,Arizona,Arizona State-Level Estimate,,298220
2009,6595778,28128,380,2279,8199,17270,236721,54308,155976,26437,Arizona,Arizona State-Level Estimate,,264849
2010,6413158,26528,408,2191,6953,16976,226802,50932,154137,21733,Arizona,Arizona State-Level Estimate,,253330
2011,6467315,26789,397,2499,7145,16748,229896,54695,155400,19801,Arizona,Arizona State-Level Estimate,,256685
2012,6551149,28077,358,2282,7383,18054,231701,52911,159808,18982,Arizona,Arizona State-Level Estimate,,259778
2013,6634997,27576,355,3174,6656,17391,223294,48292,158036,16966,Arizona,Arizona State-Level Estimate,,250870
2014,6731484,26916,319,3378,6249,16970,215240,43562,154091,17587,Arizona,Arizona State-Level Estimate,,242156
2015,6817565,27968,306,3109,6360,18193,207184,38010,152388,16786,Arizona,Arizona State-Level Estimate,,235152
2016,6908642,32542,389,3304,7045,21804,207317,38216,150618,18483,Arizona,Arizona State-Level Estimate,,239859
2017,7048876,35647,422,3622,7440,24163,204999,37722,148251,19026,Arizona,Arizona State-Level Estimate,,240646
2018,7171646,34058,369,3638,6523,23528,191974,31532,141303,19139,Arizona,Arizona State-Level Estimate,,226032
