agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
University Of Cincinnati Police Department,2023,Ohio,0,OH03137,0,0,0,0,0,6,6,0,0,0,0,0,0,43,1,0,1,3,38,21,11,10,0,141,38,17,0,21,249,0,5,11,200,211,0,0,3,3,0,0,0,0,0,0,24,0,0,0,2,22,4,1,3,0,17,5,4,0,1,53,0,2,5,26,31,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,1,0,0,1,4,4,0,0,10,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University Of Cincinnati Police Department,2022,Ohio,0,OH03137,0,0,0,0,0,2,2,0,2,0,0,0,2,18,0,0,1,0,17,6,4,2,0,147,13,6,0,7,188,0,1,5,166,171,0,0,2,2,0,0,0,0,0,0,12,0,0,1,0,11,1,1,0,0,17,1,1,0,0,33,0,1,3,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University Of Cincinnati Police Department,2021,Ohio,0,OH03137,0,0,0,0,0,4,3,1,1,0,0,0,1,16,2,0,0,0,14,4,1,3,0,95,11,4,0,7,131,0,2,7,110,117,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,8,1,0,1,0,6,3,1,0,2,20,0,2,2,10,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University Of Cincinnati Police Department,2020,Ohio,0,OH03137,0,0,0,0,0,4,4,0,2,1,0,0,1,15,1,0,2,0,12,9,0,9,0,88,5,5,0,0,123,0,3,9,102,111,0,0,3,3,0,1,0,0,0,1,11,0,0,2,0,9,6,0,6,0,12,1,1,0,0,34,0,2,6,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University Of Cincinnati Police Department,2019,Ohio,,OH03137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Of Cincinnati Police Department,2018,Ohio,0,OH03137,0,0,0,0,0,7,6,1,0,0,0,0,0,20,1,1,1,4,13,6,1,5,0,197,6,2,0,4,236,0,7,14,209,223,0,0,1,1,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,25,0,0,0,0,31,0,3,4,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1,20,0,0,0,20,20
University Of Cincinnati Police Department,2017,Ohio,0,OH03137,0,0,0,0,1,9,5,4,1,1,0,0,0,10,0,0,0,7,3,15,5,10,0,259,7,1,2,4,302,0,7,17,281,298,0,0,2,0,2,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,22,0,0,0,0,27,0,2,4,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,15,15
University Of Cincinnati Police Department,2016,Ohio,0,OH03137,0,0,0,0,0,40,9,31,2,1,1,0,0,15,0,0,1,2,12,18,0,17,1,233,3,2,1,0,311,0,3,45,254,299,1,0,19,3,16,0,0,0,0,0,8,0,0,1,1,6,3,0,3,0,19,0,0,0,0,50,0,2,22,22,44,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16,0,0,1,15,16
University Of Cincinnati Police Department,2015,Ohio,0,OH03137,0,0,0,0,0,2,2,0,3,1,0,0,2,9,0,0,0,0,9,3,0,3,0,293,1,0,0,1,311,0,0,5,297,302,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,2,0,2,0,28,0,0,0,0,33,0,0,1,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,7,7
University Of Cincinnati Police Department,2014,Ohio,0,OH03137,0,0,0,0,0,4,4,0,0,0,0,0,0,8,0,0,0,2,6,17,4,12,1,261,2,0,0,2,292,0,2,6,280,286,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,3,1,2,0,8,0,0,0,0,16,0,1,1,11,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,2,7,9
