agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Butler Police,2017,New Jersey,7829,NJ01403,0,0,0,0,0,1,1,0,0,0,0,0,0,16,0,0,1,1,14,10,3,6,1,47,3,2,0,1,77,2,3,60,63,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,4,2,1,0,1,3,1,1,0,0,12,2,2,6,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Police,2016,New Jersey,7691,NJ01403,0,0,1,0,0,1,1,0,1,0,0,1,0,70,1,2,1,8,58,21,5,16,0,45,1,0,0,1,139,12,14,67,81,0,0,0,0,0,1,0,0,1,0,21,1,2,1,1,16,1,0,1,0,7,0,0,0,0,30,5,6,8,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Police,2015,New Jersey,7719,NJ01403,0,0,0,0,0,1,1,0,0,0,0,0,0,63,0,1,1,3,58,29,8,21,0,50,4,2,0,2,147,5,6,83,89,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,21,2,1,1,0,10,2,2,0,0,36,1,1,14,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Police,2014,New Jersey,7636,NJ01403,0,0,2,0,0,2,2,0,1,0,0,1,0,67,0,1,2,4,60,25,7,18,0,42,1,1,0,0,138,7,10,68,78,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,11,4,0,4,0,0,0,0,0,0,17,2,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Police,2013,New Jersey,7611,NJ01403,0,0,0,0,0,3,3,0,1,0,0,0,1,71,0,0,2,5,64,11,5,6,0,29,2,2,0,0,117,7,11,42,53,0,0,0,0,0,0,0,0,0,0,11,0,0,1,3,7,0,0,0,0,1,0,0,0,0,12,4,4,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Police,2012,New Jersey,7619,NJ01403,0,0,1,0,0,3,3,0,1,0,0,0,1,77,0,0,4,2,71,43,13,30,0,45,2,2,0,0,171,6,10,90,100,0,0,0,0,0,0,0,0,0,0,15,0,0,1,1,13,2,1,1,0,1,0,0,0,0,18,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
Butler Police,2011,New Jersey,7564,NJ01403,0,0,1,0,0,1,1,0,1,0,0,0,1,91,0,1,0,2,88,38,7,30,1,61,4,4,0,0,196,3,5,103,108,0,0,1,1,0,0,0,0,0,0,16,0,1,0,1,14,4,2,2,0,10,3,3,0,0,34,2,3,17,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Police,2010,New Jersey,7539,NJ01403,0,0,0,1,0,1,1,0,4,0,1,0,3,98,3,4,1,1,89,33,12,21,0,60,4,3,0,1,201,9,15,97,112,1,0,0,0,0,2,0,1,0,1,19,0,3,0,0,16,6,0,6,0,5,0,0,0,0,33,3,6,11,17,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,3,2,0,2,0,2,0,0,0,0,9,2,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Police,2009,New Jersey,8188,NJ01403,0,0,0,0,0,2,2,0,1,0,1,0,0,59,0,1,3,4,51,15,5,10,0,71,3,3,0,0,151,8,11,89,100,0,0,1,1,0,0,0,0,0,0,20,0,1,2,2,15,0,0,0,0,18,1,1,0,0,40,5,6,19,25,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Police,2008,New Jersey,8130,NJ01403,0,0,0,0,0,1,1,0,2,0,0,0,2,84,1,0,3,2,78,21,7,13,1,67,9,6,0,3,184,6,9,97,106,0,0,0,0,0,0,0,0,0,0,27,1,0,2,1,23,2,1,1,0,9,1,0,0,1,39,4,4,12,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
